PLAN_START_DATE,PLAN_END_DATE,UNIT_OF_WORK,SIM_DAY,AGE,NUMBER_OF_TASKS,PLACEHOLDER
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 0 , 238 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 1 , 238 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 0 , 25 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 0 , 4 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 0 , 252 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 1 , 2 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 0 , 32 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 0 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 0 , 7 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 0 , 116 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 1 , 20 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 0 , 20 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 0 , 28 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , LINK_CLASSIFY , 1.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 0 , 222 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 1 , 223 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 0 , 31 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APP_RENEWAL , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 0 , 8 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , DE_APPEAL , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 0 , 253 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 1 , 8 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_NEW_APP , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 0 , 30 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , ELIG_RENEWAL , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 0 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , BATCH , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 0 , 2 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 1 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , OTHER_INCOMING_DOCS , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 0 , 96 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 1 , 26 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 2 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 3 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 4 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 5 , 0 , 0 
04/01/2019 , 04/29/2019 , QC , 2.000000 , 6 , 0 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 2.000000 , 0 , 33 , 0 
04/01/2019 , 04/29/2019 , ENROLLMENT , 2.000000 , 1 , 0 , 0 
