Plan Start Date,Plan End Date,Unit of Work Name ,Day of Plan, Forecast Inv Age, Forecast Inv Vol, Hour of Plan 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 0.000000 , 14.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 1.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 2.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 3.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 4.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 5.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 6.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 1.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 2.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 3.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 4.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 5.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 6.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 0.000000 , 50.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 1.000000 , 29.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 2.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 3.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 4.000000 , 0.000000 , 0.000000 
