Date,Agent ID,Supervisor ID,Calls Answered,Short Calls Answered,Avg Handle Time,Total Return to Queue,Calls RTQ Due to Timeout,Total Scheduled Productive Time,Actual Productive Time,Talk Time,Wrap Up Time,Logged in Time,Not Ready Time,Break Time,Lunch Time,Calls Offered
2018-05-22,100265,62774,21,0,00:13:17,0,0,06:19:00,17:56:06,04:38:57,00:00:00,1d04:28:33,10:32:27,02:10:04,02:03:32,21
2018-05-22,101003,94760,11,1,00:19:41,1,0,03:14:00,05:34:20,03:36:37,00:00:00,07:47:45,02:13:25,00:33:02,00:34:08,12
2018-05-22,101443,68970,87,30,00:03:08,3,9,06:25:00,17:20:39,04:32:54,00:00:00,1d01:28:42,08:08:03,01:09:44,01:55:00,99
2018-05-22,101447,70087,36,0,00:06:11,0,0,07:30:00,21:51:36,03:43:06,00:00:00,1d01:06:00,03:14:24,02:07:04,02:10:32,36
2018-05-22,101460,55766,39,0,00:10:15,0,3,07:30:00,12:40:00,06:39:45,00:00:00,1d01:46:12,13:06:12,02:09:00,02:05:16,42
2018-05-22,101462,31493,30,0,00:24:23,0,0,04:43:00,15:13:45,12:11:36,00:00:00,1d01:47:27,10:33:42,00:57:52,01:58:00,30
2018-05-22,101571,93440,3,1,00:03:04,0,0,01:45:00,02:03:20,00:09:12,00:00:00,02:05:46,00:02:26,00:00:00,00:00:00,3
2018-05-22,101573,93714,42,3,00:11:22,0,0,06:49:00,20:55:06,07:57:39,00:00:00,1d02:01:42,05:06:36,02:15:00,01:49:36,42
2018-05-22,101574,133319,36,0,00:17:52,0,0,07:30:00,21:57:12,10:43:36,00:00:00,1d01:13:18,03:16:06,02:06:32,02:00:16,36
2018-05-22,101599,113799,39,0,00:14:26,0,3,07:30:00,22:20:36,09:23:15,00:00:00,1d01:19:36,02:59:00,01:41:24,01:47:04,42
2018-05-22,101613,85455,51,3,00:08:34,0,0,07:00:00,20:36:45,07:17:03,00:00:00,1d01:30:15,04:53:30,04:04:44,02:11:24,51
2018-05-22,101617,231,17,2,00:08:08,0,1,07:30:00,07:07:59,02:18:30,00:00:00,08:30:05,01:22:06,00:50:09,00:30:04,18
2018-05-22,101618,111091,33,0,00:22:37,0,0,08:30:00,1d02:27:45,12:26:51,00:00:00,1d04:58:06,02:30:21,01:32:36,01:47:36,33
2018-05-22,101769,55766,57,3,00:07:30,0,3,05:15:00,13:38:33,07:07:42,00:00:00,1d01:29:36,11:51:03,02:03:56,02:06:52,60
2018-05-22,101776,90634,18,1,00:08:58,0,0,08:15:00,08:14:49,02:41:30,00:00:00,09:29:59,01:15:10,00:44:20,00:30:03,18
2018-05-22,101810,93802,2,0,00:40:15,0,0,02:20:00,02:06:56,01:20:30,00:00:00,02:23:22,00:16:26,00:15:00,00:00:00,2
2018-05-22,101845,69623,13,0,00:06:55,0,0,07:30:00,07:12:00,01:30:03,00:00:00,08:19:07,01:07:07,00:30:03,00:32:18,13
2018-05-22,101871,75710,8,0,00:14:29,0,0,07:30:00,03:52:36,01:55:53,00:00:00,08:26:46,04:34:10,00:29:32,00:28:59,8
2018-05-22,101877,93714,42,9,00:13:40,0,3,07:09:00,23:45:36,09:34:15,00:00:00,1d05:14:15,05:28:39,02:24:20,02:11:00,48
2018-05-22,101982,149215,48,3,00:10:43,0,3,07:14:00,22:42:24,08:34:39,00:00:00,1d04:35:24,05:53:00,01:39:56,02:06:36,51
2018-05-22,102018,82734,39,0,00:07:21,0,3,07:05:00,20:01:09,04:46:48,00:00:00,1d00:58:06,04:56:57,02:24:20,02:24:24,45
2018-05-22,102155,68134,13,1,00:20:43,0,0,07:17:00,07:10:45,04:29:23,00:00:00,08:28:59,01:18:14,00:29:12,00:29:15,13
2018-05-22,102223,59883,33,0,00:05:34,0,3,07:30:00,19:35:39,03:04:03,00:00:00,23:26:06,03:50:27,02:50:20,02:02:40,36
2018-05-22,102228,102611,13,0,00:11:41,0,1,07:30:00,07:40:35,02:32:04,00:00:00,09:00:53,01:20:18,00:43:20,00:31:54,14
2018-05-22,102264,60016,19,0,00:09:36,0,0,07:18:00,07:18:27,03:02:33,00:00:00,08:27:11,01:08:44,00:33:54,00:23:25,19
2018-05-22,102371,85907,30,3,00:12:55,0,0,04:00:00,12:30:06,06:27:33,00:00:00,1d01:30:09,13:00:03,00:57:52,01:58:20,30
2018-05-22,103365,60950,57,0,00:09:37,0,3,08:30:00,1d00:24:48,09:08:18,00:00:00,1d04:22:03,03:57:15,02:52:40,02:01:16,60
2018-05-22,103427,93714,45,9,00:10:50,0,9,08:30:00,1d00:43:36,08:08:03,00:00:00,1d03:45:18,03:01:42,02:41:04,00:00:00,54
2018-05-22,103624,114372,10,0,00:08:13,0,1,08:30:00,07:45:36,01:22:12,00:00:00,08:38:47,00:53:11,00:15:33,00:25:03,11
2018-05-22,103625,111091,30,0,00:17:29,0,0,08:30:00,1d00:42:42,08:44:33,00:00:00,1d04:29:15,03:46:33,02:58:00,02:02:40,30
2018-05-22,103656,69623,16,1,00:03:42,0,0,07:30:00,07:24:57,00:59:21,00:00:00,08:31:50,01:06:53,00:38:31,00:28:09,16
2018-05-22,103668,72207,33,6,00:15:27,0,6,05:52:00,16:31:27,08:30:03,00:00:00,1d01:33:54,09:02:27,02:00:04,02:35:56,39
2018-05-22,103670,72207,24,0,00:18:54,0,3,05:30:00,14:00:57,07:33:51,00:00:00,17:45:12,03:44:15,01:49:04,01:58:32,27
2018-05-22,103675,101870,33,0,00:13:08,0,0,06:30:00,20:34:00,07:13:48,00:00:00,1d01:03:33,04:29:33,02:01:40,02:05:56,33
2018-05-22,103677,81258,54,0,00:08:46,0,0,07:29:00,23:16:39,07:53:42,00:00:00,1d01:30:06,02:13:27,01:11:24,01:38:04,54
2018-05-22,103692,58129,45,21,00:05:14,0,6,07:30:00,21:08:21,03:55:54,00:00:00,1d01:28:36,04:20:15,01:50:48,02:03:48,51
