QUEUE_NUMBER,QUEUE_NAME,UNIT_OF_WORK_NAME,SERVICE_PERCENT,SERVICE_SECONDS,INTERVAL_MINUTES,QUEUE_TYPE,PROJECT_NAME,PROGRAM_NAME,SITE_NAME,REGION_NAME,STATE_NAME,PROVINCE_NAME,DISTRICT_NAME,COUNTRY_NAME,RECORD_EFF_DT,RECORD_END_DT
10093,AA_CAT_40_S,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10094,AA_CAT_40_SPANISH_S,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10090,Hlth_Safety_Net_s,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10092,Hlth_Safety_Spanish_s,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10089,Internal_HIX_CustSrv_s,Internal,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10083,Internal_Research_s,Internal,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10033,LTC_Tran_Phy_Claim_s,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10055,Mbr_Reque_s,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10081,MEC_AddNewborn_s,MEC,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10047,MEC_Application_s,MEC,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10051,MEC_Cust_Svc_s,MEC,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10046,MEC_Mbr_Eligibility_s,MEC,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10049,MEC_Notice_s,MEC,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10087,MH_HIX_NOWRONGDOOR_s,NA,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10024,MH_Mbr_Application,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10078,MH_Mbr_Card_Replace,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10026,MH_Mbr_CustSvc,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10036,MH_Mbr_Eligibilty_s,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10025,MH_Mbr_Enrollment,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10076,MH_Mbr_MAP,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10032,MH_Mbr_Medicare_D_s,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10038,MH_Mbr_Special2_s,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10016,MH_Mbr_Transport,Mass Health Member,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10018,MH_Prov_Claims,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10021,MH_Prov_CustSvc,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10020,MH_Prov_Enrollment,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10080,MH_Prov_Hipaa,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10053,MH_Prov_InPat_OutPat_s,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10075,MH_Prov_PIN,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10077,MH_Prov_POSC,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10039,MH_Prov_Special1_s,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10019,MH_Prov_Transport,Mass Health Provider,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
10084,One_Care_Mbr_Svcs,One Care,0,30,15,Inbound,MASS HEALTH,MASS HEALTH,Boston,Eastern,Massachusetts,Unknown,Unknown,USA,01/01/1900,12/31/2199
