FILTER_TYPE,VALUE
ACD_APPLICATION_ID_INC,10093
ACD_APPLICATION_ID_INC,10094
ACD_APPLICATION_ID_INC,10090
ACD_APPLICATION_ID_INC,10092
ACD_APPLICATION_ID_INC,10089
ACD_APPLICATION_ID_INC,10083
ACD_APPLICATION_ID_INC,10033
ACD_APPLICATION_ID_INC,10055
ACD_APPLICATION_ID_INC,10081
ACD_APPLICATION_ID_INC,10047
ACD_APPLICATION_ID_INC,10051
ACD_APPLICATION_ID_INC,10046
ACD_APPLICATION_ID_INC,10049
ACD_APPLICATION_ID_INC,10087
ACD_APPLICATION_ID_INC,10024
ACD_APPLICATION_ID_INC,10078
ACD_APPLICATION_ID_INC,10026
ACD_APPLICATION_ID_INC,10036
ACD_APPLICATION_ID_INC,10025
ACD_APPLICATION_ID_INC,10076
ACD_APPLICATION_ID_INC,10032
ACD_APPLICATION_ID_INC,10038
ACD_APPLICATION_ID_INC,10016
ACD_APPLICATION_ID_INC,10018
ACD_APPLICATION_ID_INC,10021
ACD_APPLICATION_ID_INC,10020
ACD_APPLICATION_ID_INC,10080
ACD_APPLICATION_ID_INC,10053
ACD_APPLICATION_ID_INC,10075
ACD_APPLICATION_ID_INC,10077
ACD_APPLICATION_ID_INC,10039
ACD_APPLICATION_ID_INC,10019
ACD_APPLICATION_ID_INC,10084
ACD_APPLICATION_ID_INC,10085
ACD_APPLICATION_ID_INC,10066
ACD_APPLICATION_ID_INC,10082
ACD_APPLICATION_ID_INC,10006
ACD_SKILL_GROUP_INC,10002
ACD_SKILL_GROUP_INC,10003
ACD_SKILL_GROUP_INC,10008
ACD_SKILL_GROUP_INC,10009
ACD_SKILL_GROUP_INC,10010
ACD_SKILL_GROUP_INC,10015
ACD_SKILL_GROUP_INC,10016
ACD_SKILL_GROUP_INC,10017
ACD_SKILL_GROUP_INC,10018
ACD_SKILL_GROUP_INC,10019
ACD_SKILL_GROUP_INC,10020
ACD_SKILL_GROUP_INC,10022
ACD_SKILL_GROUP_INC,10023
ACD_SKILL_GROUP_INC,10024
ACD_SKILL_GROUP_INC,10026
ACD_SKILL_GROUP_INC,10027
ACD_SKILL_GROUP_INC,10028
ACD_SKILL_GROUP_INC,10029
ACD_SKILL_GROUP_INC,10031
ACD_SKILL_GROUP_INC,10033
ACD_SKILL_GROUP_INC,10034
ACD_SKILL_GROUP_INC,10036
ACD_SKILL_GROUP_INC,10038
ACD_SKILL_GROUP_INC,10039
ACD_SKILL_GROUP_INC,10040
ACD_SKILL_GROUP_INC,10042
ACD_SKILL_GROUP_INC,10047
ACD_SKILL_GROUP_INC,10048
ACD_SKILL_GROUP_INC,10050
ACD_SKILL_GROUP_INC,10052
ACD_SKILL_GROUP_INC,10053
ACD_SKILL_GROUP_INC,10055
ACD_SKILL_GROUP_INC,10057
ACD_SKILL_GROUP_INC,10067
ACD_SKILL_GROUP_INC,10073
ACD_SKILL_GROUP_INC,10074
ACD_SKILL_GROUP_INC,10077
ACD_SKILL_GROUP_INC,10079
ACD_SKILL_GROUP_INC,10080
ACD_SKILL_GROUP_INC,10081
WFM_STAFF_GROUP_INC,1002
