LOOKUP_TYPE,LOOKUP_KEY,LOOKUP_VALUE
ACD_ABDDELAY_PERIOD,ABDDELAY10,CALLS_ABANDONED_PERIOD_1
ACD_ABDDELAY_PERIOD,ABDDELAY100,CALLS_ABANDONED_PERIOD_5
ACD_ABDDELAY_PERIOD,ABDDELAY110,CALLS_ABANDONED_PERIOD_5
ACD_ABDDELAY_PERIOD,ABDDELAY12,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY120,CALLS_ABANDONED_PERIOD_5
ACD_ABDDELAY_PERIOD,ABDDELAY130,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY14,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY140,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY150,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY16,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY160,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY170,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY18,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY180,CALLS_ABANDONED_PERIOD_6
ACD_ABDDELAY_PERIOD,ABDDELAY190,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY2,CALLS_ABANDONED_PERIOD_1
ACD_ABDDELAY_PERIOD,ABDDELAY20,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY200,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY210,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY22,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY220,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY230,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY24,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY240,CALLS_ABANDONED_PERIOD_7
ACD_ABDDELAY_PERIOD,ABDDELAY250,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY26,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY260,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY270,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY28,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY280,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY290,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY30,CALLS_ABANDONED_PERIOD_2
ACD_ABDDELAY_PERIOD,ABDDELAY300,CALLS_ABANDONED_PERIOD_8
ACD_ABDDELAY_PERIOD,ABDDELAY32,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY34,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY36,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY360,CALLS_ABANDONED_PERIOD_9
ACD_ABDDELAY_PERIOD,ABDDELAY38,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY4,CALLS_ABANDONED_PERIOD_1
ACD_ABDDELAY_PERIOD,ABDDELAY40,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY42,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY420,CALLS_ABANDONED_PERIOD_9
ACD_ABDDELAY_PERIOD,ABDDELAY44,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY46,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY48,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY480,CALLS_ABANDONED_PERIOD_9
ACD_ABDDELAY_PERIOD,ABDDELAY50,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY52,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY54,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY540,CALLS_ABANDONED_PERIOD_9
ACD_ABDDELAY_PERIOD,ABDDELAY56,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY58,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY6,CALLS_ABANDONED_PERIOD_1
ACD_ABDDELAY_PERIOD,ABDDELAY60,CALLS_ABANDONED_PERIOD_3
ACD_ABDDELAY_PERIOD,ABDDELAY600,CALLS_ABANDONED_PERIOD_9
ACD_ABDDELAY_PERIOD,ABDDELAY70,CALLS_ABANDONED_PERIOD_4
ACD_ABDDELAY_PERIOD,ABDDELAY8,CALLS_ABANDONED_PERIOD_1
ACD_ABDDELAY_PERIOD,ABDDELAY80,CALLS_ABANDONED_PERIOD_4
ACD_ABDDELAY_PERIOD,ABDDELAY90,CALLS_ABANDONED_PERIOD_4
ACD_ABDDELAY_PERIOD,ABDDELAYBEYOND,CALLS_ABANDONED_PERIOD_10
ACD_ANSDELAY_PERIOD,ANSDELAY10,SPEED_OF_ANSWER_PERIOD_1
ACD_ANSDELAY_PERIOD,ANSDELAY100,SPEED_OF_ANSWER_PERIOD_5
ACD_ANSDELAY_PERIOD,ANSDELAY110,SPEED_OF_ANSWER_PERIOD_5
ACD_ANSDELAY_PERIOD,ANSDELAY12,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY120,SPEED_OF_ANSWER_PERIOD_5
ACD_ANSDELAY_PERIOD,ANSDELAY130,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY14,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY140,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY150,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY16,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY160,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY170,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY18,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY180,SPEED_OF_ANSWER_PERIOD_6
ACD_ANSDELAY_PERIOD,ANSDELAY190,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY2,SPEED_OF_ANSWER_PERIOD_1
ACD_ANSDELAY_PERIOD,ANSDELAY20,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY200,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY210,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY22,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY220,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY230,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY24,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY240,SPEED_OF_ANSWER_PERIOD_7
ACD_ANSDELAY_PERIOD,ANSDELAY250,SPEED_OF_ANSWER_PERIOD_8
ACD_ANSDELAY_PERIOD,ANSDELAY26,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY260,SPEED_OF_ANSWER_PERIOD_8
ACD_ANSDELAY_PERIOD,ANSDELAY270,SPEED_OF_ANSWER_PERIOD_8
ACD_ANSDELAY_PERIOD,ANSDELAY28,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY280,SPEED_OF_ANSWER_PERIOD_8
ACD_ANSDELAY_PERIOD,ANSDELAY290,SPEED_OF_ANSWER_PERIOD_8
ACD_ANSDELAY_PERIOD,ANSDELAY30,SPEED_OF_ANSWER_PERIOD_2
ACD_ANSDELAY_PERIOD,ANSDELAY300,SPEED_OF_ANSWER_PERIOD_9
ACD_ANSDELAY_PERIOD,ANSDELAY32,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY34,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY36,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY360,SPEED_OF_ANSWER_PERIOD_9
ACD_ANSDELAY_PERIOD,ANSDELAY38,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY4,SPEED_OF_ANSWER_PERIOD_1
ACD_ANSDELAY_PERIOD,ANSDELAY40,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY42,SPEED_OF_ANSWER_PERIOD_3
ACD_ANSDELAY_PERIOD,ANSDELAY420,SPEED_OF_ANSWER_PERIOD_9
ACD_ANSDELAY_PERIOD,ANSDELAY44,SPEED_OF_ANSWER_PERIOD_3
