ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_CATEGORY	ACTIVITY_TYPE_DESCRIPTION	IS_PAID_FLAG	IS_AVAILABLE_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT	VERSION
Calls - Basics	Available	Skillsets learned in Phase I	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Extended	Available	Full Member with HIX training and no Phase 1 skillsets	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Extended H	Available	Full Member with no Base HIX training and no Phase 1 skillsets	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Extended Spanish	Available	"Full Member with Base HIX training, Spanish and no Phase 1 skillsets"	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Extended Spanish H	Available	"Full Member with Base HIX training, Spanish and no Phase 1 skillsets"	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Focused	Available	Minimal skillsets	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Extended	Available	Full Member with HIX Application and no Phase 1 skillsets	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Extended Spanish	Available	Full Member with HIX Application and no Phase 1 skillsets	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Member	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Member Spanish	Available	HIX Application Trained with Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX One Care Member	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX One Care Member Spanish	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX One Care Provider	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX One Care Provider Spanish	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Provider	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HIX Provider Spanish	Available	HIX Application Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HSN HIX Member Spanish	Available	CSRs Trained on HSN and HIX Calls w/Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HSN Member	Available	CSRs Trained on HSN Calls	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HSN Member Spanish	Available	CSRs Trained on HSN Calls w/Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HSN One Care Member	Available	CSRs Trained on HSN and One Care Calls	1	1	0	0	1900/01/01	2199/12/31	1
Calls - HSN One Care Member Spanish	Available	CSRs Trained on HSN and One Care Calls w/Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Managed Care	Available	Calls - Managed Care	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Managed Care H	Available	Base HIX Trained	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Member	Available	Calls - Member	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Member Spanish	Available	Calls - Member Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - One Care Member	Available	Calls - One Care Member	1	1	0	0	1900/01/01	2199/12/31	1
Calls - One Care Member Spanish	Available	Calls - One Care Member Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Calls - One Care Provider	Available	Calls - One Care Provider	1	1	0	0	1900/01/01	2199/12/31	1
Calls - One Care Provider Spanish	Available	Calls - One Care Provider Spanish	1	1	0	0	1900/01/01	2199/12/31	1
