D_CONTACT_QUEUE_ID,QUEUE_NUMBER,QUEUE_NAME,SOURCE_QUEUE,QUEUE_TYPE,SERVICE_PERCENT,SERVICE_SECONDS,QUEUE_GROUP,INTERVAL_MINUTES,SPEED_ANSWER_PERIOD_1_BOUND,SPEED_ANSWER_PERIOD_2_BOUND,SPEED_ANSWER_PERIOD_3_BOUND,SPEED_ANSWER_PERIOD_4_BOUND,SPEED_ANSWER_PERIOD_5_BOUND,SPEED_ANSWER_PERIOD_6_BOUND,SPEED_ANSWER_PERIOD_7_BOUND,SPEED_ANSWER_PERIOD_8_BOUND,SPEED_ANSWER_PERIOD_9_BOUND,SPEED_ANSWER_PERIOD_10_BOUND,CALLS_ABNDONED_PERIOD_1_BOUND,CALLS_ABNDONED_PERIOD_2_BOUND,CALLS_ABNDONED_PERIOD_3_BOUND,CALLS_ABNDONED_PERIOD_4_BOUND,CALLS_ABNDONED_PERIOD_5_BOUND,CALLS_ABNDONED_PERIOD_6_BOUND,CALLS_ABNDONED_PERIOD_7_BOUND,CALLS_ABNDONED_PERIOD_8_BOUND,CALLS_ABNDONED_PERIOD_9_BOUND,CALLS_ABNDONED_PERIOD_10_BOUND,VERSION,RECORD_EFF_DT,RECORD_END_DT
1,10093,AA_CAT_40_S,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
2,10094,AA_CAT_40_SPANISH_S,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
3,10090,Hlth_Safety_Net_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
4,10092,Hlth_Safety_Spanish_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
5,10089,Internal_HIX_CustSrv_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
6,10083,Internal_Research_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
7,10033,LTC_Tran_Phy_Claim_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
8,10055,Mbr_Reque_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
9,10081,MEC_AddNewborn_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
10,10047,MEC_Application_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
11,10051,MEC_Cust_Svc_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
12,10046,MEC_Mbr_Eligibility_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
13,10049,MEC_Notice_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
14,10087,MH_HIX_NOWRONGDOOR_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
15,10024,MH_Mbr_Application,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
16,10078,MH_Mbr_Card_Replace,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
17,10026,MH_Mbr_CustSvc,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
18,10036,MH_Mbr_Eligibilty_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
19,10025,MH_Mbr_Enrollment,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
20,10076,MH_Mbr_MAP,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
21,10032,MH_Mbr_Medicare_D_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
22,10038,MH_Mbr_Special2_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
23,10016,MH_Mbr_Transport,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
24,10018,MH_Prov_Claims,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
25,10021,MH_Prov_CustSvc,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
26,10020,MH_Prov_Enrollment,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
27,10080,MH_Prov_Hipaa,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
28,10053,MH_Prov_InPat_OutPat_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
29,10075,MH_Prov_PIN,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
30,10077,MH_Prov_POSC,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
31,10039,MH_Prov_Special1_s,0,Inbound,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
