QUEUE_NUMBER,QUEUE_NAME,UNIT_OF_WORK_NAME,SERVICE_PERCENT,SERVICE_SECONDS,INTERVAL_MINUTES,QUEUE_TYPE,PROJECT_NAME,PROGRAM_NAME,SITE_NAME,REGION_NAME,STATE_NAME,PROVINCE_NAME,DISTRICT_NAME,COUNTRY_NAME,RECORD_EFF_DT,RECORD_END_DT
10012,CSR English,EEV English,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10013,CSR Spanish,EEV Spanish,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10014,Call Back English,EEV English,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10015,Call Back Spanish,EEV Spanish,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10020,Senior CSR Spanish,EEV Spanish,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10021,Senior CSR English,EEV English,0,60,15,Inbound,IL EEV,EEV,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10039,CES Call Back English,CES English,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10040,CES Call Back Spanish,CES Spanish,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10041,VMC Inbound English,VMC English,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10042,VMC Inbound Spanish,VMC Spanish,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10043,ICP inbound English,ICP English,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10044,ICP inbound Spanish,ICP Spanish,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10045,Health Connect inbound English,Health Connect English,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10046,Health Connect inbound Spanish,Health Connect Spanish,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10047,General English,General English,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10048,General Spanish,General Spanish,0,30,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10049,VMC outbound English,VMC English,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10050,Health Connect outbound Spanish,Health Connect Spanish,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10051,ICP outbound English,ICP English,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10052,ICP outbound Spanish,ICP Spanish,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10053,Health Connect outbound English,Health Connect English,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10054,VMC outbound Spanish,VMC Spanish,0,30,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10066,MMAI Inbound English,MMAI English,0,20,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10067,MMAI Outbound English,MMAI English,0,20,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10068,MMAI Outbound Spanish,MMAI Spanish,0,20,15,Outbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
10069,MMAI Inbound Spanish,MMAI Spanish,0,20,15,Inbound,IL EB,EB,Illinois,Central,Illinois,Unknown,Unknown,USA,1/1/1900,12/31/2199
