INTERVAL_DATE,QUEUE_NAME,INTERVAL_START_TIME,CONTACTS_RECEIVED_FROM_IVR,CONTACTS_OFFERED,CONTACTS_HANDLED,CONTACTS_ABANDONED,MIN_HANDLE_TIME,MAX_HANDLE_TIME,MEAN_HANDLE_TIME,MEDIAN_HANDLE_TIME,STDDEV_HANDLE_TIME,MIN_SPEED_TO_HANDLE,MAX_SPEED_TO_HANDLE,MEAN_SPEED_TO_HANDLE,MEDIAN_SPEED_TO_HANDLE,STDDEV_SPEED_TO_HANDLE,MIN_SPEED_OF_ANSWER,MAX_SPEED_OF_ANSWER,MEAN_SPEED_OF_ANSWER,MEDIAN_SPEED_OF_ANSWER,STDDEV_SPEED_OF_ANSWER,SPEED_OF_ANSWER_PERIOD_1,SPEED_OF_ANSWER_PERIOD_2,SPEED_OF_ANSWER_PERIOD_3,SPEED_OF_ANSWER_PERIOD_4,SPEED_OF_ANSWER_PERIOD_5,SPEED_OF_ANSWER_PERIOD_6,SPEED_OF_ANSWER_PERIOD_7,SPEED_OF_ANSWER_PERIOD_8,SPEED_OF_ANSWER_PERIOD_9,SPEED_OF_ANSWER_PERIOD_10,CALLS_ABANDONED_PERIOD_1,CALLS_ABANDONED_PERIOD_2,CALLS_ABANDONED_PERIOD_3,CALLS_ABANDONED_PERIOD_4,CALLS_ABANDONED_PERIOD_5,CALLS_ABANDONED_PERIOD_6,CALLS_ABANDONED_PERIOD_7,CALLS_ABANDONED_PERIOD_8,CALLS_ABANDONED_PERIOD_9,CALLS_ABANDONED_PERIOD_10,LABOR_MINUTES_TOTAL,LABOR_MINUTES_WAITING,HEADCOUNT_AVAILABLE,CONTACTS_TRANSFERRED,ANSWER_WAIT_TIME_TOTAL,ABANDON_TIME_TOTAL,SERVICE_LEVEL_ANSWERED_PERCENT,SERVICE_LEVEL_ANSWERED_COUNT,SERVICE_LEVEL_ABANDONED,CALLS_ON_HOLD,HOLD_TIME_TOTAL,SHORT_ABANDONS,TALK_TIME_TOTAL,AFTER_CALL_WORK_TIME_TOTAL,CALL_TYPE,IVR_TIME_TOTAL
5/16/2014,Webchat,5:00:00,0,1,1,0,11,11,11,0,0,17,17,17,0,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,6,0,100,1,0,0,0,0,11,0,2,0
5/16/2014,Webchat,5:30:00,0,2,2,0,486,500,493,0,9.9,505,603,554,0,69.3,5,117,61,5,79.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.62,0,1,0,122,0,50,1,0,0,0,0,986,0,2,0
5/16/2014,Webchat,6:00:00,0,3,2,0,0,1014,677.5,341,515.98,0,1019,643.67,0,559.99,0,571,192,0,328.23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.07,0,1,0,576,0,50,1,0,0,0,0,1355,0,2,0
5/16/2014,InboundAban,6:30:00,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,Inbound,81
5/16/2014,Webchat,6:30:00,0,1,1,0,1664,1664,1664,0,0,1670,1670,1670,0,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,1,0,6,0,100,1,0,0,0,0,1664,0,2,0
5/16/2014,InboundAban,7:00:00,0,0,0,0,0,0,0,0,0,15,20,0,20,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,Inbound,35
5/16/2014,InboundAban,7:30:00,0,0,0,0,0,0,0,0,0,15,65,0,0,15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,2,0,0,0,0,0,0,0,0,0,0,0,Inbound,222
5/16/2014,Labor,7:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.81,0.06,2,0,0,0,0,0,0,0,0,0,0,0,,0
5/16/2014,Webchat,7:30:00,0,1,1,0,79,79,79,0,0,85,85,85,0,0,6,6,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,2,0,6,0,100,1,0,0,0,0,79,0,2,0
5/16/2014,InboundAban,8:00:00,0,0,0,0,0,0,0,0,0,18,275,0,0,110.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,10,0,0,0,0,0,0,0,0,0,0,0,Inbound,466
5/16/2014,Labor,8:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,4.85,10,0,0,0,0,0,0,0,0,0,0,0,,0
