ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_CATEGORY	ACTIVITY_TYPE_DESCRIPTION	IS_PAID_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT	VERSION
ABSENT	Unscheduled PTO	Sick or absent	1	0	1	1900/01/01	2999/12/31	1
BOA	Other Not Ready	Beginning of Attendance	1	0	0	1900/01/01	2999/12/31	1
Break	Lunch and Break	Break	1	0	0	1900/01/01	2999/12/31	1
Coaching	Other Not Ready	Coaching One on One	1	0	0	1900/01/01	2999/12/31	1
EOA	Other Not Ready	End of Attendance	1	0	0	1900/01/01	2999/12/31	1
ICES English CSR	Available	Ready/Handle Time for ICES English Contacts	1	1	0	1900/01/01	2999/12/31	1
ICES Spanish CSR	Available	Ready/Handle Time for ICES Spanish Contacts	1	1	0	1900/01/01	2999/12/31	1
Lunch	Lunch and Break	Lunch	0	0	0	1900/01/01	2999/12/31	1
Meeting	Meeting	Meeting/Huddle	1	0	0	1900/01/01	2999/12/31	1
Off	Scheduled PTO	Off	0	0	1	1900/01/01	2999/12/31	1
RTO	Scheduled PTO	Requested Time Off	0	0	1	1900/01/01	2999/12/31	1
Training	Training	Training Session	1	0	0	1900/01/01	2999/12/31	1
Unknown Non-Work	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Non-Work state, but the exact activity cannot be determined."	1	0	0	1900/01/01	2999/12/31	1
Unknown Work	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Work state, but the exact activity cannot be determined."	1	0	0	1900/01/01	2999/12/31	1
VTO/ITO	Scheduled PTO	Voluntary or Involuntary Time off	0	0	1	1900/01/01	2999/12/31	1
Spanish CSR	Available	Ready/Handle Time for EEV Spanish Contacts	1	1	0	1900/01/01	2999/12/31	1
Senior CSR Spanish	Available	Ready/Handle Time for EEV Sr. Spanish Contacts	1	1	0	1900/01/01	2999/12/31	1
Long Term Care- LTC	Available	Ready/Handle Time for EEV Long Term Care Contacts	1	1	0	1900/01/01	2999/12/31	1
English CSR	Available	Ready/Handle Time for EEV English Contacts	1	1	0	1900/01/01	2999/12/31	1
Senior CSR English	Available	Ready/Handle Time for EEV Sr. English Contacts	1	1	0	1900/01/01	2999/12/31	1
