QUEUE_NUMBER,QUEUE_NAME,UNIT_OF_WORK_NAME,SERVICE_PERCENT,SERVICE_SECONDS,INTERVAL_MINUTES,QUEUE_TYPE,PROJECT_NAME,PROGRAM_NAME,SITE_NAME,REGION_NAME,STATE_NAME,PROVINCE_NAME,DISTRICT_NAME,COUNTRY_NAME,RECORD_EFF_DT,RECORD_END_DT
10011,State_Wide_EN_s,SWCC English,95,20,15,Inbound,NY HIX,SWCC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10013,Renew_EN_s,NYEC English,95,20,15,Inbound,NY EC,EC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10015,Renew_SP_s,NYEC Spanish,95,20,15,Inbound,NY EC,EC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10016,State_Wide_SP_s,SWCC Spanish,95,20,15,Inbound,NY HIX,SWCC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10017,Renew_Outbound_s,NYEC Outbound,95,20,15,Outbound,NY EC,EC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10018,SW_Renew_Other_s,SWCC Other,95,20,15,Inbound,NY HIX,SWCC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10022,MRT_Eng_s,SWCC English,95,20,15,Inbound,NY HIX,SWCC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10023,MRT_Spn_s,SWCC Spanish,95,20,15,Inbound,NY HIX,SWCC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10024,Quick_Resp_EN_s,NYEC English,95,20,15,Inbound,NY EC,EC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10025,Quick_Resp_SP_s,NYEC Spanish,95,20,15,Inbound,NY EC,EC,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10026,FPBP_Prov_s,FPBP English,95,20,15,Inbound,NY FPBP,FPBP,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10027,FPBP_Eng_s,FPBP English,95,20,15,Inbound,NY FPBP,FPBP,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10028,FPBP_Spn_s,FPBP Spanish,95,20,15,Inbound,NY FPBP,FPBP,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10029,NYHBE_APPEALS_ENG_s,NYHIX English,95,20,15,Inbound,NY HIX,HIX,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10030,NYHBE_APPEALS_SPAN_s,NYHIX Spanish,95,20,15,Inbound,NY HIX,HIX,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10031,NYHBE_APPLY_ENG_s,NYHIX English,95,20,15,Inbound,NY HIX,HIX,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10032,NYHBE_APPLY_SPAN_s,NYHIX Spanish,95,20,15,Inbound,NY HIX,HIX,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
10033,NYHBE_BROK_ENG_s,NYHIX English,95,20,15,Inbound,NY HIX,HIX,Albany,Eastern,New York,Unknown,Unknown,USA,01/01/1900,12/31/2199
