FILTER_TYPE,VALUE
ACD_APPLICATION_ID_INC,10011
ACD_APPLICATION_ID_INC,10013
ACD_APPLICATION_ID_INC,10015
ACD_APPLICATION_ID_INC,10016
ACD_APPLICATION_ID_INC,10017
ACD_APPLICATION_ID_INC,10018
ACD_APPLICATION_ID_INC,10022
ACD_APPLICATION_ID_INC,10023
ACD_APPLICATION_ID_INC,10024
ACD_APPLICATION_ID_INC,10025
ACD_APPLICATION_ID_INC,10026
ACD_APPLICATION_ID_INC,10027
ACD_APPLICATION_ID_INC,10028
ACD_APPLICATION_ID_INC,10029
ACD_APPLICATION_ID_INC,10030
ACD_APPLICATION_ID_INC,10031
ACD_APPLICATION_ID_INC,10032
ACD_APPLICATION_ID_INC,10033
ACD_APPLICATION_ID_INC,10034
ACD_APPLICATION_ID_INC,10035
ACD_APPLICATION_ID_INC,10036
ACD_APPLICATION_ID_INC,10037
ACD_APPLICATION_ID_INC,10038
ACD_APPLICATION_ID_INC,10039
ACD_APPLICATION_ID_INC,10040
ACD_APPLICATION_ID_INC,10041
ACD_APPLICATION_ID_INC,10042
ACD_APPLICATION_ID_INC,10043
ACD_APPLICATION_ID_INC,10044
ACD_APPLICATION_ID_INC,10045
ACD_APPLICATION_ID_INC,10046
ACD_APPLICATION_ID_INC,10047
ACD_APPLICATION_ID_INC,10048
ACD_APPLICATION_ID_INC,10049
ACD_APPLICATION_ID_INC,10050
ACD_APPLICATION_ID_INC,10051
ACD_APPLICATION_ID_INC,10052
ACD_APPLICATION_ID_INC,10053
ACD_APPLICATION_ID_INC,10054
ACD_APPLICATION_ID_INC,10055
ACD_APPLICATION_ID_INC,10056
ACD_APPLICATION_ID_INC,10057
ACD_APPLICATION_ID_INC,10058
ACD_APPLICATION_ID_INC,10059
ACD_APPLICATION_ID_INC,10060
ACD_APPLICATION_ID_INC,10061
ACD_APPLICATION_ID_INC,10062
ACD_APPLICATION_ID_INC,10063
ACD_APPLICATION_ID_INC,10064
ACD_APPLICATION_ID_INC,10065
ACD_APPLICATION_ID_INC,10066
ACD_APPLICATION_ID_INC,10067
ACD_APPLICATION_ID_INC,10068
ACD_APPLICATION_ID_INC,10069
ACD_APPLICATION_ID_INC,10070
ACD_APPLICATION_ID_INC,10071
ACD_APPLICATION_ID_INC,10072
ACD_APPLICATION_ID_INC,10073
ACD_APPLICATION_ID_INC,10079
ACD_APPLICATION_ID_INC,10080
ACD_APPLICATION_ID_INC,10081
ACD_APPLICATION_ID_INC,10082
ACD_APPLICATION_ID_INC,10083
ACD_APPLICATION_ID_INC,10084
ACD_APPLICATION_ID_INC,10085
ACD_APPLICATION_ID_INC,10086
ACD_APPLICATION_ID_INC,10087
ACD_APPLICATION_ID_INC,10088
ACD_APPLICATION_ID_INC,10098
ACD_APPLICATION_ID_INC,10099
ACD_APPLICATION_ID_INC,10100
ACD_APPLICATION_ID_INC,10103
ACD_APPLICATION_ID_INC,10105
ACD_APPLICATION_ID_INC,10146
ACD_APPLICATION_ID_INC,10147
ACD_APPLICATION_ID_INC,10148
ACD_APPLICATION_ID_INC,10149
ACD_APPLICATION_ID_INC,10150
