LOOKUP_TYPE,LOOKUP_KEY,LOOKUP_VALUE
WFM_GROUP_PROJECT,1001,NY HIX
WFM_GROUP_PROGRAM,1001,SWCC
WFM_GROUP_PROJECT,1002,NY HIX
WFM_GROUP_PROGRAM,1002,HIX
WFM_GROUP_PROJECT,1003,NY HIX
WFM_GROUP_PROGRAM,1003,HIX
WFM_GROUP_PROJECT,1038,NY HIX
WFM_GROUP_PROGRAM,1038,HIX
WFM_GROUP_PROJECT,1040,NY HIX
WFM_GROUP_PROGRAM,1040,HIX
WFM_GROUP_PROJECT,1041,NY HIX
WFM_GROUP_PROGRAM,1041,HIX
WFM_GROUP_PROJECT,1042,NY HIX
WFM_GROUP_PROGRAM,1042,HIX
WFM_GROUP_PROJECT,1043,NY HIX
WFM_GROUP_PROGRAM,1043,HIX
WFM_GROUP_PROJECT,1047,NY HIX
WFM_GROUP_PROGRAM,1047,HIX
WFM_GROUP_PROJECT,1059,NY EC
WFM_GROUP_PROGRAM,1059,EC
WFM_GROUP_PROJECT,1061,NY EC
WFM_GROUP_PROGRAM,1061,EC
WFM_GROUP_PROJECT,1062,NY EC
WFM_GROUP_PROGRAM,1062,EC
WFM_GROUP_PROJECT,1063,NY FPBP
WFM_GROUP_PROGRAM,1063,FPBP
WFM_GROUP_PROJECT,1067,NY EC
WFM_GROUP_PROGRAM,1067,EC
WFM_GROUP_PROJECT,1068,NY FPBP
WFM_GROUP_PROGRAM,1068,FPBP
WFM_GROUP_PROJECT,1069,NY EC
WFM_GROUP_PROGRAM,1069,EC
WFM_GROUP_PROJECT,1070,NY EC
WFM_GROUP_PROGRAM,1070,EC
WFM_GROUP_PROJECT,1072,NY EC
WFM_GROUP_PROGRAM,1072,EC
ACD_SKILLSET_PROJECT,10003,NY HIX
ACD_SKILLSET_PROGRAM,10003,SWCC
ACD_SKILLSET_PROJECT,10004,NY HIX
ACD_SKILLSET_PROGRAM,10004,SWCC
ACD_SKILLSET_PROJECT,10005,NY HIX
ACD_SKILLSET_PROGRAM,10005,SWCC
ACD_SKILLSET_PROJECT,10006,NY HIX
ACD_SKILLSET_PROGRAM,10006,SWCC
ACD_SKILLSET_PROJECT,10007,NY HIX
ACD_SKILLSET_PROGRAM,10007,SWCC
ACD_SKILLSET_PROJECT,10008,NY HIX
ACD_SKILLSET_PROGRAM,10008,SWCC
ACD_SKILLSET_PROJECT,10009,NY HIX
ACD_SKILLSET_PROGRAM,10009,SWCC
ACD_SKILLSET_PROJECT,10010,NY HIX
ACD_SKILLSET_PROGRAM,10010,SWCC
ACD_SKILLSET_PROJECT,10011,NY HIX
ACD_SKILLSET_PROGRAM,10011,SWCC
ACD_SKILLSET_PROJECT,10012,NY EC
ACD_SKILLSET_PROGRAM,10012,EC
ACD_SKILLSET_PROJECT,10013,NY EC
ACD_SKILLSET_PROGRAM,10013,EC
ACD_SKILLSET_PROJECT,10014,NY EC
ACD_SKILLSET_PROGRAM,10014,EC
ACD_SKILLSET_PROJECT,10015,NY EC
ACD_SKILLSET_PROGRAM,10015,EC
