UNIT_OF_WORK_NAME,RECORD_EFF_DT,RECORD_END_DT
N/A,1900/01/01,2999/12/31
FPBP English,1900/01/01,2999/12/31
FPBP Prov,1900/01/01,2999/12/31
FPBP Spanish,1900/01/01,2999/12/31
NYEC English,1900/01/01,2999/12/31
NYEC Outbound,1900/01/01,2999/12/31
NYEC Spanish,1900/01/01,2999/12/31
NYHIX Cantonese,1900/01/01,2999/12/31
NYHIX English,1900/01/01,2999/12/31
NYHIX Haitian Creole,1900/01/01,2999/12/31
NYHIX Mandarin,1900/01/01,2999/12/31
NYHIX Other,1900/01/01,2999/12/31
NYHIX Russian,1900/01/01,2999/12/31
NYHIX Spanish,1900/01/01,2999/12/31
SWCC English,1900/01/01,2999/12/31
SWCC Other,1900/01/01,2999/12/31
SWCC Spanish,1900/01/01,2999/12/31
