ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_CATEGORY	ACTIVITY_TYPE_DESCRIPTION	IS_PAID_FLAG	IS_AVAILABLE_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT	VERSION
Account Correction	Other Not Ready	Account Correction	0	0	0	0	1900/01/01	2999/12/31	1
Agent Classroom	Training	Classroom based training	1	0	0	0	1900/01/01	2999/12/31	1
Agent Self Study Online	Training	Agent Self Study Online	1	0	0	0	1900/01/01	2999/12/31	1
Application in Process	Other Not Ready	Application in Process	1	0	0	0	1900/01/01	2999/12/31	1
Beginning of Attendance	Other Not Ready	Beginning of Attendance	1	0	0	0	1900/01/01	2999/12/31	1
Break	Lunch and Break	Break	1	0	0	0	1900/01/01	2999/12/31	1
CC Supervisor	Other Not Ready	CC Supervisor	1	0	0	0	1900/01/01	2999/12/31	1
Clock In	Other Not Ready	Clock In	1	0	0	0	1900/01/01	2999/12/31	1
Clock Out	Other Not Ready	Clock Out	1	0	0	0	1900/01/01	2999/12/31	1
Complaint	Training	Complaint 	1	0	0	0	1900/01/01	2999/12/31	1
Complaints/NYSOH Support - Outbound Calls	Other Not Ready	Complaints/NYSOH Support - Outbound Calls	1	0	0	0	1900/01/01	2999/12/31	1
Compliance	Training	Compliance or other HC mandated training	1	0	0	0	1900/01/01	2999/12/31	1
CSS I - SHOP	Available	CSS I - SHOP	1	1	0	0	1900/01/01	2999/12/31	1
CSS II - SHOP	Available	CSS II - SHOP	1	1	0	0	1900/01/01	2999/12/31	1
CSS III	Available	CSS III	1	1	0	0	1900/01/01	2999/12/31	1
CSS III Bilingual	Available	CSS III Bilingual	1	1	0	0	1900/01/01	2999/12/31	1
CSS III Spec Lang	Available	CSS III Spec Lang	1	1	0	0	1900/01/01	2999/12/31	1
CSS IV	Available	CSS IV	1	1	0	0	1900/01/01	2999/12/31	1
CSS IV Bilingual	Available	CSS IV Bilingual	1	1	0	0	1900/01/01	2999/12/31	1
Data Entry Research Task	Other Not Ready	Data Entry Research Task	1	0	0	0	1900/01/01	2999/12/31	1
Doc/Form Type Mismatch Task	Other Not Ready	Doc/Form Type Mismatch Task	1	0	0	0	1900/01/01	2999/12/31	1
Early Departure	Unscheduled PTO	Time Off	0	0	0	1	1900/01/01	2999/12/31	1
E-Chat	Available	Scheduled Web Chat	1	1	0	0	1900/01/01	2999/12/31	1
Eligibility Specialist A	Other Not Ready	Financial Management related returned mail	1	0	0	0	1900/01/01	2999/12/31	1
Eligibility Specialist B	Other Not Ready	Captures High Speed Data Entry tasks	1	0	0	0	1900/01/01	2999/12/31	1
Eligibility Specialist C - Appeals	Available	Appeals	1	1	0	0	1900/01/01	2999/12/31	1
Emergency Personal Call	Other Not Ready	Emergency Personal Call	1	0	0	0	1900/01/01	2999/12/31	1
Employee Application	Other Not Ready	Employee Application	1	0	0	0	1900/01/01	2999/12/31	1
Employer Application 	Other Not Ready	Employer Application 	1	0	0	0	1900/01/01	2999/12/31	1
End of Attendance	Other Not Ready	End of Attendance	1	0	0	0	1900/01/01	2999/12/31	1
Existing Appeal	Other Not Ready	Existing Appeal	1	0	0	0	1900/01/01	2999/12/31	1
Financial Management	Other Not Ready	DPR - Financial Management	1	0	0	0	1900/01/01	2999/12/31	1
Financial Management Specialist	Available	Financial Management Specialists	1	1	0	0	1900/01/01	2999/12/31	1
FM Returned Mail	Other Not Ready	FM Returned Mail	1	0	0	0	1900/01/01	2999/12/31	1
FM Specialists	Available	FM Specialists	1	1	0	0	1900/01/01	2999/12/31	1
Free Form Text	Other Not Ready	Free Form Text	1	0	0	0	1900/01/01	2999/12/31	1
Holiday	Scheduled PTO	Holiday	1	0	0	1	1900/01/01	2999/12/31	1
HSDE	Other Not Ready	"HSDE Verification, HSDE Application, KOFAX Fax QC, KOFAX Mail QC"	1	0	0	0	1900/01/01	2999/12/31	1
HSDE Application	Other Not Ready	HSDE Application	1	0	0	0	1900/01/01	2999/12/31	1
HSDE QC	Other Not Ready	HSDE QC	1	0	0	0	1900/01/01	2999/12/31	1
HSDE Verification	Other Not Ready	HSDE Verification	1	0	0	0	1900/01/01	2999/12/31	1
HSDE-QC VHT	Other Not Ready	HSDE-QC VHT	1	0	0	0	1900/01/01	2999/12/31	1
