D_CONTACT_QUEUE_ID,QUEUE_NUMBER,QUEUE_NAME,SOURCE_QUEUE,QUEUE_TYPE,SERVICE_PERCENT,SERVICE_SECONDS,QUEUE_GROUP,INTERVAL_MINUTES,SPEED_ANSWER_PERIOD_1_BOUND,SPEED_ANSWER_PERIOD_2_BOUND,SPEED_ANSWER_PERIOD_3_BOUND,SPEED_ANSWER_PERIOD_4_BOUND,SPEED_ANSWER_PERIOD_5_BOUND,SPEED_ANSWER_PERIOD_6_BOUND,SPEED_ANSWER_PERIOD_7_BOUND,SPEED_ANSWER_PERIOD_8_BOUND,SPEED_ANSWER_PERIOD_9_BOUND,SPEED_ANSWER_PERIOD_10_BOUND,CALLS_ABNDONED_PERIOD_1_BOUND,CALLS_ABNDONED_PERIOD_2_BOUND,CALLS_ABNDONED_PERIOD_3_BOUND,CALLS_ABNDONED_PERIOD_4_BOUND,CALLS_ABNDONED_PERIOD_5_BOUND,CALLS_ABNDONED_PERIOD_6_BOUND,CALLS_ABNDONED_PERIOD_7_BOUND,CALLS_ABNDONED_PERIOD_8_BOUND,CALLS_ABNDONED_PERIOD_9_BOUND,CALLS_ABNDONED_PERIOD_10_BOUND,VERSION,RECORD_EFF_DT,RECORD_END_DT
0,0,Unknown,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1900,12/31/2199
16,10011,State_Wide_EN_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
17,10013,Renew_EN_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
19,10015,Renew_SP_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
20,10016,State_Wide_SP_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
21,10017,Renew_Outbound_s,0,Outbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
22,10018,SW_Renew_Other_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
26,10022,MRT_Eng_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
27,10023,MRT_Spn_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
28,10024,Quick_Resp_EN_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
29,10025,Quick_Resp_SP_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
30,10026,FPBP_Prov_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
31,10027,FPBP_Eng_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
32,10028,FPBP_Spn_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
33,10029,NYHBE_APPEALS_ENG_s,0,Inbound,95,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/1900,12/31/2199
