uow_id,unit_of_work_name,production_plan_id,hourly_flag,handle_time_unit
0,Unknown,0,N,Seconds
1,FPBP English,0,N,Seconds
2,FPBP Prov,0,N,Seconds
3,FPBP Spanish,0,N,Seconds
4,NYEC English,0,N,Seconds
5,NYEC Outbound,0,N,Seconds
6,NYEC Spanish,0,N,Seconds
7,NYHIX Cantonese,0,N,Seconds
8,NYHIX English,0,N,Seconds
9,NYHIX Haitian Creole,0,N,Seconds
10,NYHIX Mandarin,0,N,Seconds
11,NYHIX Other,0,N,Seconds
12,NYHIX Russian,0,N,Seconds
13,NYHIX Spanish,0,N,Seconds
14,SWCC English,0,N,Seconds
15,SWCC Other,0,N,Seconds
16,SWCC Spanish,0,N,Seconds
