FILTER_TYPE,VALUE
ACD_CALL_TYPE_ID_INC,5145
ACD_CALL_TYPE_ID_INC,5146
ACD_CALL_TYPE_ID_INC,5147
ACD_CALL_TYPE_ID_INC,5188
ACD_CALL_TYPE_ID_INC,5552
ACD_CALL_TYPE_ID_INC,6561
ACD_CALL_TYPE_ID_INC,6562
ACD_CALL_TYPE_ID_INC,6695
ACD_CALL_TYPE_ID_INC,6698
ACD_CALL_TYPE_ID_INC,6704
ACD_CALL_TYPE_ID_INC,6821
ACD_CALL_TYPE_ID_INC,6853
ACD_CALL_TYPE_ID_INC,6890
ACD_CALL_TYPE_ID_INC,6894
ACD_CALL_TYPE_ID_INC,6919
ACD_CALL_TYPE_ID_INC,6920
ACD_CALL_TYPE_ID_INC,5050
ACD_CALL_TYPE_ID_INC,5051
ACD_CALL_TYPE_ID_INC,5052
ACD_CALL_TYPE_ID_INC,5055
ACD_CALL_TYPE_ID_INC,5056
ACD_CALL_TYPE_ID_INC,5483
ACD_CALL_TYPE_ID_INC,5486
ACD_CALL_TYPE_ID_INC,6718
ACD_CALL_TYPE_ID_INC,6721
ACD_CALL_TYPE_ID_INC,5094
ACD_CALL_TYPE_ID_INC,5102
ACD_CALL_TYPE_ID_INC,5197
ACD_CALL_TYPE_ID_INC,5248
ACD_CALL_TYPE_ID_INC,5474
ACD_CALL_TYPE_ID_INC,5480
ACD_CALL_TYPE_ID_INC,6683
ACD_CALL_TYPE_ID_INC,6684
ACD_CALL_TYPE_ID_INC,6691
ACD_CALL_TYPE_ID_INC,5086
ACD_CALL_TYPE_ID_INC,5138
ACD_CALL_TYPE_ID_INC,5152
ACD_CALL_TYPE_ID_INC,6792
ACD_CALL_TYPE_ID_INC,6795
ACD_CALL_TYPE_ID_INC,5088
ACD_CALL_TYPE_ID_INC,5091
ACD_CALL_TYPE_ID_INC,5500
ACD_CALL_TYPE_ID_INC,5501
ACD_CALL_TYPE_ID_INC,6707
ACD_CALL_TYPE_ID_INC,6710
ACD_CALL_TYPE_ID_INC,6713
ACD_CALL_TYPE_ID_INC,6716
ACD_CALL_TYPE_ID_INC,5087
ACD_CALL_TYPE_ID_INC,5090
ACD_CALL_TYPE_ID_INC,5638
ACD_CALL_TYPE_ID_INC,5639
ACD_CALL_TYPE_ID_INC,5527
ACD_CALL_TYPE_ID_INC,5528
ACD_SKILL_GROUP_INC,5000
ACD_SKILL_GROUP_INC,5001
ACD_SKILL_GROUP_INC,5002
ACD_SKILL_GROUP_INC,5003
ACD_SKILL_GROUP_INC,5004
ACD_SKILL_GROUP_INC,5182
ACD_SKILL_GROUP_INC,5183
ACD_SKILL_GROUP_INC,5184
ACD_SKILL_GROUP_INC,5185
ACD_SKILL_GROUP_INC,5186
ACD_SKILL_GROUP_INC,5187
ACD_SKILL_GROUP_INC,5188
ACD_SKILL_GROUP_INC,5189
ACD_SKILL_GROUP_INC,5190
ACD_SKILL_GROUP_INC,5192
ACD_SKILL_GROUP_INC,5193
ACD_SKILL_GROUP_INC,5194
ACD_SKILL_GROUP_INC,5195
ACD_SKILL_GROUP_INC,5196
ACD_SKILL_GROUP_INC,5197
ACD_SKILL_GROUP_INC,5198
ACD_SKILL_GROUP_INC,5199
ACD_SKILL_GROUP_INC,5200
ACD_SKILL_GROUP_INC,5201
ACD_SKILL_GROUP_INC,5202
ACD_SKILL_GROUP_INC,5203
ACD_SKILL_GROUP_INC,5204
ACD_SKILL_GROUP_INC,5205
ACD_SKILL_GROUP_INC,5206
ACD_SKILL_GROUP_INC,5207
ACD_SKILL_GROUP_INC,5257
ACD_SKILL_GROUP_INC,5313
ACD_SKILL_GROUP_INC,5314
ACD_SKILL_GROUP_INC,5317
ACD_SKILL_GROUP_INC,5318
ACD_SKILL_GROUP_INC,5319
ACD_SKILL_GROUP_INC,5320
ACD_SKILL_GROUP_INC,5436
ACD_SKILL_GROUP_INC,7284
ACD_SKILL_GROUP_INC,7285
ACD_SKILL_GROUP_INC,7286
ACD_SKILL_GROUP_INC,7287
ACD_SKILL_GROUP_INC,7288
ACD_SKILL_GROUP_INC,7289
ACD_SKILL_GROUP_INC,7290
ACD_SKILL_GROUP_INC,7291
ACD_SKILL_GROUP_INC,7568
ACD_SKILL_GROUP_INC,7606
ACD_SKILL_GROUP_INC,7609
ACD_SKILL_GROUP_INC,7610
ACD_SKILL_GROUP_INC,8220
ACD_SKILL_GROUP_INC,8221
ACD_SKILL_GROUP_INC,8242
ACD_SKILL_GROUP_INC,8243
ACD_SKILL_GROUP_INC,8244
ACD_SKILL_GROUP_INC,8245
ACD_SKILL_GROUP_INC,8250
ACD_SKILL_GROUP_INC,8251
ACD_SKILL_GROUP_INC,8329
ACD_SKILL_GROUP_INC,8330
ACD_SKILL_GROUP_INC,8406
ACD_SKILL_GROUP_INC,8407
ACD_SKILL_GROUP_INC,8408
ACD_SKILL_GROUP_INC,8409
ACD_SKILL_GROUP_INC,8410
ACD_SKILL_GROUP_INC,8411
ACD_SKILL_GROUP_INC,8412
ACD_SKILL_GROUP_INC,8413
ACD_SKILL_GROUP_INC,8436
ACD_SKILL_GROUP_INC,8607
ACD_SKILL_GROUP_INC,8913
ACD_SKILL_GROUP_INC,9100
ACD_SKILL_GROUP_INC,9101
ACD_SKILL_GROUP_INC,9282
ACD_SKILL_GROUP_INC,9283
ACD_SKILL_GROUP_INC,9284
ACD_SKILL_GROUP_INC,9285
ACD_SKILL_GROUP_INC,9286
ACD_SKILL_GROUP_INC,9287
ACD_SKILL_GROUP_INC,9827
ACD_SKILL_GROUP_INC,9828
