UNIT_OF_WORK_NAME,RECORD_EFF_DT,RECORD_END_DT
N/A,1900/01/01,2999/12/31
EB NONFREW ENG,1900/01/01,2999/12/31
EB NONFREW SPN,1900/01/01,2999/12/31
EB OUTREACH,1900/01/01,2999/12/31
EB PROVIDER,1900/01/01,2999/12/31
EB SUPERVISOR,1900/01/01,2999/12/31
EB MBIC ENG,1900/01/01,2999/12/31
EB MBIC SPN,1900/01/01,2999/12/31
EB FREW ENG,1900/01/01,2999/12/31
EB FREW SPN,1900/01/01,2999/12/31
EB FREW SPN VM,1900/01/01,2999/12/31
EB FREW ENG VM,1900/01/01,2999/12/31
THS FREW ENG,1900/01/01,2999/12/31
THS ENG VM,1900/01/01,2999/12/31
THS OUTREACH,1900/01/01,2999/12/31
THS FREW SPN,1900/01/01,2999/12/31
THS SPN VM,1900/01/01,2999/12/31
THS SSU ENG,1900/01/01,2999/12/31
THS SSU SPN,1900/01/01,2999/12/31
CHIP FREW ENG,1900/01/01,2999/12/31
CHIP FREW SPN,1900/01/01,2999/12/31
CHIP PROVIDER,1900/01/01,2999/12/31
CHIP SUPERVISOR,1900/01/01,2999/12/31
CHIP SEU ENG,1900/01/01,2999/12/31
CHIP SEU SPN,1900/01/01,2999/12/31
IVR,1900/01/01,2999/12/31
ES EN,1900/01/01,2999/12/31
ES SP,1900/01/01,2999/12/31
ES SEU EN,1900/01/01,2999/12/31
ES SEU SP,1900/01/01,2999/12/31
ES SEU  EN and ES SLAQ EN,1900/01/01,2999/12/31
ES SEU  SP and ES SLAQ SP,1900/01/01,2999/12/31
