uow_id,unit_of_work_name,production_plan_id,hourly_flag,handle_time_unit
0,Unknown,0,N,Seconds
,CHIP FREW ENG,0,N,Seconds
,CHIP FREW SPN,0,N,Seconds
,CHIP PROVIDER,0,N,Seconds
,CHIP SEU ENG,0,N,Seconds
,CHIP SEU SPN,0,N,Seconds
,CHIP SUPERVISOR,0,N,Seconds
,EB FREW ENG,0,N,Seconds
,EB FREW ENG VM,0,N,Seconds
,EB FREW SPN,0,N,Seconds
,EB FREW SPN VM,0,N,Seconds
,EB MBIC ENG,0,N,Seconds
,EB MBIC SPN,0,N,Seconds
,EB NONFREW ENG,0,N,Seconds
,EB NONFREW SPN,0,N,Seconds
,EB OUTREACH,0,N,Seconds
,EB PROVIDER,0,N,Seconds
,EB SUPERVISOR,0,N,Seconds
,N/A,0,N,Seconds
,THS ENG VM,0,N,Seconds
,THS FREW ENG,0,N,Seconds
,THS FREW SPN,0,N,Seconds
,THS OUTREACH,0,N,Seconds
,THS SPN VM,0,N,Seconds
,THS SSU ENG,0,N,Seconds
,THS SSU SPN,0,N,Seconds
,ES EN,0,N,Seconds
,ES SP,0,N,Seconds
,ES SEU EN,0,N,Seconds
,ES SEU SP,0,N,Seconds
,ES SEU  EN and ES SLAQ EN,0,N,Seconds
,ES SEU  SP and ES SLAQ SP,0,N,Seconds
