"D_METRIC_DEFINITION_ID","D_DATA_TYPE_ID","NAME","TYPE","CATEGORY","VALUE_TYPE","STATUS","HAS_TARGET","HAS_FORECAST","IS_CALCULATED","FUNCTIONAL_AREA","RECORD_EFF_DT","RECORD_END_DT","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY","LABEL","SORT_ORDER","SUB_CATEGORY","DISPLAY_FORMAT","HAS_ACTUAL","IS_WEEKLY","IS_MONTHLY"
162,2,"CALLS_CONTAINED_IN_IVR","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Calls Contained in IVR",2,"Inbound Calls","Default","Y","Y","Y"
163,2,"CALLS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Calls Handled",4,"Inbound Calls","Default","Y","Y","Y"
164,2,"WEB_CHATS_CREATED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Web Chats Created",5,"Web Chats","Default","Y","Y","Y"
165,2,"WEB_CHATS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Web Chats Handled",7,"Web Chats","Default","Y","Y","Y"
166,2,"VOICE_MAILS_CREATED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Voice Mails Created",8,"Voice Mail","Default","Y","Y","Y"
167,2,"VOICE_MAILS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Voice Mails Handled",9,"Voice Mail","Default","Y","Y","Y"
168,2,"OUTBOUND_CALLS_ATTEMPTED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Outbound Calls Attempted",10,"Outbound Calls","Default","Y","Y","Y"
169,2,"PEAK_DAY_PERCENTAGE","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Peak Day Percentage",11,"Contact Arrival Pattern","Percentage","Y","Y","N"
170,2,"PEAK_WEEK_PERCENTAGE","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Peak Week Percentage",11,"Contact Arrival Pattern","Percentage","Y","N","Y"
171,2,"MAX_NUMBER_OF_AGENTS_IN_TRAINING","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents in Training",21,"Staff Level","Default","Y","Y","Y"
172,2,"MAX_NUMBER_OF_AGENTS_NEEDED_TO_HANDLE_CONTACTS","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents Needed to Handle Contacts",22,"Staff Level","Default","Y","Y","Y"
173,2,"MAX_NUMBER_OF_AGENTS_SCHEDULED_TO_HANDLE_CONTACTS","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents Scheduled to Handle Contacts",23,"Staff Level","Default","Y","Y","Y"
