"D_GEOGRAPHY_MASTER_ID","GEOGRAPHY_NAME","COUNTRY_ID","STATE_ID","PROVINCE_ID","DISTRICT_ID","REGION_ID","CREATE_DATE","LAST_MODIFIED_DATE"
1,"Illinois",1,13,0,0,2,06/11/2014 13:32:33,06/11/2014 13:32:33
0,"Unknown",0,0,0,0,0,01/01/1900 00:00:00,01/13/2014 18:04:44
8,"Texas",1,43,0,0,2,09/01/2013 00:00:00,01/13/2014 18:04:44
2,"Hawaii",1,11,0,0,3,09/01/2013 00:00:00,01/13/2014 18:04:44
3,"New York",1,32,0,0,1,09/01/2013 00:00:00,01/13/2014 18:04:44
4,"Vermont",1,45,0,0,1,09/01/2013 00:00:00,01/13/2014 18:04:44
5,"Connecticut",1,7,0,0,1,09/01/2013 00:00:00,01/13/2014 18:04:45
6,"District of Columbia",1,0,0,0,1,09/01/2013 00:00:00,01/13/2014 18:04:45
7,"Idaho",1,12,0,0,3,09/01/2013 00:00:00,01/13/2014 18:04:45
9,"Maryland",1,20,0,0,1,09/01/2013 00:00:00,01/13/2014 18:04:45
