ID,REPORTING_PERIOD_END_DATE,PROJECT_NAME,METRIC_NAME,ACTUAL_VALUE,FORECAST_VALUE
292,9/7/2013,CCO - Brownsville,Calls Arriving,2316,
293,9/7/2013,CCO - Brownsville,Calls Offered,2316,
294,9/7/2013,CCO - Brownsville,FTE Count,225,
295,9/7/2013,CCO - Brownsville,AHT,484,
296,9/7/2013,CCO - Brownsville,ASA,,
297,9/7/2013,CCO - Brownsville,AB Rate,,
178,9/7/2013,CT HIX,Calls Arriving,319,
179,9/7/2013,CT HIX,Calls Offered,307,
180,9/7/2013,CT HIX,FTE Count,73,
181,9/7/2013,CT HIX,AHT,490,
182,9/7/2013,CT HIX,ASA,0.14,
183,9/7/2013,CT HIX,AB Rate,0.41,
250,9/7/2013,DC HIX,Calls Arriving,293,
251,9/7/2013,DC HIX,Calls Offered,267,
252,9/7/2013,DC HIX,FTE Count,,
253,9/7/2013,DC HIX,AHT,175,
254,9/7/2013,DC HIX,ASA,10,
255,9/7/2013,DC HIX,AB Rate,2.73,
214,9/7/2013,MD HIX,Calls Arriving,315,
215,9/7/2013,MD HIX,Calls Offered,312,
216,9/7/2013,MD HIX,FTE Count,22,
217,9/7/2013,MD HIX,AHT,301,
218,9/7/2013,MD HIX,ASA,5,
219,9/7/2013,MD HIX,AB Rate,1,
,9/7/2013,VT HIX,Calls Arriving,397,
,9/7/2013,VT HIX,Calls Offered,309,
,9/7/2013,VT HIX,AHT,454,
,9/7/2013,VT HIX,ASA,6,
,9/7/2013,VT HIX,AB Rate,11,
286,9/14/2013,CCO - Brownsville,Calls Arriving,2985,
287,9/14/2013,CCO - Brownsville,Calls Offered,2985,
288,9/14/2013,CCO - Brownsville,FTE Count,396,
289,9/14/2013,CCO - Brownsville,AHT,495,
290,9/14/2013,CCO - Brownsville,ASA,,
291,9/14/2013,CCO - Brownsville,AB Rate,,
172,9/14/2013,CT HIX,Calls Arriving,404,
173,9/14/2013,CT HIX,Calls Offered,390,
174,9/14/2013,CT HIX,FTE Count,70,
175,9/14/2013,CT HIX,AHT,502,
176,9/14/2013,CT HIX,ASA,0.17,
177,9/14/2013,CT HIX,AB Rate,1.1,
244,9/14/2013,DC HIX,Calls Arriving,164,
245,9/14/2013,DC HIX,Calls Offered,158,
246,9/14/2013,DC HIX,FTE Count,,
247,9/14/2013,DC HIX,AHT,212,
248,9/14/2013,DC HIX,ASA,9,
249,9/14/2013,DC HIX,AB Rate,3.66,
208,9/14/2013,MD HIX,Calls Arriving,621,
209,9/14/2013,MD HIX,Calls Offered,612,
210,9/14/2013,MD HIX,FTE Count,22,
211,9/14/2013,MD HIX,AHT,321,
212,9/14/2013,MD HIX,ASA,5,
213,9/14/2013,MD HIX,AB Rate,1.4,
,9/14/2013,VT HIX,Calls Arriving,661,
,9/14/2013,VT HIX,Calls Offered,501,
,9/14/2013,VT HIX,AHT,475,
,9/14/2013,VT HIX,ASA,10,
,9/14/2013,VT HIX,AB Rate,1,
280,9/21/2013,CCO - Brownsville,Calls Arriving,,
281,9/21/2013,CCO - Brownsville,Calls Offered,,
282,9/21/2013,CCO - Brownsville,FTE Count,502,481
283,9/21/2013,CCO - Brownsville,AHT,,420
284,9/21/2013,CCO - Brownsville,ASA,,
285,9/21/2013,CCO - Brownsville,AB Rate,,
166,9/21/2013,CT HIX,Calls Arriving,522,
167,9/21/2013,CT HIX,Calls Offered,504,5234
168,9/21/2013,CT HIX,FTE Count,63,97.5
169,9/21/2013,CT HIX,AHT,551,420
170,9/21/2013,CT HIX,ASA,0.16,60
171,9/21/2013,CT HIX,AB Rate,1.59,5
238,9/21/2013,DC HIX,Calls Arriving,134,2514
239,9/21/2013,DC HIX,Calls Offered,127,2489
240,9/21/2013,DC HIX,FTE Count,23,23
241,9/21/2013,DC HIX,AHT,321,600
242,9/21/2013,DC HIX,ASA,8,15
243,9/21/2013,DC HIX,AB Rate,1.1,1.5
142,9/21/2013,HI HIX,Calls Arriving,653,450
143,9/21/2013,HI HIX,Calls Offered,653,450
144,9/21/2013,HI HIX,FTE Count,17,19
145,9/21/2013,HI HIX,AHT,558,720
