"D_PROJECT_ID","PROJECT_NAME","D_DIVISION_ID","CREATE_DATE","LAST_MODIFIED_DATE"
0,"Unknown",0,01/01/1900 00:00:00,01/13/2014 18:04:48
2,"HI HIX",3,09/01/2013 00:00:00,01/13/2014 18:04:48
3,"NY HIX",1,09/01/2013 00:00:00,01/13/2014 18:04:48
4,"VT HIX",1,09/01/2013 00:00:00,01/13/2014 18:04:48
5,"CT HIX",1,09/01/2013 00:00:00,01/13/2014 18:04:48
6,"DC HIX",1,09/01/2013 00:00:00,01/13/2014 18:04:48
7,"CCO - Boise",4,09/01/2013 00:00:00,01/13/2014 18:04:48
8,"CCO - Brownsville",4,09/01/2013 00:00:00,01/13/2014 18:04:48
9,"MD HIX",1,09/01/2013 00:00:00,01/13/2014 18:04:48
10,"IL EEV",2,05/20/2014 00:00:00,06/11/2014 10:24:39
11,"IL EB",2,05/20/2014 00:00:00,06/11/2014 10:24:39
12,"TX Enrollment Broker",2,05/20/2014 00:00:00,06/11/2014 12:14:10
13,"TX Eligibility Support",2,05/20/2014 00:00:00,06/11/2014 10:24:52
