"D_REPORTING_PERIOD_ID","TYPE","START_DATE","END_DATE","MONTH","YEAR","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY"
251,"WEEKLY",06/17/2018 00:00:00,06/23/2018 00:00:00,"June",2018,,"",01/13/2014 18:04:47,"MOTS"
252,"WEEKLY",06/24/2018 00:00:00,06/30/2018 00:00:00,"June",2018,,"",01/13/2014 18:04:47,"MOTS"
253,"WEEKLY",07/01/2018 00:00:00,07/07/2018 00:00:00,"July",2018,,"",01/13/2014 18:04:47,"MOTS"
254,"WEEKLY",07/08/2018 00:00:00,07/14/2018 00:00:00,"July",2018,,"",01/13/2014 18:04:47,"MOTS"
255,"WEEKLY",07/15/2018 00:00:00,07/21/2018 00:00:00,"July",2018,,"",01/13/2014 18:04:47,"MOTS"
256,"WEEKLY",07/22/2018 00:00:00,07/28/2018 00:00:00,"July",2018,,"",01/13/2014 18:04:47,"MOTS"
257,"WEEKLY",07/29/2018 00:00:00,08/04/2018 00:00:00,"August",2018,,"",01/13/2014 18:04:47,"MOTS"
258,"WEEKLY",08/05/2018 00:00:00,08/11/2018 00:00:00,"August",2018,,"",01/13/2014 18:04:47,"MOTS"
259,"WEEKLY",08/12/2018 00:00:00,08/18/2018 00:00:00,"August",2018,,"",01/13/2014 18:04:47,"MOTS"
260,"WEEKLY",08/19/2018 00:00:00,08/25/2018 00:00:00,"August",2018,,"",01/13/2014 18:04:47,"MOTS"
261,"WEEKLY",08/26/2018 00:00:00,09/01/2018 00:00:00,"August",2018,,"",01/13/2014 18:04:47,"MOTS"
262,"WEEKLY",09/02/2018 00:00:00,09/08/2018 00:00:00,"September",2018,,"",01/13/2014 18:04:47,"MOTS"
263,"WEEKLY",09/09/2018 00:00:00,09/15/2018 00:00:00,"September",2018,,"",01/13/2014 18:04:47,"MOTS"
264,"WEEKLY",09/16/2018 00:00:00,09/22/2018 00:00:00,"September",2018,,"",01/13/2014 18:04:47,"MOTS"
265,"WEEKLY",09/23/2018 00:00:00,09/29/2018 00:00:00,"September",2018,,"",01/13/2014 18:04:47,"MOTS"
266,"WEEKLY",09/30/2018 00:00:00,10/06/2018 00:00:00,"October",2018,,"",01/13/2014 18:04:47,"MOTS"
267,"WEEKLY",10/07/2018 00:00:00,10/13/2018 00:00:00,"October",2018,,"",01/13/2014 18:04:47,"MOTS"
268,"WEEKLY",10/14/2018 00:00:00,10/20/2018 00:00:00,"October",2018,,"",01/13/2014 18:04:47,"MOTS"
269,"WEEKLY",10/21/2018 00:00:00,10/27/2018 00:00:00,"October",2018,,"",01/13/2014 18:04:47,"MOTS"
270,"WEEKLY",10/28/2018 00:00:00,11/03/2018 00:00:00,"October",2018,,"",01/13/2014 18:04:47,"MOTS"
271,"WEEKLY",11/04/2018 00:00:00,11/10/2018 00:00:00,"November",2018,,"",01/13/2014 18:04:47,"MOTS"
272,"WEEKLY",11/11/2018 00:00:00,11/17/2018 00:00:00,"November",2018,,"",01/13/2014 18:04:47,"MOTS"
273,"WEEKLY",11/18/2018 00:00:00,11/24/2018 00:00:00,"November",2018,,"",01/13/2014 18:04:47,"MOTS"
274,"WEEKLY",11/25/2018 00:00:00,12/01/2018 00:00:00,"November",2018,,"",01/13/2014 18:04:48,"MOTS"
275,"WEEKLY",12/02/2018 00:00:00,12/08/2018 00:00:00,"December",2018,,"",01/13/2014 18:04:48,"MOTS"
276,"WEEKLY",12/09/2018 00:00:00,12/15/2018 00:00:00,"December",2018,,"",01/13/2014 18:04:48,"MOTS"
277,"WEEKLY",12/16/2018 00:00:00,12/22/2018 00:00:00,"December",2018,,"",01/13/2014 18:04:48,"MOTS"
278,"WEEKLY",12/23/2018 00:00:00,12/29/2018 00:00:00,"December",2018,,"",01/13/2014 18:04:48,"MOTS"
279,"WEEKLY",12/30/2018 00:00:00,01/05/2019 00:00:00,"January",2019,,"",01/13/2014 18:04:48,"MOTS"
280,"MONTHLY",01/01/2013 00:00:00,01/31/2013 00:00:00,"January  ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
281,"MONTHLY",02/01/2013 00:00:00,02/28/2013 00:00:00,"February ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
282,"MONTHLY",03/01/2013 00:00:00,03/31/2013 00:00:00,"March    ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
283,"MONTHLY",04/01/2013 00:00:00,04/30/2013 00:00:00,"April    ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
284,"MONTHLY",05/01/2013 00:00:00,05/31/2013 00:00:00,"May      ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
285,"MONTHLY",06/01/2013 00:00:00,06/30/2013 00:00:00,"June     ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
286,"MONTHLY",07/01/2013 00:00:00,07/31/2013 00:00:00,"July     ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
287,"MONTHLY",08/01/2013 00:00:00,08/31/2013 00:00:00,"August   ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
288,"MONTHLY",09/01/2013 00:00:00,09/30/2013 00:00:00,"September",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
289,"MONTHLY",10/01/2013 00:00:00,10/31/2013 00:00:00,"October  ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
290,"MONTHLY",11/01/2013 00:00:00,11/30/2013 00:00:00,"November ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
291,"MONTHLY",12/01/2013 00:00:00,12/31/2013 00:00:00,"December ",2013,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
292,"MONTHLY",01/01/2014 00:00:00,01/31/2014 00:00:00,"January  ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
293,"MONTHLY",02/01/2014 00:00:00,02/28/2014 00:00:00,"February ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
294,"MONTHLY",03/01/2014 00:00:00,03/31/2014 00:00:00,"March    ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
295,"MONTHLY",04/01/2014 00:00:00,04/30/2014 00:00:00,"April    ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
296,"MONTHLY",05/01/2014 00:00:00,05/31/2014 00:00:00,"May      ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
297,"MONTHLY",06/01/2014 00:00:00,06/30/2014 00:00:00,"June     ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
298,"MONTHLY",07/01/2014 00:00:00,07/31/2014 00:00:00,"July     ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
299,"MONTHLY",08/01/2014 00:00:00,08/31/2014 00:00:00,"August   ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
300,"MONTHLY",09/01/2014 00:00:00,09/30/2014 00:00:00,"September",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
301,"MONTHLY",10/01/2014 00:00:00,10/31/2014 00:00:00,"October  ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
302,"MONTHLY",11/01/2014 00:00:00,11/30/2014 00:00:00,"November ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
303,"MONTHLY",12/01/2014 00:00:00,12/31/2014 00:00:00,"December ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
304,"MONTHLY",01/01/2015 00:00:00,01/31/2015 00:00:00,"January  ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
305,"MONTHLY",02/01/2015 00:00:00,02/28/2015 00:00:00,"February ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
306,"MONTHLY",03/01/2015 00:00:00,03/31/2015 00:00:00,"March    ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
307,"MONTHLY",04/01/2015 00:00:00,04/30/2015 00:00:00,"April    ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
308,"MONTHLY",05/01/2015 00:00:00,05/31/2015 00:00:00,"May      ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
309,"MONTHLY",06/01/2015 00:00:00,06/30/2015 00:00:00,"June     ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
