ID	NAME	ORGANIZATIONID	ACTIVITYCATEGORYID	DESCRIPTION	ISPAID	ISDELETED	ADHERENCETOLERANCE	ISUSEDINSHIFT	COLOR	ISUSEDINSHIFTEVENT	ISUSEDINCALENDAREVENT	ISUNAVAILABILITY	ISREQUESTABLE	ISOUT	ISTIMEOFF	ISTIMEOFFWITHALLOTMENT	ISVISIBLETOTCMAPPING	COLORCODE	EARNINGTYPEID	MAXDURATIONTHRESHOLD	MODIFIEDBY	LASTMODIFIEDAT	SOURCEMEASUREID	ISQUEUEHOPPING	RESOURCECONSTRAINT	DISPLAYNAME	ACCRUALSCHEDULE	ACCRUALPOLICY	TOYEARTYPE	TOYEARDATE
-4001	No Activity	-3001	-5001	Activity used internally to indicate time interval between shifts; used at State of TX for Spilt Shifts as well.	0	0	10	0	ffffdf	1	0	0	0	1	0	0	1		-11007	-1	wsuperuser	2011-04-06 21:20:05.000	NULL	0	-1	NULL	0	0	0	NULL
-4002	Unknown Activity	-3001	-5001	UNKNOW	1	0	0	0	8000ff	0	0	0	0	0	0	0	1	UNK	-11007	600	paulawilson	2008-07-11 19:28:08.000	NULL	0	-1	NULL	0	0	0	NULL
-4005	Records Merge Activity	-3001	-5001	Activity used internally to automatically merge time records	0	0	0	0	0080c0	0	0	0	0	1	0	0	1	RMA	-11007	-1	derek.kupper	2008-02-12 19:39:08.000	NULL	0	-1	NULL	0	0	0	NULL
-4006	Generic Work Activity	-3001	-5001	Activity used as a generic work activity or active state	1	0	0	0	FFBA93	0	0	0	0	0	0	0	1	WORK	-11007	-1	derek.kupper	2008-02-12 19:39:08.000	NULL	0	-1	NULL	0	0	0	NULL
-4007	Generic Non-Work Activity	-3001	-5001	Activity used as a generic non-work activity or inactive state	0	0	0	0	C5B2EA	0	0	0	0	1	0	0	1	NONW	-11007	-1	derek.kupper	2008-02-12 19:39:08.000	-277056	0	-1	NULL	0	0	0	NULL
-4008	Deleted Timeline	-3001	-5001	Activity used internally to indicate deleted timeline	0	0	0	0	NULL	0	0	0	0	1	0	0	1	NULL	-11007	-1	NULL	NULL	NULL	0	-1	NULL	0	0	0	NULL
301	Maternity Leave	-3002	-5002	Approved FMLA leave per the Attendance Policy	1	1	0	0	008000	1	0	0	0	1	1	0	1		-11007	-1	terryfoley	2006-10-19 21:13:20.000	NULL	0	-1	NULL	0	0	0	NULL
-4101	Ready	-3002	-5002	Available	1	0	0	1	0000ff	1	0	0	0	0	0	0	1	RDY	-11007	-1	jennifer.johnson	2012-05-18 13:30:07.000	NULL	0	-1	NULL	0	0	0	NULL
-4102	Deferred	-3002	-5002	Deferred	1	0	0	1	FFFF00	1	0	0	0	0	0	0	1	D	-11007	-1	NULL	NULL	NULL	0	-1	NULL	0	0	0	NULL
-4103	Blended	-3002	-5002	Blended	1	0	0	1	00FF00	1	0	0	0	0	0	0	1	B	-11007	-1	NULL	NULL	NULL	0	-1	NULL	0	0	0	NULL
-4104	Break (Cisco Code 1)	-3002	1	Break	1	0	0	0	00ffff	1	1	0	0	0	0	0	1	BRK	-11007	20	jennifer.johnson	2011-05-31 18:50:40.000	-277052	0	-1	NULL	0	0	0	NULL
302	Kameo	-3002	-5002	Test exception	1	1	0	1	8080ff	1	1	0	0	1	1	0	1		-11007	-1	terryfoley	2006-10-02 16:17:06.000	NULL	0	-1	NULL	0	0	0	NULL
-4106	Late	-3002	-5005	Late	0	1	0	0	ff0000	1	1	0	0	1	0	0	1	L	-11007	-1	terryfoley	2006-09-07 20:42:50.000	NULL	0	-1	NULL	0	0	0	NULL
-4107	Lunch (Cisco Code 3)	-3002	1	Lunch	0	0	0	0	00ffff	1	1	0	0	0	0	0	1	LNCH	-11007	65	wsuperuser	2011-04-07 16:30:08.000	-277052	0	-1	NULL	0	0	0	NULL
-4108	Medical	-3002	-5003	Medical and Doctor appointments	0	1	0	0	00ff00	0	0	1	0	1	0	0	1	M	-11007	-1	terryfoley	2006-09-20 21:47:11.000	-277056	0	-1	NULL	0	0	0	NULL
-4109	Training (Cisco Code 8)	-3002	-5002	Training, used when an agent is in a prescheduled training.	1	0	0	1	ff8000	1	1	1	0	0	0	0	1	TRNG	-11007	-1	wsuperuser	2011-04-07 16:42:00.000	-277051	0	-1	NULL	0	0	0	NULL
-4110	Meeting (Cisco Code 4)	-3002	-5004	General Meeting	1	0	0	0	ff4a4a	1	1	0	0	0	0	0	1	MEET	-11007	-1	wsuperuser	2011-04-07 16:37:31.000	-277050	0	-1	NULL	0	0	0	NULL
-4111	Supervisor Meeting (Cisco Code 2)	-3002	-5002	Supervisor Meeting/Coaching	1	0	0	0	ff8000	1	0	0	0	0	0	0	1	SUP	-11007	-1	wsuperuser	2011-04-07 16:41:22.000	-277050	0	-1	NULL	0	0	0	NULL
-4112	General Unavailability	-3002	-5004	General Unavailability	0	0	0	0	010000	0	0	1	0	1	0	0	1	UNAV	-11007	-1	wsuperuser	2011-04-07 16:38:07.000	-277056	0	-1	NULL	0	0	0	NULL
-4113	Vacation/PTO	-3002	-5005	Scheduled Vacation, or Paid Time Off (PTO)	1	0	0	1	00ff00	1	0	0	1	1	1	1	1	PTO	-11007	-1	wsuperuser	2011-04-07 16:36:49.000	NULL	0	-1	NULL	0	0	0	NULL
-4114	General Absence	-3002	-5005	General Absense	1	0	0	0	ff80ff	0	0	0	0	1	1	0	1	ABS	-11007	-1	wsuperuser	2011-04-07 16:38:01.000	NULL	0	-1	NULL	0	0	0	NULL
-4115	Jury Duty	-3002	-5005	Jury Duty, approved Jury Duty.  Requires documentation to Supervisor prior to coding this a Jury Duty.	1	0	0	1	00ff00	1	0	0	0	1	1	0	1	JURY	-11007	-1	wsuperuser	2011-04-07 16:38:20.000	NULL	0	-1	NULL	0	0	0	NULL
-4116	NCNS	-3002	-5005	No Call/No Show- Agent does not arrive at work and does not notify the correct parties.  Job Adandonment- Agent leaves shift without notifying correct parties.	1	0	0	1	ff0000	1	0	1	0	1	1	0	1	NCNS	-11007	-1	wsuperuser	2011-04-07 16:38:40.000	NULL	0	-1	NULL	0	0	0	NULL
351	Unscheduled HALF Absence	-3002	-5002	Used when an agent is absent greater than half of their scheduled shift	1	0	0	0	ff0000	1	0	1	0	1	1	0	1	HAB	-11007	-1	wsuperuser	2011-04-07 16:42:09.000	NULL	0	-1	NULL	0	0	0	NULL
-4118	Sick	-3002	-5005	Sick	1	1	0	0	00ff00	0	0	1	0	1	1	0	1	Sk	-11007	-1	terryfoley	2006-10-19 21:13:21.000	NULL	0	-1	NULL	0	0	0	NULL
-4132	Learning Break	-3002	-5006	Scheduled Learning Break	1	0	0	0	FFB1BD	1	1	0	0	0	0	0	1	L	-11007	-1	wsuperuser	2006-05-24 17:38:43.000	-277051	0	-1	NULL	0	0	0	NULL
-4133	Learning End	-3002	-5001	Activity used internally to indicate learning end	1	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL	-11007	-1	NULL	NULL	-277051	0	-1	NULL	0	0	0	NULL
-4135	Shift/Overtime Gap	-3002	-5005	Shift/Overtime Gap	0	0	0	0	FFFFFF	0	0	0	0	1	0	0	1	NULL	-11007	-1	wsuperuser	2006-05-24 17:38:11.000	NULL	0	-1	NULL	0	0	0	NULL
-4136	Voluntary Time Off	-3002	-5005	Voluntary Timeoff	0	0	0	0	808000	0	0	0	0	1	1	0	1	VTO	-11007	-1	christina.bradley	2011-04-11 17:50:55.000	NULL	0	-1	NULL	0	0	0	NULL
-4137	Learning	-3002	-5006	Learning training that started by an agent	1	0	0	0	C26E77	0	0	0	0	0	0	0	1	LS	-11007	-1	NULL	NULL	-277051	0	-1	NULL	0	0	0	NULL
1	Personal - Restroom (Cisco Code 30)	-3002	-5003	Restroom break.	1	0	0	1	ff00ff	1	0	1	0	0	1	0	1	PRRR	-11007	-1	ed.padilla	2009-08-31 17:56:55.000	NULL	0	-1	NULL	0	0	0	NULL
2	Special Projects (Cisco Code 6)	-3002	-5003	Special Projects, used when an agent is helping with off the phone activities.  Log Out code	1	0	0	1	400000	1	1	0	0	0	0	0	1	SP	-11007	-1	jennifer.johnson	2012-05-18 13:30:17.000	NULL	0	-1	NULL	0	0	0	NULL
