ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
1	1	1	0		NULL	2006-05-17 05:00:00.000	2007-05-01 05:01:00.000	6	julie.bowington	0	0	0
25821	4721	1	0		NULL	2009-04-30 05:00:00.000	2012-04-02 04:59:00.000	7		1	0	0
25826	4726	1	0	NULL	NULL	2009-05-04 05:00:00.000	2011-01-13 05:59:00.000	12	wsuperuser	0	0	0
6	6	1	0		tl5223	2002-08-01 05:00:00.000	2007-05-04 05:00:00.000	19	treycalvert	0	0	0
155	155	5	0	NULL	NULL	2006-05-18 05:00:00.000	2010-04-17 04:59:00.000	39	randywyrick	1	0	1
624	624	4	0	NULL	NULL	2005-10-31 06:00:00.000	NULL	34	micah.wells	0	0	0
1085	1085	4	0	NULL	NULL	2006-05-31 05:00:00.000	2011-04-16 04:59:00.000	31	wsuperuser	0	0	0
2540	1501	1	0	NULL	29292	2006-06-28 05:00:00.000	2012-10-17 04:59:00.000	55	marygaskin	0	0	0
1087	1087	1	0	NULL	NULL	2006-06-05 05:00:00.000	NULL	6	ed.padilla	0	0	0
2541	1502	1	0		27924	2006-06-28 05:00:00.000	2007-06-12 05:00:00.000	16	ed.padilla	0	0	0
12551	2251	NULL	0	NULL	NULL	2007-03-07 06:00:00.000	2007-03-26 05:01:00.000	4	julie.bowington	1	0	0
630	630	1	0	NULL	NULL	2005-11-03 06:00:00.000	2010-09-09 04:59:00.000	28	wsuperuser	0	0	0
631	631	1	0		NULL	2005-11-03 06:00:00.000	2007-11-02 05:01:00.000	23	julie.bowington	0	0	0
25819	4719	1	0	NULL	NULL	2009-01-05 06:00:00.000	2012-03-17 04:59:59.000	48	tammylewis	0	0	0
12604	2304	13	0	NULL	NULL	2007-03-09 06:00:00.000	NULL	15	wsuperuser	0	0	0
634	634	1	0		NULL	2005-11-03 06:00:00.000	2007-08-25 05:01:00.000	25	julie.bowington	0	0	0
635	635	1	0		73026	2005-11-03 06:00:00.000	2008-11-03 06:01:00.000	34	micah.wells	0	0	0
636	636	1	0		NULL	2005-11-03 06:00:00.000	2007-08-20 05:00:00.000	26	ed.padilla	0	0	0
32051	5151	1	0	NULL	NULL	2009-08-12 05:00:00.000	2009-10-23 04:59:00.000	9	tammylewis	0	0	0
638	638	1	0	NULL	NULL	2005-11-03 06:00:00.000	2011-04-04 04:59:00.000	25	tammylewis	0	0	0
32052	5152	1	0	NULL	NULL	2009-08-12 05:00:00.000	2011-04-04 04:59:00.000	22	tammylewis	0	0	0
32053	5153	2	0	NULL	NULL	2009-08-12 05:00:00.000	2011-04-14 04:59:00.000	25	wsuperuser	0	0	0
641	641	1	0	NULL	NULL	2005-11-03 06:00:00.000	2010-10-02 04:59:00.000	33	wsuperuser	0	0	0
82051	11851	1	0	NULL	21158	2012-06-14 05:00:00.000	2013-01-12 05:59:59.000	5	jhunger	0	0	0
13290	2403	1	0		NULL	2007-07-30 05:00:00.000	2009-06-05 04:59:00.000	41	julie.bowington	1	0	0
82064	11864	1	0	NULL	34836	2012-06-15 05:00:00.000	2013-01-12 05:59:59.000	9	wsuperuser	0	0	0
25829	4729	1	0	NULL	NULL	2009-05-04 05:00:00.000	2009-06-16 04:59:00.000	5	paulawilson	0	0	0
32058	5158	1	0	NULL	NULL	2009-08-19 05:00:00.000	2009-09-23 04:59:00.000	9	tammylewis	0	0	0
647	647	1	0		NULL	2005-11-07 06:00:00.000	2008-03-11 05:01:00.000	36	micah.wells	0	0	0
25832	4732	1	0	NULL	NULL	2009-05-04 05:00:00.000	2011-10-08 04:59:00.000	29	christina.bradley	0	0	0
32101	5201	1	0	NULL	NULL	2009-08-12 05:00:00.000	2009-11-10 05:59:00.000	14	tammylewis	0	0	0
25833	4733	1	0	NULL	NULL	2009-05-04 05:00:00.000	2010-08-06 04:59:00.000	7	wsuperuser	0	0	0
1090	1090	12	0		NULL	2006-06-05 05:00:00.000	2008-05-07 05:00:00.000	24	julie.bowington	1	0	0
4590	1643	1	0	NULL	n15191	2002-06-17 05:00:00.000	2012-03-31 04:59:59.000	20	jhunger	0	0	0
25835	4735	1	0	NULL	NULL	2009-05-04 05:00:00.000	2012-03-03 05:59:00.000	43	tammylewis	0	0	0
25838	4738	NULL	0	NULL	NULL	2009-05-01 05:00:00.000	2010-01-01 05:59:00.000	4	ed.padilla	0	0	0
655	655	1	0	NULL	NULL	2005-12-05 06:00:00.000	2011-04-05 04:59:00.000	32	wsuperuser	0	0	0
656	656	1	0		NULL	2005-12-05 06:00:00.000	2007-08-29 05:01:00.000	20	julie.bowington	0	0	0
26155	4751	1	0		NULL	2009-05-11 05:00:00.000	2009-05-19 04:59:00.000	5	tammylewis	0	0	0
4592	1645	4	0	NULL	71081	2006-08-21 05:00:00.000	2078-01-30 05:59:00.000	21	jhunger	1	0	0
26162	4758	1	0	NULL	NULL	2009-05-11 05:00:00.000	NULL	41		0	0	0
1251	1251	1	0		NULL	2006-06-20 05:00:00.000	2007-06-27 05:00:00.000	21	treycalvert	0	0	0
13804	2414	1	0		77189	2007-03-05 06:00:00.000	2007-06-28 05:00:00.000	7	ed.padilla	0	0	0
32108	5208	1	0	NULL	NULL	2009-08-10 05:00:00.000	2010-01-06 05:59:00.000	15	tammylewis	0	0	0
13805	2415	1	0	NULL	77190	2007-03-05 06:00:00.000	2010-08-10 04:59:00.000	21	wsuperuser	0	0	0
32124	5224	1	0	NULL	NULL	2009-08-10 05:00:00.000	2009-10-24 04:59:00.000	17	julie.bowington	0	0	0
1476	1476	4	0		NULL	2006-07-05 05:00:00.000	2007-06-29 05:00:00.000	21	shyra.brown	1	0	0
13811	2421	1	0	NULL	77196	2007-03-05 06:00:00.000	2009-12-24 05:59:00.000	27	paulawilson	0	0	0
667	667	1	0	NULL	73180	2005-12-05 06:00:00.000	2011-10-08 04:59:00.000	57	christina.bradley	0	0	0
13812	2422	1	0		77197	2007-03-05 06:00:00.000	2012-05-23 04:59:00.000	39		1	0	0
669	669	1	0	NULL	73190	2005-12-05 06:00:00.000	NULL	82	jennifer.draper	1	0	0
26167	4763	1	0		NULL	2009-05-11 05:00:00.000	2009-07-22 04:59:00.000	9	tammylewis	0	0	0
2543	1504	1	0		27933	2006-06-28 05:00:00.000	2006-10-10 05:00:00.000	13	chriszink	0	0	0
672	672	2	0	NULL	NULL	2005-12-05 06:00:00.000	2012-04-13 04:59:00.000	68	tammylewis	0	0	0
673	673	1	0		73124	2005-12-05 06:00:00.000	2008-05-20 05:00:00.000	34	micah.wells	0	0	0
2544	1505	1	0		27927	2006-06-28 05:00:00.000	2007-05-23 05:00:00.000	11	ed.padilla	0	0	0
675	675	1	0		NULL	2005-12-05 06:00:00.000	2007-09-12 05:01:00.000	26	julie.bowington	0	0	0
82079	11879	1	0	NULL	51908	2012-06-11 05:00:00.000	2012-07-04 04:59:00.000	6	jennifer.draper	0	0	0
13813	2423	1	0	NULL	NULL	2007-05-21 05:00:00.000	NULL	55	tammylewis	1	0	0
13814	2424	1	0		77199	2007-03-05 06:00:00.000	2007-08-22 05:00:00.000	6	ed.padilla	0	0	0
26170	4766	1	0	NULL	NULL	2009-05-11 05:00:00.000	2010-08-11 04:59:00.000	15	wsuperuser	0	0	0
13853	2453	1	0	NULL	NULL	2007-02-28 06:00:00.000	2010-11-18 05:59:00.000	22	tammylewis	1	0	0
681	681	1	0		NULL	2005-12-05 06:00:00.000	2008-05-01 05:01:00.000	27	micah.wells	0	0	0
13859	2459	1	0		NULL	2007-02-28 06:00:00.000	2007-04-30 05:01:00.000	14	julie.bowington	0	0	0
82091	11891	1	0	NULL	NULL	2012-06-18 05:00:00.000	2012-07-28 04:59:00.000	3	marygaskin	0	0	0
13864	2464	1	0	NULL	71458	2007-04-02 05:00:00.000	NULL	21	wsuperuser	0	1	0
26172	4768	1	0	NULL	NULL	2009-05-11 05:00:00.000	2013-01-11 05:59:00.000	22	tammylewis	0	0	0
2545	1506	1	0		27922	2006-06-28 05:00:00.000	2008-09-04 05:00:00.000	37	paulawilson	0	0	0
1415	1415	1	0		NULL	2006-06-23 05:00:00.000	2006-07-25 05:01:00.000	7	adriancarter	0	0	0
1416	1416	1	0		NULL	2006-06-23 05:00:00.000	2006-11-28 06:01:00.000	11	terryfoley	0	0	0
32451	5401	1	0	NULL	NULL	2009-08-12 05:00:00.000	2010-01-27 05:59:00.000	7	tammylewis	0	0	0
690	690	1	0		NULL	2006-01-17 06:00:00.000	2007-03-12 05:01:00.000	15	julie.bowington	0	0	0
85669	12008	1	0	NULL	26186	2012-07-27 05:00:00.000	NULL	2	jennifer.draper	1	0	0
43505	8105	1	0	NULL	NULL	2011-04-03 05:00:00.000	NULL	3	BPFXEmployeeSync	1	0	0
693	693	1	0		NULL	2006-01-17 06:00:00.000	2007-08-08 05:00:00.000	20	shyra.brown	0	0	0
1420	1420	1	0		NULL	2006-06-23 05:00:00.000	2006-08-23 04:59:00.000	6		0	0	0
1473	1473	1	0		NULL	2006-06-26 05:00:00.000	2006-09-24 04:59:00.000	11		0	0	0
696	696	1	0		NULL	2006-01-17 06:00:00.000	2008-02-08 06:01:00.000	19	julie.bowington	0	0	0
697	697	1	0	NULL	NULL	2006-01-17 06:00:00.000	NULL	80		0	0	0
14001	2467	1	0		77204	2007-03-12 05:00:00.000	2007-05-21 05:00:00.000	5	treycalvert	0	0	0
43577	8177	1	0	NULL	NULL	2011-04-03 05:00:00.000	NULL	7	wsuperuser	0	0	0
700	700	1	0	NULL	NULL	2006-01-17 06:00:00.000	2011-11-08 05:59:00.000	33	marybrown	1	0	0
43658	8258	1	0	NULL	NULL	2011-04-03 05:00:00.000	NULL	6	jhunger	0	0	0
43659	8259	1	0	NULL	NULL	2011-04-03 05:00:00.000	NULL	2	BPFXEmployeeSync	0	0	0
14002	2468	1	0	NULL	77205	2007-03-12 05:00:00.000	2011-04-04 04:59:00.000	17	tammylewis	0	0	0
8531	2052	1	0		NULL	2006-11-15 06:00:00.000	2006-11-16 05:59:00.000	6		1	0	0
14003	2469	1	0		77206	2007-03-12 05:00:00.000	2007-06-09 05:00:00.000	4	ed.padilla	0	0	0
706	706	1	0		NULL	2006-01-30 06:00:00.000	2008-12-15 06:01:00.000	43	julie.bowington	0	1	0
43779	8379	1	0	NULL	NULL	2011-04-03 05:00:00.000	2011-04-16 04:59:00.000	4	wsuperuser	0	0	0
45201	9251	1	0	NULL	NULL	2011-05-02 05:00:00.000	NULL	2	jhunger	0	0	0
9461	2054	1	0		NULL	2006-11-15 06:00:00.000	2006-12-16 05:59:00.000	11		0	0	0
