ID	DATASOURCEID	EMPLOYEEID	EXTERNALEMPIDENT	EXTERNALEMPIDENTTYPE	EXTENSIONDATAPORTID
1157	5	1309	77075	NULL	NULL
44468	5	1315	77041	NULL	NULL
14692	4	43423	21072	NULL	NULL
13969	4	43424	21073	NULL	NULL
35131	4	43427	21062	NULL	NULL
36536	4	43428	21071	NULL	NULL
33602	4	43431	21060	NULL	NULL
32164	4	43432	21067	NULL	NULL
17404	4	43433	21070	NULL	NULL
36318	4	43434	21064	NULL	NULL
36533	4	43435	21069	NULL	NULL
17770	4	43436	21056	NULL	NULL
14618	4	43437	21057	NULL	NULL
16892	4	43438	21068	NULL	NULL
16301	4	43439	21074	NULL	NULL
14650	4	43440	20988	NULL	NULL
33261	4	43441	21065	NULL	NULL
41771	4	43442	21058	NULL	NULL
14658	4	43443	21108	NULL	NULL
45229	4	43444	21059	NULL	NULL
14641	4	43445	21061	NULL	NULL
45625	4	43446	21091	NULL	NULL
33246	4	43447	21092	NULL	NULL
13015	4	43448	21093	NULL	NULL
36282	4	43449	21094	NULL	NULL
43368	4	43451	21095	NULL	NULL
16159	4	43452	21096	NULL	NULL
17032	4	43453	21097	NULL	NULL
38556	4	43454	21098	NULL	NULL
12973	4	43456	21099	NULL	NULL
14044	4	43457	21100	NULL	NULL
14070	4	43458	21101	NULL	NULL
15204	4	43459	21102	NULL	NULL
13475	4	43460	20673	NULL	NULL
45831	4	43461	21103	NULL	NULL
12589	4	43462	21104	NULL	NULL
44400	4	43463	21105	NULL	NULL
45832	4	43464	21106	NULL	NULL
12235	4	43465	21107	NULL	NULL
21263	4	43466	21081	NULL	NULL
17253	4	43520	85006	NULL	NULL
27371	4	43557	85028	NULL	NULL
35568	4	44173	21173	NULL	NULL
41772	4	44973	21109	NULL	NULL
37003	4	44974	21110	NULL	NULL
16454	4	44975	21111	NULL	NULL
37793	4	44977	21113	NULL	NULL
42315	4	44978	21114	NULL	NULL
14714	4	44980	21116	NULL	NULL
14997	4	44981	21117	NULL	NULL
15002	4	44982	21118	NULL	NULL
17852	4	44984	21120	NULL	NULL
33277	4	44986	21122	NULL	NULL
14598	4	44988	21124	NULL	NULL
12897	4	44989	21125	NULL	NULL
44684	4	44990	21126	NULL	NULL
14661	4	44991	21159	NULL	NULL
43594	4	44994	21162	NULL	NULL
33244	4	44995	21163	NULL	NULL
29159	4	44997	21165	NULL	NULL
36788	4	44998	21166	NULL	NULL
35314	4	44999	21167	NULL	NULL
14725	4	45000	21168	NULL	NULL
34224	4	45003	21171	NULL	NULL
14712	4	45004	21172	NULL	NULL
15000	4	45007	21174	NULL	NULL
16922	4	45012	21144	NULL	NULL
27736	4	45013	21142	NULL	NULL
16897	4	45014	21141	NULL	NULL
14570	4	45016	21139	NULL	NULL
18817	4	45017	21138	NULL	NULL
20288	4	45019	21137	NULL	NULL
16938	4	45020	21136	NULL	NULL
44716	4	45021	21135	NULL	NULL
16921	4	45022	21134	NULL	NULL
31590	4	45023	21133	NULL	NULL
14957	4	45025	21131	NULL	NULL
37856	4	45027	21130	NULL	NULL
13477	4	45028	21128	NULL	NULL
14238	4	45029	21143	NULL	NULL
18792	4	45030	21177	NULL	NULL
24130	4	45031	21146	NULL	NULL
16237	4	45033	21145	NULL	NULL
13540	4	45034	20652	NULL	NULL
14615	4	45035	21147	NULL	NULL
36312	4	45036	21148	NULL	NULL
38656	4	45037	21149	NULL	NULL
16704	4	45039	21151	NULL	NULL
26056	4	45041	21153	NULL	NULL
35567	4	45043	21155	NULL	NULL
33777	4	45044	21156	NULL	NULL
29448	4	45045	21157	NULL	NULL
39594	4	45046	21158	NULL	NULL
36225	4	45101	21178	NULL	NULL
16096	4	45102	21127	NULL	NULL
33062	4	45103	21179	NULL	NULL
41634	4	46490	20826	NULL	NULL
42121	4	46502	21180	NULL	NULL
38022	4	46506	21181	NULL	NULL
29112	4	46507	21182	NULL	NULL
33065	4	46508	21183	NULL	NULL
20650	4	46509	21184	NULL	NULL
17619	4	46510	21185	NULL	NULL
14668	4	41660	20951	NULL	NULL
35432	4	41661	20949	NULL	NULL
7326	4	41662	20959	NULL	NULL
14681	4	41664	20956	NULL	NULL
41674	4	41665	20961	NULL	NULL
14613	4	41667	20945	NULL	NULL
41489	4	41669	20946	NULL	NULL
20399	4	41670	20960	NULL	NULL
14608	4	41671	20966	NULL	NULL
45162	4	41673	20954	NULL	NULL
14677	4	41674	20955	NULL	NULL
14699	4	41675	20958	NULL	NULL
31705	4	41676	20839	NULL	NULL
31920	4	41678	20957	NULL	NULL
45706	4	41679	20948	NULL	NULL
14043	4	41680	20952	NULL	NULL
23936	4	41755	20968	NULL	NULL
33064	4	41756	20969	NULL	NULL
11175	4	41757	20970	NULL	NULL
14649	4	41759	20971	NULL	NULL
19240	4	41761	20972	NULL	NULL
14966	4	41762	20973	NULL	NULL
38451	4	41763	20974	NULL	NULL
45996	4	41764	20975	NULL	NULL
28861	4	41767	20976	NULL	NULL
43777	4	41769	20978	NULL	NULL
35503	4	41770	20979	NULL	NULL
33250	4	41771	20980	NULL	NULL
17608	4	41774	20981	NULL	NULL
40663	4	41776	20982	NULL	NULL
14607	4	41801	20931	NULL	NULL
35263	4	42352	20984	NULL	NULL
45154	4	42353	20985	NULL	NULL
14643	4	42355	20987	NULL	NULL
31607	4	42357	20123	NULL	NULL
14660	4	42359	20989	NULL	NULL
16276	4	42360	20990	NULL	NULL
14662	4	42361	20991	NULL	NULL
7738	4	42362	20992	NULL	NULL
36264	4	42363	20993	NULL	NULL
44705	4	42366	20995	NULL	NULL
27425	4	42367	20996	NULL	NULL
14597	4	42368	20997	NULL	NULL
20149	4	42369	20998	NULL	NULL
41996	4	42370	20999	NULL	NULL
30370	4	42371	21038	NULL	NULL
8123	7	32020	NULL	NULL	NULL
8145	7	32021	NULL	NULL	NULL
8221	7	32054	NULL	NULL	NULL
8051	7	32131	NULL	NULL	NULL
8083	7	32136	NULL	NULL	NULL
8136	7	32152	NULL	NULL	NULL
8162	7	32153	NULL	NULL	NULL
40732	7	32893	NULL	NULL	NULL
8418	7	32912	NULL	NULL	NULL
8421	7	32913	NULL	NULL	NULL
8423	7	32917	NULL	NULL	NULL
8427	7	32924	NULL	NULL	NULL
9523	7	33459	NULL	NULL	NULL
8191	7	33483	NULL	NULL	NULL
10072	7	33492		NULL	NULL
8291	7	33493	NULL	NULL	NULL
8366	7	33494	NULL	NULL	NULL
9482	7	33512	NULL	NULL	NULL
8111	7	34982	NULL	NULL	NULL
10043	7	34990		NULL	NULL
8000	7	34992	NULL	NULL	NULL
8341	7	34998	NULL	NULL	NULL
8055	7	35004	NULL	NULL	NULL
10039	7	35006		NULL	NULL
8167	7	35009	NULL	NULL	NULL
40726	7	35064	NULL	NULL	NULL
16853	7	35121	NULL	NULL	NULL
8034	7	35159	NULL	NULL	NULL
8232	7	35167	NULL	NULL	NULL
7979	7	35172	NULL	NULL	NULL
10033	7	35175		NULL	NULL
9557	7	36551	NULL	NULL	NULL
10031	7	36652		NULL	NULL
40741	7	39223	NULL	NULL	NULL
8195	7	39252	NULL	NULL	NULL
7963	7	39256	NULL	NULL	NULL
10058	7	39266		NULL	NULL
8281	7	39267	NULL	NULL	NULL
8184	7	39268	NULL	NULL	NULL
8120	7	39269	NULL	NULL	NULL
8265	7	39271	NULL	NULL	NULL
8306	7	39292	NULL	NULL	NULL
9599	7	39709	NULL	NULL	NULL
41524	7	39753	NULL	NULL	NULL
8033	7	39755	NULL	NULL	NULL
8134	7	39758	NULL	NULL	NULL
8151	7	39759	NULL	NULL	NULL
8183	7	39760	NULL	NULL	NULL
8210	7	39761	NULL	NULL	NULL
8311	7	39764	NULL	NULL	NULL
35267	7	39821	NULL	NULL	NULL
7978	7	40053	NULL	NULL	NULL
8003	7	40057	NULL	NULL	NULL
8038	7	40058	NULL	NULL	NULL
8036	7	40061	NULL	NULL	NULL
8125	7	40065	NULL	NULL	NULL
8150	7	40066	NULL	NULL	NULL
