ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722386368	26162	18801
1722386369	26171	18801
1722386370	30401	18801
1722386371	30427	18801
1722386372	32903	18801
1722386373	33483	18801
1722386374	33486	18801
1722386375	34992	18801
1722386376	35158	18801
1722386377	35167	18801
1722386575	20028	5207
1722386576	24551	5207
1722386577	35114	5207
1722386578	37706	5207
1722386579	39706	5207
1722386580	41554	5207
1722386581	41902	5207
1722386582	43812	5207
1722386583	45171	5207
1722386584	45173	5207
1722386585	45257	5207
1722386586	45258	5207
1722386587	54691	5207
1722386588	54734	5207
1722386589	54739	5207
1722386590	54751	5207
1722386591	56701	5207
1722386592	56800	5207
1722386593	57103	5207
1722386594	624	44
1722386595	25832	44
1722386596	667	44
1722386597	712	44
1722386598	735	44
1722386599	3294	44
1722386600	1082	44
1722386601	1270	44
1722386602	1460	44
1722386603	25836	44
1722386604	22114	44
1722386605	18700	44
1722386606	18713	44
1722386607	19029	44
1722386608	35122	44
1722386609	35127	44
1722386610	35126	44
1722386611	22113	44
1722386612	22121	44
1722386613	22123	44
1722386614	22124	44
1722386615	22126	44
1722386616	22129	44
1722386617	22897	44
1722386618	22974	44
1722386619	40503	44
1722386620	21740	44
1722386621	47510	44
1722386631	25701	4841
1722386632	25703	4841
1722386633	33401	4841
1722386634	43557	4841
1722386635	43941	4841
1722386636	44429	4841
1722386637	51603	4841
1722386656	1115	4854
1722386657	3487	4854
1722386658	18742	4854
1722386659	24253	4854
1722386660	30283	4854
1722386661	39211	4854
1722386662	39215	4854
1722386663	41510	4854
1722386664	43428	4854
1722386665	46521	4854
1722386666	46682	4854
1722386667	10	395
1722386668	16	395
1722386669	77	395
1722386670	86	395
1722386671	107	395
1722386672	111	395
1722386673	141	395
1722386674	153	395
1722386675	12442	395
1722386676	15528	395
1722386677	18260	395
1722386678	18280	395
1722386679	18282	395
1722386680	18716	395
1722386681	18719	395
1722386682	18722	395
1722386683	18729	395
1722386684	18730	395
1722386685	18763	395
1722386686	18918	395
1722386687	19859	395
1722386688	20023	395
1722386689	20032	395
1722386690	21297	395
1722386691	21502	395
1722386692	21758	395
1722386693	21765	395
1722386694	21772	395
1722386695	22132	395
1722386696	22142	395
1722386697	22145	395
1722386698	22149	395
1722386699	22955	395
1722386700	22957	395
1722386701	22966	395
1722386702	22967	395
1722386703	23073	395
1722386704	23077	395
1722386705	23078	395
1722386706	23081	395
1722386707	23214	395
1722386708	23217	395
1722386709	23220	395
1722386710	23223	395
1722386711	23225	395
1722386712	23227	395
1722386713	23231	395
1722386714	23455	395
1722386715	23456	395
1722386716	23462	395
1722386717	23466	395
1722386718	23964	395
1722386719	23969	395
1722386720	23972	395
1722386721	24001	395
1722386722	24006	395
1722386723	24547	395
1722386724	24551	395
1722386725	24556	395
1722386726	25185	395
1722386727	25188	395
1722386728	25192	395
1722386729	25314	395
1722386730	25331	395
1722386731	26179	395
1722386732	26182	395
1722386733	26184	395
1722386734	31319	395
1722386735	31322	395
1722386736	31323	395
1722386737	33521	395
1722386738	33522	395
1722386739	33523	395
1722386740	34962	395
1722386741	35012	395
1722386742	35015	395
1722386743	35016	395
1722386744	35019	395
1722386745	35020	395
1722386746	35108	395
1722386747	35109	395
1722386748	35114	395
1722386749	35115	395
1722386750	35119	395
1722386751	35760	395
1722386752	35761	395
1722386357	1320	18801
1722386358	1333	18801
1722386359	18117	18801
1722386360	21352	18801
1722386361	22050	18801
1722386362	24020	18801
1722386363	24023	18801
1722386364	24430	18801
1722386365	24609	18801
1722386366	24612	18801
1722386367	26157	18801
1722386753	35765	395
1722386754	35771	395
1722386755	35772	395
1722386756	35773	395
1722386757	35774	395
1722386758	36663	395
1722386759	36664	395
1722386760	37702	395
1722386761	37704	395
1722386762	37706	395
1722386763	37708	395
1722386764	37709	395
1722386765	37710	395
1722386766	37711	395
1722386767	39277	395
1722386768	39282	395
1722386769	39285	395
1722386770	39603	395
1722386771	39606	395
1722386772	39607	395
1722386773	39612	395
1722386774	39617	395
1722386775	39619	395
1722386776	39620	395
1722386777	39706	395
1722386778	39707	395
1722386779	39708	395
1722386780	39711	395
1722386781	41551	395
1722386782	41552	395
1722386783	41554	395
1722386784	41555	395
1722386785	41556	395
1722386786	41570	395
1722386787	41854	395
1722386788	41902	395
1722386789	41904	395
1722386790	41906	395
1722386791	41914	395
1722386792	41916	395
1722386793	41919	395
1722386794	42303	395
1722386795	44956	395
1722386796	44957	395
1722386797	44958	395
1722386798	44959	395
1722386799	44960	395
1722386800	44964	395
1722386801	44967	395
1722386802	45154	395
1722386803	45156	395
1722386804	45158	395
1722386805	45159	395
1722386806	45160	395
1722386807	45161	395
1722386808	45163	395
1722386809	45168	395
1722386810	45171	395
1722386811	45172	395
1722386812	45173	395
1722386813	45253	395
1722386814	45255	395
1722386815	45257	395
1722386816	45258	395
1722386817	45259	395
1722386818	45261	395
1722386819	45263	395
1722386820	45264	395
1722386821	45270	395
1722386822	45271	395
1722386823	45273	395
1722386824	46570	395
1722386825	46573	395
1722386826	46574	395
1722386827	46575	395
1722386828	46577	395
1722386829	46582	395
1722386830	46584	395
1722386831	46587	395
1722386832	46643	395
1722386833	46645	395
1722386834	46647	395
1722386835	46648	395
1722386836	46649	395
1722386837	46650	395
1722386838	46651	395
1722386839	46658	395
1722386840	46659	395
1722386841	46662	395
1722386842	46663	395
1722386843	46665	395
1722386844	51461	395
1722386845	51464	395
1722386846	51465	395
1722386847	51466	395
1722386848	51468	395
1722386849	51469	395
1722386850	51470	395
1722386851	51474	395
1722386852	51475	395
1722386853	51652	395
1722386854	51657	395
1722386855	51658	395
1722386856	51662	395
1722386857	51664	395
1722386858	51666	395
1722386859	51670	395
1722386860	51671	395
1722386861	51672	395
1722386862	51674	395
1722386863	51675	395
1722386864	51685	395
1722386865	51686	395
1722386866	51688	395
1722386867	51689	395
1722386868	51691	395
1722386869	51693	395
1722386870	51695	395
1722386871	51696	395
1722386872	51698	395
1722386873	51715	395
1722386874	51717	395
1722386875	51718	395
1722386876	51720	395
1722386877	51721	395
1722386878	51727	395
1722386879	51728	395
1722386880	51746	395
1722386881	51747	395
1722386882	51749	395
1722386883	51753	395
1722386884	54668	395
1722386885	54677	395
1722386886	54686	395
1722386887	54691	395
1722386888	54697	395
1722386889	54711	395
1722386890	54714	395
1722386891	54724	395
1722386892	54726	395
1722386893	54730	395
1722386894	54734	395
1722386895	54736	395
1722386896	54738	395
1722386897	54739	395
1722386898	54742	395
1722386899	54745	395
1722386900	54751	395
1722386901	54763	395
1722386902	56665	395
1722386903	56694	395
1722386904	56695	395
1722386905	56697	395
1722386906	56700	395
1722386907	56701	395
1722386908	56703	395
1722386909	56704	395
1722386910	56716	395
1722386911	56720	395
1722386912	56721	395
1722386913	56726	395
1722386914	56729	395
1722386915	56730	395
1722386916	56736	395
1722386917	56772	395
1722386918	56773	395
1722386919	56790	395
1722386920	56791	395
1722386921	56792	395
1722386922	56795	395
1722386923	56796	395
1722386924	56800	395
1722386925	56802	395
1722386926	56824	395
1722386927	56864	395
1722386928	56873	395
1722386929	56877	395
1722386930	56904	395
1722386931	57091	395
1722386932	57095	395
1722386933	57098	395
1722386934	57102	395
1722386935	57103	395
1722386936	57104	395
1722386937	57105	395
1722386938	57210	395
1722386939	57212	395
1722386940	57217	395
1722386941	57218	395
1722386942	57219	395
1722386943	57237	395
1722386944	57241	395
1722386945	57251	395
1722386946	57256	395
1722386947	57266	395
1722386948	57274	395
1722386949	57280	395
1722386950	57286	395
1722386951	57296	395
1722386952	57304	395
1722386953	57309	395
1722386954	57314	395
1722386955	57325	395
1722386956	57327	395
1722386957	57330	395
