ID	ORGANIZATIONID	CAMPAIGNID	ACTIVITYID	SID	NAME	DESCRIPTION	SHIFTLENGTH	MINSPACING	MAXSPACING	DELETEONDATE	CREATED	CREATEDBY	MODIFIED	MODIFIEDBY
00000049.000039	-3002	NULL	-4101	2	8:00am 8.5hr/30lunch	8 am Start 8.5hr shift/30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:40:18.000	wsuperuser	2007-03-03 19:40:38.000	adrianjcarter
00000049.000041	-3002	NULL	-4101	3	8:15am 8.5hr/30lunch	8:15 am Start 8.5hr shift 30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:41:49.000	wsuperuser	2007-03-03 19:40:52.000	adrianjcarter
00000049.000043	-3002	NULL	-4101	4	8:30 am 8.5hr/30lunch	8:30 am start 8.5hr shift/30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:42:19.000	wsuperuser	2007-03-03 19:40:52.000	adrianjcarter
00000049.000049	-3002	NULL	-4101	5	9:00 am 8.5hr/30lunch	9:00 am start 8.5hr shift 30min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:42:58.000	wsuperuser	2007-03-03 19:40:52.000	adrianjcarter
00000049.000055	-3002	NULL	-4101	6	9:30 am 8.5hr/30lunch	9:30 am start 8.5hr shift 30min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:43:51.000	wsuperuser	2007-03-03 19:40:51.000	adrianjcarter
00000049.000061	-3002	NULL	-4101	7	10:00 am 8.5hr/30lunch	10:00 am start 8.5hr shift 30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:44:26.000	wsuperuser	2007-03-03 19:40:50.000	adrianjcarter
00000049.000067	-3002	NULL	-4101	8	10:30 am  8.5hr/30lunch	10:30 am start 8.5hr shift 30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:45:02.000	wsuperuser	2007-03-03 19:40:50.000	adrianjcarter
00000049.000073	-3002	NULL	-4101	9	11:00 am 8.5hr/30lunch	11:00 am start 8.5hr shift 30 min lunch	510	60	180	2007-03-03 19:40:00	2006-05-16 20:45:38.000	wsuperuser	2007-03-03 19:40:50.000	adrianjcarter
00000049.000079	-3002	NULL	-4101	10	8:00 am 9 hr shift	8:00 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:46:34.000	wsuperuser	2007-03-03 19:41:17.000	adrianjcarter
00000049.000085	-3002	NULL	-4101	11	8:15 am 9 hr shift	8:15 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:47:13.000	wsuperuser	2007-03-03 19:41:16.000	adrianjcarter
00000049.000091	-3002	NULL	-4101	12	8:30 am 9 hr shift	8:30 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:47:56.000	wsuperuser	2007-03-03 19:41:16.000	adrianjcarter
00000049.000097	-3002	NULL	-4101	13	9:00 am 9 hr shift	9:00 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:48:25.000	wsuperuser	2007-03-03 19:41:16.000	adrianjcarter
00000049.000103	-3002	NULL	-4101	14	9:30 am 9 hr shift	9:30 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:48:55.000	wsuperuser	2007-03-03 19:41:16.000	adrianjcarter
00000049.000109	-3002	NULL	-4101	15	10:00 am 9 hr shift	10:00 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:49:22.000	wsuperuser	2007-03-03 19:41:15.000	adrianjcarter
00000049.000115	-3002	NULL	-4101	16	10:30 am 9 hr shift	10:30 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:49:49.000	wsuperuser	2007-03-03 19:41:14.000	adrianjcarter
00000049.000121	-3002	NULL	-4101	17	11:00 am 9 hr shift	11:00 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:50:13.000	wsuperuser	2007-03-03 19:41:14.000	adrianjcarter
00000049.000127	-3002	NULL	-4101	18	11:15 am 9 hr shift	11:15 am start	540	60	180	2007-03-03 19:40:00	2006-05-16 20:50:39.000	wsuperuser	2007-03-03 19:41:14.000	adrianjcarter
00000049.000135	-3002	NULL	-4101	19	8:00 am 4 hr shift	8:00 am start part time	240	60	180	NULL	2006-05-16 20:52:54.000	wsuperuser	2009-11-30 18:36:30.000	tammylewis
00000049.000141	-3002	NULL	-4101	20	2:00 pm 6 hr shift	2:00 pm start PT	360	60	180	NULL	2006-05-16 20:53:53.000	wsuperuser	2011-08-17 15:25:57.000	paulawilson
00000049.000147	-3002	NULL	-4101	21	8.5 hr Any start	Any start 8.5	510	60	180	2007-03-03 20:33:00	2006-05-16 20:55:16.000	wsuperuser	2007-03-03 20:34:19.000	terryfoley
00000049.000218	-3002	NULL	-4101	22	9 hr Any Start	Any Start 9 hr	540	60	180	2007-03-03 20:34:00	2006-05-16 20:56:56.000	wsuperuser	2007-03-03 20:34:34.000	terryfoley
000000ba.000041	-3002	NULL	-4101	23	3:00 pm 5 hr shift	3:00 pm 5 hr shift	300	60	180	2008-04-18 15:38:00	2006-05-19 13:24:55.000	wsuperuser	2008-04-18 15:39:51.000	ed.padilla
000000ba.000047	-3002	NULL	-4101	24	8:00 am 12 hr shift	8:00 am 12 hr shift	720	60	240	2007-03-03 20:34:00	2006-05-19 13:29:27.000	wsuperuser	2007-03-03 20:34:53.000	terryfoley
