ID	SUPERVISOREMPLOYEEID	EMPLOYEEID	STARTTIME	ENDTIME
2	23	6	2002-08-01 05:00:00.000	2007-05-04 05:00:00.000
3	23	7	2006-04-17 05:00:00.000	2006-09-30 04:59:00.000
4475	14009	25821	2009-04-30 05:00:00.000	2011-04-03 05:00:00.000
30422	54798	58102	2012-01-09 06:00:00.000	NULL
28751	23209	18742	2007-10-22 05:00:00.000	2012-09-22 04:59:00.000
7	23	11	2005-02-01 06:00:00.000	2007-01-13 05:59:00.000
8	23	12	2001-10-16 05:00:00.000	2008-04-15 05:00:00.000
9	149	13	2003-10-16 05:00:00.000	2008-11-01 04:59:00.000
10	23	14	2006-03-21 06:00:00.000	2007-05-01 04:59:00.000
157	23	1056	2006-05-23 05:00:00.000	2007-11-02 05:00:00.000
29404	28708	85627	2012-07-09 05:00:00.000	NULL
13	23	17	2006-05-17 05:00:00.000	2006-09-26 04:59:00.000
24095	34955	57220	2011-10-10 05:00:00.000	2012-02-05 05:59:00.000
15	23	19	2004-08-02 05:00:00.000	2007-04-07 04:59:00.000
16	23	20	2006-03-21 06:00:00.000	2008-04-15 05:00:00.000
28551	43657	82077	2012-06-11 05:00:00.000	2012-09-08 04:59:00.000
18	149	22	2001-09-16 05:00:00.000	2007-10-20 04:59:00.000
26382	1132	45003	2011-04-18 05:00:00.000	2012-03-27 04:59:00.000
27484	13813	39261	2010-09-13 05:00:00.000	2012-05-01 04:59:00.000
21	9470	25	2006-05-17 05:00:00.000	2011-04-03 05:00:00.000
1751	150	12601	2007-02-12 06:00:00.000	2007-02-26 06:00:00.000
23	1061	27	2006-03-21 06:00:00.000	2007-06-02 04:59:00.000
30673	30407	90903	2012-09-24 05:00:00.000	NULL
30675	30407	91812	2012-10-15 05:00:00.000	NULL
26	23	30	2004-06-01 05:00:00.000	2007-11-01 05:00:00.000
858	146	1415	2006-06-23 05:00:00.000	2006-07-25 05:01:00.000
14065	18277	43879	2011-04-03 05:00:00.000	NULL
5746	13853	25752	2009-08-12 05:00:00.000	2009-12-10 05:59:00.000
30	27	34	2006-04-17 05:00:00.000	2008-02-11 06:00:00.000
14066	18731	43876	2011-04-03 05:00:00.000	NULL
14067	43794	43877	2011-04-03 05:00:00.000	NULL
32039	56921	98304	2013-05-20 05:00:00.000	NULL
25939	54620	71006	2012-01-23 06:00:00.000	NULL
5683	23209	30291	2009-07-07 05:00:00.000	2009-09-11 04:59:00.000
36	150	40	2006-01-11 06:00:00.000	2006-12-05 05:59:00.000
14069	43701	43898	2011-04-03 05:00:00.000	NULL
1752	150	12602	2007-02-12 06:00:00.000	2007-02-26 06:00:00.000
39	146	43	2006-01-26 06:00:00.000	2006-12-21 05:59:00.000
40	150	44	2000-02-16 06:00:00.000	2007-01-11 05:59:00.000
