ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
934070	54573	-4113	NULL	35814	1	2	2400	2013-03-04 14:00:00.000	2013-03-08 22:30:00.000	0	2013-01-08 13:59:17.000	7	3:5|8	2400	2013-03-04 14:00:00.000
943679	58081	-4113	NULL	36915	1	2	420	2013-03-01 15:00:00.000	2013-03-01 23:45:00.000	0	2013-03-05 02:03:20.000	0	1:7.0	480	2013-03-01 15:00:00.000
950790	57880	-4113	NULL	37525	1	2	390	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 16:35:48.000	2	2:6.5	480	2013-03-11 13:00:00.000
956779	54573	-4113	NULL	37984	1	2	2880	2013-03-04 14:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:5|8,2|0,8	2880	2013-03-04 14:00:00.000
956787	54573	-4113	NULL	37987	1	2	480	2013-03-04 14:00:00.000	2013-03-04 22:30:00.000	0	2013-01-08 13:59:17.000	7	3:8	480	2013-03-04 14:00:00.000
957655	54575	-4113	NULL	38079	1	2	480	2013-03-01 14:00:00.000	2013-03-01 22:30:00.000	0	2013-03-04 15:12:30.000	2	1:8	510	2013-03-01 14:00:00.000
957947	57880	-4113	NULL	38165	1	2	390	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 16:35:48.000	2	2:6.5	480	2013-03-11 13:00:00.000
958871	45160	-4113	NULL	38242	1	2	600	2013-03-04 15:00:00.000	2013-03-05 01:45:00.000	0	2013-03-05 22:23:45.000	1	1:10.0	480	2013-03-04 15:00:00.000
959326	71012	-4113	NULL	38289	1	2	480	2013-03-01 14:45:00.000	2013-03-01 23:15:00.000	0	2013-02-28 15:55:17.000	1	1:8	510	2013-03-01 14:45:00.000
959382	58101	-4113	NULL	38299	1	2	2400	2013-03-11 13:15:00.000	2013-03-15 21:45:00.000	0	2013-03-13 18:51:57.000	2	1:5|8	2400	2013-03-11 13:15:00.000
959919	54573	-4113	NULL	38389	1	2	2880	2013-03-04 14:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:5|8,2|0,8	2880	2013-03-04 14:00:00.000
959923	54573	-4113	NULL	38390	1	2	2400	2013-03-04 14:00:00.000	2013-03-08 22:30:00.000	0	2013-01-08 13:59:17.000	7	3:5|8	2400	2013-03-04 14:00:00.000
959924	54573	-4113	NULL	38391	1	2	1440	2013-03-04 14:00:00.000	2013-03-06 22:30:00.000	0	2013-03-11 16:14:48.000	1	1:3|8	1440	2013-03-04 14:00:00.000
959927	54573	-4113	NULL	38392	1	2	1440	2013-03-07 14:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:2|8,2|0,8	1440	2013-03-07 14:00:00.000
959930	54573	-4113	NULL	38393	1	2	480	2013-03-07 14:00:00.000	2013-03-07 22:30:00.000	0	2013-01-08 13:59:18.000	7	3:8	480	2013-03-07 14:00:00.000
960211	70994	-4113	NULL	38427	1	2	510	2013-03-08 15:00:00.000	2013-03-08 23:30:00.000	0	2013-01-09 20:08:32.000	7	3:8.5	510	2013-03-08 15:00:00.000
960838	71012	-4113	NULL	38472	1	2	480	2013-03-04 14:15:00.000	2013-03-04 23:15:00.000	0	2013-03-08 15:49:41.000	2	1:8	540	2013-03-04 14:15:00.000
960840	71012	-4113	NULL	38474	1	2	480	2013-03-04 14:45:00.000	2013-03-04 23:15:00.000	0	2013-03-08 15:49:41.000	2	1:8	510	2013-03-04 14:45:00.000
960926	54625	-4113	NULL	38484	1	2	480	2013-03-01 14:00:00.000	2013-03-01 22:30:00.000	0	2013-02-27 21:09:00.000	1	1:8	510	2013-03-01 14:00:00.000
961540	54573	-4113	NULL	38573	1	2	1440	2013-03-07 14:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:2|8,2|0,8	1440	2013-03-07 14:00:00.000
961541	54573	-4113	NULL	38574	1	2	480	2013-03-07 14:00:00.000	2013-03-07 22:30:00.000	0	2013-01-08 13:59:18.000	7	3:8	480	2013-03-07 14:00:00.000
961723	57880	-4113	NULL	38591	1	2	480	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-16 22:01:36.000	7	3:8	480	2013-03-11 14:30:00.000
961739	70994	-4113	NULL	38595	1	2	510	2013-03-08 15:00:00.000	2013-03-08 23:30:00.000	0	2013-01-09 20:08:32.000	7	3:8.5	510	2013-03-08 15:00:00.000
961751	58043	-4113	NULL	38600	1	2	480	2013-03-04 06:00:00.000	2013-03-05 06:00:00.000	0	2013-03-05 22:24:07.000	1	1:8	480	2013-03-04 06:00:00.000
962354	54573	-4113	NULL	38618	1	2	1440	2013-03-07 14:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:2|8,2|0,8	1440	2013-03-07 14:00:00.000
962355	54573	-4113	NULL	38619	1	2	1440	2013-03-06 14:00:00.000	2013-03-08 22:30:00.000	0	2013-03-11 16:14:48.000	1	1:3|8	1440	2013-03-06 14:00:00.000
962357	54573	-4113	NULL	38621	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:8	480	2013-03-11 13:00:00.000
962397	70994	-4113	NULL	38640	1	2	510	2013-03-08 15:00:00.000	2013-03-08 23:30:00.000	0	2013-01-09 20:08:32.000	7	3:8.5	510	2013-03-08 15:00:00.000
962443	58026	-4113	NULL	38651	1	2	960	2013-03-07 15:30:00.000	2013-03-09 00:00:00.000	0	2013-03-04 23:44:36.000	7	2:2|8	1200	2013-03-07 15:30:00.000
962700	57880	-4113	NULL	38700	1	2	480	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-16 22:01:36.000	7	3:8	480	2013-03-11 14:30:00.000
963007	57628	-4113	NULL	38738	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-12 18:03:13.000	2	2:8	510	2013-03-11 13:00:00.000
963016	22037	-4113	NULL	38742	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 17:46:25.000	7	2:8	510	2013-03-11 13:00:00.000
963197	22037	-4113	NULL	38747	1	2	480	2013-03-08 14:00:00.000	2013-03-08 22:30:00.000	0	2013-03-07 16:14:48.000	2	1:8	510	2013-03-08 14:00:00.000
963199	22037	-4113	NULL	38748	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 17:46:25.000	7	2:8	510	2013-03-11 13:00:00.000
963343	54614	-4113	NULL	38758	1	2	510	2013-03-01 14:00:00.000	2013-03-01 22:30:00.000	0	2013-01-18 19:59:38.000	6	3:8.5	510	2013-03-01 14:00:00.000
963630	45160	-4113	NULL	38782	1	2	360	2013-03-01 15:00:00.000	2013-03-02 01:45:00.000	0	2013-02-21 16:11:19.000	1	1:6.0	480	2013-03-01 15:00:00.000
963720	54573	-4113	NULL	38797	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:8	480	2013-03-11 13:00:00.000
963776	58026	-4113	NULL	38813	1	2	510	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-15 21:45:38.000	7	3:8.5	510	2013-03-11 14:30:00.000
963783	22037	-4113	NULL	38815	1	2	210	2013-03-08 18:30:00.000	2013-03-08 22:30:00.000	0	2013-03-07 16:14:48.000	1	1:3.5	240	2013-03-08 18:30:00.000
963785	22037	-4113	NULL	38816	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 17:46:26.000	7	2:8	510	2013-03-11 13:00:00.000
963840	23466	-4113	NULL	38826	1	2	480	2013-03-13 13:15:00.000	2013-03-13 22:00:00.000	0	2013-01-15 16:47:16.000	7	3:8	480	2013-03-13 13:15:00.000
963904	70994	-4113	NULL	38833	1	2	510	2013-03-08 15:00:00.000	2013-03-08 23:30:00.000	0	2013-02-05 18:45:21.000	6	3:8.5	510	2013-03-08 15:00:00.000
964260	58114	-4113	NULL	38851	1	2	510	2013-03-11 14:45:00.000	2013-03-11 23:15:00.000	0	2013-01-17 19:41:18.000	7	3:8.5	510	2013-03-11 14:45:00.000
964725	90654	253	NULL	38924	1	2	480	2013-03-06 14:00:00.000	2013-03-06 22:45:00.000	0	2013-04-03 14:33:14.000	1	1:8	480	2013-03-06 14:00:00.000
964726	90654	253	NULL	38925	1	2	480	2013-03-07 14:00:00.000	2013-03-07 22:45:00.000	0	2013-04-03 14:33:14.000	1	1:8	480	2013-03-07 14:00:00.000
964727	90654	253	NULL	38926	1	2	480	2013-03-08 14:00:00.000	2013-03-08 22:45:00.000	0	2013-04-03 14:33:14.000	1	1:8	480	2013-03-08 14:00:00.000
965054	22037	-4113	NULL	38965	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-07 17:46:26.000	7	2:8	510	2013-03-11 13:00:00.000
965108	54814	-4113	NULL	38972	1	2	510	2013-03-14 13:30:00.000	2013-03-14 22:00:00.000	0	2013-01-16 00:30:44.000	7	3:8.5	510	2013-03-14 13:30:00.000
965118	58026	-4113	NULL	38978	1	2	510	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-15 21:45:38.000	7	3:8.5	510	2013-03-11 14:30:00.000
965119	54573	-4113	NULL	38979	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-18 13:00:23.000	2	1:8	480	2013-03-11 13:00:00.000
965153	54575	-4113	NULL	38983	1	2	480	2013-03-08 14:00:00.000	2013-03-08 22:30:00.000	0	2013-03-07 16:23:42.000	1	1:8	510	2013-03-08 14:00:00.000
965265	42353	-4113	NULL	38997	1	2	180	2013-03-01 18:00:00.000	2013-03-01 21:30:00.000	0	2013-03-01 16:30:51.000	1	1:3.0	210	2013-03-01 18:00:00.000
965322	54636	-4113	NULL	39007	1	2	480	2013-03-08 14:15:00.000	2013-03-08 22:45:00.000	0	2013-03-08 16:21:01.000	2	1:8	510	2013-03-08 14:15:00.000
965342	54636	-4113	NULL	39008	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
965369	54615	-4113	NULL	39012	1	2	480	2013-03-13 13:00:00.000	2013-03-13 21:30:00.000	0	2013-03-12 20:44:06.000	2	2:8	480	2013-03-13 13:00:00.000
965831	54814	-4113	NULL	39046	1	2	510	2013-03-14 13:30:00.000	2013-03-14 22:00:00.000	0	2013-01-16 00:30:44.000	7	3:8.5	510	2013-03-14 13:30:00.000
966244	24610	-4113	NULL	39060	1	2	180	2013-03-05 19:00:00.000	2013-03-05 22:30:00.000	0	2013-03-01 20:38:41.000	1	2:3.0	210	2013-03-05 19:00:00.000
966548	57627	-4113	NULL	39103	1	2	480	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-12 14:47:00.000	2	2:8	510	2013-03-11 13:00:00.000
966551	26171	-4113	NULL	39106	1	2	510	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-11 17:45:30.000	6	3:8.5	510	2013-03-11 14:30:00.000
966562	54636	-4113	NULL	39110	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
966642	54636	-4113	NULL	39121	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
966653	57880	-4113	NULL	39126	1	2	480	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-01-16 22:01:36.000	7	3:8	480	2013-03-11 14:30:00.000
966654	57880	-4113	NULL	39127	1	2	480	2013-03-12 14:30:00.000	2013-03-12 23:00:00.000	0	2013-01-16 22:01:36.000	7	3:8	480	2013-03-12 14:30:00.000
966670	58026	-4113	NULL	39133	1	2	510	2013-03-11 14:30:00.000	2013-03-11 23:00:00.000	0	2013-02-25 20:09:37.000	6	3:8.5	510	2013-03-11 14:30:00.000
966671	57880	-4113	NULL	39134	1	2	480	2013-03-12 14:00:00.000	2013-03-12 23:30:00.000	0	2013-03-07 16:35:48.000	2	2:8	480	2013-03-12 14:00:00.000
966751	54636	-4113	NULL	39144	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
966813	54527	-4113	NULL	39152	1	2	480	2013-03-08 14:00:00.000	2013-03-08 22:30:00.000	0	2013-03-04 22:11:57.000	6	2:8	510	2013-03-08 14:00:00.000
966814	54527	-4113	NULL	39153	1	2	510	2013-03-11 13:00:00.000	2013-03-11 21:30:00.000	0	2013-03-04 22:12:06.000	6	3:8.5	510	2013-03-11 13:00:00.000
966817	54527	-4113	NULL	39154	1	2	510	2013-03-12 13:00:00.000	2013-03-12 21:30:00.000	0	2013-01-15 22:08:59.000	7	3:8.5	510	2013-03-12 13:00:00.000
966821	57668	-4113	NULL	39156	1	2	510	2013-03-14 13:15:00.000	2013-03-14 21:45:00.000	0	2013-01-17 14:12:00.000	7	3:8.5	510	2013-03-14 13:15:00.000
966828	54636	-4113	NULL	39160	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
966829	54814	-4113	NULL	39161	1	2	600	2013-03-14 13:00:00.000	2013-03-14 23:30:00.000	0	2013-01-16 00:30:45.000	7	3:10.0	600	2013-03-14 13:00:00.000
966870	58114	-4113	NULL	39168	1	2	480	2013-03-11 14:45:00.000	2013-03-11 23:15:00.000	0	2013-03-07 16:36:45.000	1	2:8	510	2013-03-11 14:45:00.000
966874	44958	-4113	NULL	39171	1	2	435	2013-03-04 14:00:00.000	2013-03-04 22:00:00.000	0	2013-03-05 22:23:42.000	1	1:7.25	480	2013-03-04 14:00:00.000
967033	54636	-4113	NULL	39181	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
967052	54527	-4113	NULL	39182	1	2	510	2013-03-12 13:00:00.000	2013-03-12 21:30:00.000	0	2013-01-15 22:08:59.000	7	3:8.5	510	2013-03-12 13:00:00.000
967063	22037	-4113	NULL	39188	1	2	450	2013-03-11 13:00:00.000	2013-03-11 21:00:00.000	0	2013-03-15 13:55:58.000	1	1:7.5	480	2013-03-11 13:00:00.000
967072	56697	-4113	NULL	39189	1	2	1920	2013-03-11 13:00:00.000	2013-03-14 21:45:00.000	0	2013-03-14 15:54:49.000	2	1:4|8	1920	2013-03-11 13:00:00.000
967106	54638	-4113	NULL	39201	1	2	510	2013-03-07 15:15:00.000	2013-03-07 23:45:00.000	0	2013-02-01 17:25:25.000	6	3:8.5	510	2013-03-07 15:15:00.000
967107	54638	-4113	NULL	39202	1	2	480	2013-03-08 15:15:00.000	2013-03-08 23:45:00.000	0	2013-03-07 16:23:44.000	1	1:8	510	2013-03-08 15:15:00.000
967152	54636	-4113	NULL	39210	1	2	480	2013-03-11 13:15:00.000	2013-03-11 21:45:00.000	0	2013-03-07 16:23:44.000	2	2:8	510	2013-03-11 13:15:00.000
