ID	ORGANIZATIONID	WORKRESOURCEID	STARTTIME	ENDTIME
15161	653	43519	2011-04-03 05:00:00.000	NULL
18808	652	43520	2011-04-03 05:00:00.000	NULL
15163	652	43521	2011-04-03 05:00:00.000	NULL
15165	653	43523	2011-04-03 05:00:00.000	NULL
15169	653	43525	2011-04-03 05:00:00.000	NULL
15170	651	43526	2011-04-03 05:00:00.000	NULL
15171	653	43527	2011-04-03 05:00:00.000	NULL
15172	653	43528	2011-04-03 05:00:00.000	NULL
15173	653	43529	2011-04-03 05:00:00.000	NULL
15174	653	43530	2011-04-03 05:00:00.000	NULL
15175	653	43531	2011-04-03 05:00:00.000	NULL
15176	651	43532	2011-04-03 05:00:00.000	NULL
15180	653	43536	2011-04-03 05:00:00.000	NULL
15181	653	43537	2011-04-03 05:00:00.000	NULL
15183	653	43539	2011-04-03 05:00:00.000	NULL
15184	653	43540	2011-04-03 05:00:00.000	NULL
15185	653	43541	2011-04-03 05:00:00.000	NULL
15186	653	43542	2011-04-03 05:00:00.000	NULL
15187	653	43543	2011-04-03 05:00:00.000	NULL
36269	653	43544	2011-04-03 05:00:00.000	NULL
15189	653	43545	2011-04-03 05:00:00.000	NULL
15190	653	43546	2011-04-03 05:00:00.000	NULL
15191	652	43547	2011-04-03 05:00:00.000	NULL
15192	653	43548	2011-04-03 05:00:00.000	NULL
15193	653	43549	2011-04-03 05:00:00.000	NULL
15194	653	43550	2011-04-03 05:00:00.000	NULL
15195	653	43551	2011-04-03 05:00:00.000	NULL
15196	653	43552	2011-04-03 05:00:00.000	NULL
15197	653	43553	2011-04-03 05:00:00.000	NULL
15198	653	43554	2011-04-03 05:00:00.000	NULL
35337	-3002	43555	2011-04-03 05:00:00.000	NULL
15200	653	43556	2011-04-03 05:00:00.000	NULL
17500	551	43557	2011-04-03 05:00:00.000	NULL
15207	653	43560	2011-04-03 05:00:00.000	NULL
15208	653	43561	2011-04-03 05:00:00.000	NULL
15209	653	43562	2011-04-03 05:00:00.000	NULL
15210	653	43563	2011-04-03 05:00:00.000	NULL
15211	653	43564	2011-04-03 05:00:00.000	NULL
15212	651	43565	2011-04-03 05:00:00.000	NULL
15213	651	43566	2011-04-03 05:00:00.000	NULL
18200	653	43567	2011-04-03 05:00:00.000	NULL
15215	651	43568	2011-04-03 05:00:00.000	NULL
15216	653	43569	2011-04-03 05:00:00.000	NULL
15217	653	43570	2011-04-03 05:00:00.000	NULL
15218	653	43571	2011-04-03 05:00:00.000	NULL
15219	653	43572	2011-04-03 05:00:00.000	NULL
15220	653	43573	2011-04-03 05:00:00.000	NULL
15221	653	43574	2011-04-03 05:00:00.000	NULL
15222	653	43575	2011-04-03 05:00:00.000	NULL
15223	653	43576	2011-04-03 05:00:00.000	NULL
15224	653	43577	2011-04-03 05:00:00.000	NULL
15225	653	43578	2011-04-03 05:00:00.000	NULL
15226	653	43579	2011-04-03 05:00:00.000	NULL
15227	653	43580	2011-04-03 05:00:00.000	NULL
15228	651	43581	2011-04-03 05:00:00.000	NULL
15230	651	43582	2011-04-03 05:00:00.000	NULL
15235	653	43585	2011-04-03 05:00:00.000	NULL
15238	653	43586	2011-04-03 05:00:00.000	NULL
15240	653	43588	2011-04-03 05:00:00.000	NULL
15241	651	43589	2011-04-03 05:00:00.000	NULL
15242	653	43590	2011-04-03 05:00:00.000	NULL
15243	653	43591	2011-04-03 05:00:00.000	NULL
15269	653	43617	2011-04-03 05:00:00.000	NULL
15270	653	43618	2011-04-03 05:00:00.000	NULL
15272	653	43620	2011-04-03 05:00:00.000	NULL
26326	652	43622	2011-04-03 05:00:00.000	NULL
15277	653	43624	2011-04-03 05:00:00.000	NULL
15278	653	43625	2011-04-03 05:00:00.000	NULL
15279	653	43626	2011-04-03 05:00:00.000	NULL
15280	653	43627	2011-04-03 05:00:00.000	NULL
35521	1	42564	2011-03-08 06:00:00.000	NULL
32405	253	44956	2011-03-14 05:00:00.000	NULL
34720	253	44957	2011-03-14 05:00:00.000	NULL
17702	254	44958	2011-03-14 05:00:00.000	NULL
30344	254	44959	2011-03-14 05:00:00.000	NULL
30677	214	44964	2011-03-14 05:00:00.000	NULL
30676	214	44967	2011-03-14 05:00:00.000	NULL
36912	710	43414	2011-03-28 05:00:00.000	NULL
31251	708	43420	2011-03-28 05:00:00.000	NULL
32623	712	43442	2011-03-28 05:00:00.000	NULL
36360	708	43444	2011-03-28 05:00:00.000	NULL
36951	712	43446	2011-03-28 05:00:00.000	NULL
37156	708	43461	2011-03-28 05:00:00.000	NULL
27377	-3002	43463	2011-03-28 05:00:00.000	NULL
37157	708	43464	2011-03-28 05:00:00.000	NULL
35499	708	43451	2011-03-28 05:00:00.000	2013-03-16 04:59:00.000
36822	708	43419	2011-03-28 05:00:00.000	2013-05-24 04:59:00.000
15508	651	43788	2011-04-02 05:00:00.000	NULL
15509	651	43789	2011-04-02 05:00:00.000	NULL
15510	651	43790	2011-04-02 05:00:00.000	NULL
30596	1	45	2011-04-03 05:00:00.000	NULL
15231	651	50	2011-04-03 05:00:00.000	NULL
16764	653	58	2011-04-03 05:00:00.000	NULL
16789	653	66	2011-04-03 05:00:00.000	NULL
15494	653	624	2011-04-03 05:00:00.000	NULL
16140	653	735	2011-04-03 05:00:00.000	NULL
15386	653	43714	2011-04-03 05:00:00.000	NULL
15389	653	43717	2011-04-03 05:00:00.000	NULL
15404	653	43721	2011-04-03 05:00:00.000	NULL
15405	653	43722	2011-04-03 05:00:00.000	NULL
15406	653	43723	2011-04-03 05:00:00.000	NULL
15407	653	43724	2011-04-03 05:00:00.000	NULL
15409	653	43726	2011-04-03 05:00:00.000	NULL
33044	-3002	43727	2011-04-03 05:00:00.000	NULL
15413	653	43729	2011-04-03 05:00:00.000	NULL
15415	651	43730	2011-04-03 05:00:00.000	NULL
15416	651	43731	2011-04-03 05:00:00.000	NULL
15420	651	43732	2011-04-03 05:00:00.000	NULL
15422	651	43733	2011-04-03 05:00:00.000	NULL
15425	651	43734	2011-04-03 05:00:00.000	NULL
15426	651	43735	2011-04-03 05:00:00.000	NULL
15430	651	43736	2011-04-03 05:00:00.000	NULL
15433	651	43737	2011-04-03 05:00:00.000	NULL
15434	653	43738	2011-04-03 05:00:00.000	NULL
15435	651	43739	2011-04-03 05:00:00.000	NULL
15436	651	43740	2011-04-03 05:00:00.000	NULL
15455	653	43747	2011-04-03 05:00:00.000	NULL
15456	653	43748	2011-04-03 05:00:00.000	NULL
15457	653	43749	2011-04-03 05:00:00.000	NULL
15458	653	43750	2011-04-03 05:00:00.000	NULL
15459	653	43751	2011-04-03 05:00:00.000	NULL
15460	653	43752	2011-04-03 05:00:00.000	NULL
15461	653	43753	2011-04-03 05:00:00.000	NULL
15462	653	43754	2011-04-03 05:00:00.000	NULL
15463	653	43755	2011-04-03 05:00:00.000	NULL
15464	653	43756	2011-04-03 05:00:00.000	NULL
15465	653	43757	2011-04-03 05:00:00.000	NULL
15466	653	43758	2011-04-03 05:00:00.000	NULL
15467	653	43759	2011-04-03 05:00:00.000	NULL
15468	653	43760	2011-04-03 05:00:00.000	NULL
15469	653	43761	2011-04-03 05:00:00.000	NULL
15471	653	43763	2011-04-03 05:00:00.000	NULL
15472	653	43764	2011-04-03 05:00:00.000	NULL
15475	653	43767	2011-04-03 05:00:00.000	NULL
15476	653	43768	2011-04-03 05:00:00.000	NULL
15477	653	43769	2011-04-03 05:00:00.000	NULL
15478	653	43770	2011-04-03 05:00:00.000	NULL
15479	653	43771	2011-04-03 05:00:00.000	NULL
15480	651	43772	2011-04-03 05:00:00.000	NULL
15481	651	43773	2011-04-03 05:00:00.000	NULL
15483	651	43775	2011-04-03 05:00:00.000	NULL
15484	651	43776	2011-04-03 05:00:00.000	NULL
15486	651	43777	2011-04-03 05:00:00.000	NULL
15492	651	43780	2011-04-03 05:00:00.000	NULL
15501	651	43786	2011-04-03 05:00:00.000	NULL
15511	653	43791	2011-04-03 05:00:00.000	NULL
15512	652	43792	2011-04-03 05:00:00.000	NULL
15513	652	43793	2011-04-03 05:00:00.000	NULL
15514	652	43794	2011-04-03 05:00:00.000	NULL
15515	652	43795	2011-04-03 05:00:00.000	NULL
15516	653	43796	2011-04-03 05:00:00.000	NULL
15517	652	43797	2011-04-03 05:00:00.000	NULL
15521	652	43798	2011-04-03 05:00:00.000	NULL
15522	652	43799	2011-04-03 05:00:00.000	NULL
15523	652	43800	2011-04-03 05:00:00.000	NULL
15524	652	43801	2011-04-03 05:00:00.000	NULL
15525	652	43802	2011-04-03 05:00:00.000	NULL
15526	652	43803	2011-04-03 05:00:00.000	NULL
15527	652	43804	2011-04-03 05:00:00.000	NULL
15529	652	43805	2011-04-03 05:00:00.000	NULL
15530	652	43806	2011-04-03 05:00:00.000	NULL
15532	652	43807	2011-04-03 05:00:00.000	NULL
15533	652	43808	2011-04-03 05:00:00.000	NULL
15534	652	43809	2011-04-03 05:00:00.000	NULL
15535	652	43810	2011-04-03 05:00:00.000	NULL
15281	653	43628	2011-04-03 05:00:00.000	NULL
15282	653	43629	2011-04-03 05:00:00.000	NULL
15283	651	43630	2011-04-03 05:00:00.000	NULL
15285	651	43631	2011-04-03 05:00:00.000	NULL
15286	651	43632	2011-04-03 05:00:00.000	NULL
15287	651	43633	2011-04-03 05:00:00.000	NULL
15288	651	43634	2011-04-03 05:00:00.000	NULL
15289	651	43635	2011-04-03 05:00:00.000	NULL
15290	653	43636	2011-04-03 05:00:00.000	NULL
15291	653	43637	2011-04-03 05:00:00.000	NULL
15292	653	43638	2011-04-03 05:00:00.000	NULL
15293	653	43639	2011-04-03 05:00:00.000	NULL
15296	651	43641	2011-04-03 05:00:00.000	NULL
15297	653	43642	2011-04-03 05:00:00.000	NULL
15298	651	43643	2011-04-03 05:00:00.000	NULL
34408	-3002	43644	2011-04-03 05:00:00.000	NULL
15300	653	43645	2011-04-03 05:00:00.000	NULL
15301	653	43646	2011-04-03 05:00:00.000	NULL
15302	653	43647	2011-04-03 05:00:00.000	NULL
15303	653	43648	2011-04-03 05:00:00.000	NULL
15304	653	43649	2011-04-03 05:00:00.000	NULL
15305	651	43650	2011-04-03 05:00:00.000	NULL
15306	651	43651	2011-04-03 05:00:00.000	NULL
15307	651	43652	2011-04-03 05:00:00.000	NULL
18425	653	43653	2011-04-03 05:00:00.000	NULL
15310	651	43654	2011-04-03 05:00:00.000	NULL
15311	651	43655	2011-04-03 05:00:00.000	NULL
15312	653	43656	2011-04-03 05:00:00.000	NULL
31476	-3002	43657	2011-04-03 05:00:00.000	NULL
15314	653	43658	2011-04-03 05:00:00.000	NULL
15315	651	43659	2011-04-03 05:00:00.000	NULL
15316	651	43660	2011-04-03 05:00:00.000	NULL
15317	651	43661	2011-04-03 05:00:00.000	NULL
15320	651	43662	2011-04-03 05:00:00.000	NULL
15322	651	43663	2011-04-03 05:00:00.000	NULL
15325	651	43664	2011-04-03 05:00:00.000	NULL
15326	651	43665	2011-04-03 05:00:00.000	NULL
15327	651	43666	2011-04-03 05:00:00.000	NULL
15329	651	43667	2011-04-03 05:00:00.000	NULL
15330	651	43668	2011-04-03 05:00:00.000	NULL
15331	653	43669	2011-04-03 05:00:00.000	NULL
15332	653	43670	2011-04-03 05:00:00.000	NULL
15333	653	43671	2011-04-03 05:00:00.000	NULL
15334	653	43672	2011-04-03 05:00:00.000	NULL
15335	653	43673	2011-04-03 05:00:00.000	NULL
15337	651	43674	2011-04-03 05:00:00.000	NULL
19109	653	43675	2011-04-03 05:00:00.000	NULL
15340	653	43677	2011-04-03 05:00:00.000	NULL
15341	653	43678	2011-04-03 05:00:00.000	NULL
15342	651	43679	2011-04-03 05:00:00.000	NULL
15343	653	43680	2011-04-03 05:00:00.000	NULL
15344	653	43681	2011-04-03 05:00:00.000	NULL
15345	653	43682	2011-04-03 05:00:00.000	NULL
15357	653	43689	2011-04-03 05:00:00.000	NULL
34423	652	43690	2011-04-03 05:00:00.000	NULL
15359	653	43691	2011-04-03 05:00:00.000	NULL
15360	653	43692	2011-04-03 05:00:00.000	NULL
15361	653	43693	2011-04-03 05:00:00.000	NULL
15362	653	43694	2011-04-03 05:00:00.000	NULL
15367	653	43697	2011-04-03 05:00:00.000	NULL
15368	651	43698	2011-04-03 05:00:00.000	NULL
15369	651	43699	2011-04-03 05:00:00.000	NULL
15370	653	43700	2011-04-03 05:00:00.000	NULL
15371	653	43701	2011-04-03 05:00:00.000	NULL
15372	653	43702	2011-04-03 05:00:00.000	NULL
