ID	SPID	WORKRESOURCEID	ACTIVITYID	SHIFTID	SHIFTPATTERNID	SHIFTOTEXTBEFOREID	SHIFTOTEXTAFTERID	OTEXTBEFOREACTIVITYID	OTEXTAFTERACTIVITYID	STARTTIME	DURATION	PRECEDENCE	ISLOCKED	DESCRIPTION	MODIFIEDBY	CHANGECOUNTER	EXTENSIONBEFORE	EXTENSIONAFTER	ENDTIME
3788475	3298	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-09-30 13:00:00.000	630	1	1		tammylewis	1	0	0	2013-09-30 23:30:00.000
3788476	3298	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-10-01 13:00:00.000	630	1	1		tammylewis	1	0	0	2013-10-01 23:30:00.000
3788477	3298	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-10-02 13:00:00.000	630	1	1		tammylewis	3	0	0	2013-10-02 23:30:00.000
3799632	3300	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-10-07 13:00:00.000	630	1	1		tammylewis	1	0	0	2013-10-07 23:30:00.000
3799633	3300	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-10-08 13:00:00.000	630	1	1		tammylewis	1	0	0	2013-10-08 23:30:00.000
3799634	3300	1471	-4101	256	270	NULL	NULL	NULL	NULL	2013-10-09 13:00:00.000	630	1	1		tammylewis	1	0	0	2013-10-09 23:30:00.000
3788692	3298	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-09-30 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-09-30 21:15:00.000
3788693	3298	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-01 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-01 21:15:00.000
3788694	3298	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-02 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-02 21:15:00.000
3788695	3298	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-03 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-03 21:15:00.000
3788696	3298	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-04 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-04 21:15:00.000
3799851	3300	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-07 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-07 21:15:00.000
3799852	3300	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-08 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-08 21:15:00.000
3799853	3300	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-09 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-09 21:15:00.000
3799854	3300	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-10 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-10 21:15:00.000
3799855	3300	2547	-4101	707	944	NULL	NULL	NULL	NULL	2013-10-11 12:45:00.000	510	1	1		tammylewis	1	0	0	2013-10-11 21:15:00.000
3759991	3294	3487	-4101	707	946	NULL	9	-4101	101	2013-09-30 13:00:00.000	540	1	1		loverawragg	2	0	30	2013-09-30 22:00:00.000
3759992	3294	3487	651	708	946	NULL	NULL	51	51	2013-10-01 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-01 21:30:00.000
3759993	3294	3487	651	708	946	NULL	NULL	51	51	2013-10-02 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-02 21:30:00.000
3759994	3294	3487	51	708	946	NULL	NULL	NULL	NULL	2013-10-03 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-03 21:30:00.000
3759995	3294	3487	51	708	946	NULL	NULL	NULL	NULL	2013-10-04 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-04 21:30:00.000
3793328	3301	3487	-4101	707	946	NULL	NULL	NULL	NULL	2013-10-07 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-07 21:30:00.000
3793329	3301	3487	651	708	946	NULL	NULL	51	51	2013-10-08 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-08 21:30:00.000
3793330	3301	3487	651	708	946	NULL	NULL	51	51	2013-10-09 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-09 21:30:00.000
3793331	3301	3487	51	708	946	NULL	NULL	NULL	NULL	2013-10-10 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-10 21:30:00.000
3793332	3301	3487	51	708	946	NULL	NULL	NULL	NULL	2013-10-11 13:00:00.000	510	1	1	NULL	marygaskin	1	0	0	2013-10-11 21:30:00.000
3788508	3298	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-09-30 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-09-30 22:00:00.000
3788509	3298	18104	-4101	717	NULL	NULL	2	-4101	101	2013-10-01 13:30:00.000	525	1	1		loverawragg	2	0	15	2013-10-01 22:15:00.000
3788510	3298	18104	-4101	717	NULL	NULL	2	-4101	101	2013-10-02 13:30:00.000	525	1	1		loverawragg	2	0	15	2013-10-02 22:15:00.000
3788511	3298	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-10-03 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-03 22:00:00.000
3788512	3298	18104	-4101	717	960	NULL	NULL	NULL	NULL	2013-10-04 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-04 22:00:00.000
3799665	3300	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-10-07 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-07 22:00:00.000
3799666	3300	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-10-08 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-08 22:00:00.000
3799667	3300	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-10-09 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-09 22:00:00.000
3799668	3300	18104	-4101	717	NULL	NULL	NULL	NULL	NULL	2013-10-10 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-10 22:00:00.000
3799669	3300	18104	-4101	717	960	NULL	NULL	NULL	NULL	2013-10-11 13:30:00.000	510	1	1		tammylewis	1	0	0	2013-10-11 22:00:00.000
3766932	3297	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-09-30 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-01 00:45:00.000
3766931	3297	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-01 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-02 00:45:00.000
3766930	3297	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-02 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-03 00:45:00.000
3766924	3297	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-03 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-04 00:45:00.000
3766923	3297	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-04 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-05 00:45:00.000
3795011	3303	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-07 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-08 00:45:00.000
3795010	3303	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-08 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-09 00:45:00.000
3795009	3303	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-09 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-10 00:45:00.000
3795008	3303	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-10 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-11 00:45:00.000
3795062	3303	18719	-4101	141	219	NULL	NULL	NULL	NULL	2013-10-11 16:00:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-12 00:45:00.000
3766907	3297	18730	-4101	134	212	NULL	11	-4101	101	2013-09-30 14:15:00.000	585	1	1		oscarvanegas	2	0	60	2013-10-01 00:00:00.000
3766906	3297	18730	-4101	134	212	NULL	NULL	NULL	NULL	2013-10-01 14:15:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-01 23:00:00.000
3766717	3297	77	-4101	144	269	NULL	NULL	NULL	NULL	2013-09-30 16:30:00.000	525	1	1		veronicavidaurri	3	0	0	2013-10-01 01:15:00.000
3766663	3297	77	-4101	144	269	NULL	NULL	NULL	NULL	2013-10-01 16:30:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-02 01:15:00.000
3766664	3297	77	-4101	144	269	NULL	NULL	NULL	NULL	2013-10-02 16:30:00.000	525	1	1		oscarvanegas	2	0	0	2013-10-03 01:15:00.000
3766665	3297	77	-4101	144	269	NULL	NULL	NULL	NULL	2013-10-03 16:30:00.000	525	1	1		veronicavidaurri	1	0	0	2013-10-04 01:15:00.000
