ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
890777	35774	-4113	NULL	29107	1	2	0	2013-10-01 21:45:00.000	2013-10-01 22:00:00.000	0	2013-10-04 19:30:21.000	2	1:0	15	2013-10-01 21:45:00.000
1112195	98100	253	NULL	58830	1	2	480	2013-10-04 13:30:00.000	2013-10-04 22:00:00.000	0	2013-08-28 18:28:56.000	7	3:8	480	2013-10-04 13:30:00.000
1131091	57178	-4113	NULL	60479	1	2	360	2013-10-01 17:00:00.000	2013-10-01 23:00:00.000	0	2013-08-30 15:34:26.000	7	3:6.0	360	2013-10-01 17:00:00.000
1131872	57681	-4113	NULL	60549	1	2	480	2013-10-01 15:00:00.000	2013-10-01 23:30:00.000	0	2013-09-25 22:15:34.000	2	2:8	480	2013-10-01 15:00:00.000
1135458	97059	253	NULL	60861	1	2	0	2013-10-04 20:30:00.000	2013-10-04 23:00:00.000	0	2013-10-07 17:35:45.000	2	1:0	150	2013-10-04 20:30:00.000
1139230	57681	-4113	NULL	61299	1	2	480	2013-10-01 15:00:00.000	2013-10-01 23:30:00.000	0	2013-09-25 22:15:34.000	2	2:8	480	2013-10-01 15:00:00.000
1140163	25262	-4113	NULL	61373	1	2	480	2013-10-01 13:30:00.000	2013-10-01 22:00:00.000	0	2013-08-06 20:49:51.000	7	3:8	480	2013-10-01 13:30:00.000
1141418	46663	253	NULL	61443	1	2	30	2013-09-30 16:30:00.000	2013-09-30 17:00:00.000	0	2013-10-04 19:30:34.000	1	1:0.5	30	2013-09-30 16:30:00.000
1141687	93785	-4113	NULL	61499	1	2	480	2013-09-30 05:00:00.000	2013-10-01 05:00:00.000	0	2013-10-04 19:30:57.000	2	1:8	480	2013-09-30 05:00:00.000
1141690	57987	-4113	NULL	61500	1	2	480	2013-09-30 14:15:00.000	2013-09-30 23:00:00.000	0	2013-10-04 19:30:48.000	1	1:8	480	2013-09-30 14:15:00.000
1141833	57681	-4113	NULL	61558	1	2	480	2013-10-01 15:00:00.000	2013-10-01 23:30:00.000	0	2013-09-25 22:15:34.000	2	2:8	480	2013-10-01 15:00:00.000
1143033	97441	253	NULL	61664	1	2	0	2013-10-11 13:00:00.000	2013-10-11 21:30:00.000	0	2013-10-10 16:14:23.000	2	1:0	480	2013-10-11 13:00:00.000
