ID	TIMEZONE	STARTTIME	ENDTIME	BIAS
71358	ACT	1969-08-08 14:30:00.000	2049-08-08 14:30:00.000	570
71989	AET	1969-08-08 14:00:00.000	1971-10-30 16:00:00.000	600
71990	AET	1971-10-30 16:00:00.000	1972-02-26 16:00:00.000	660
71991	AET	1972-02-26 16:00:00.000	1972-10-28 16:00:00.000	600
71992	AET	1972-10-28 16:00:00.000	1973-03-03 16:00:00.000	660
71993	AET	1973-03-03 16:00:00.000	1973-10-27 16:00:00.000	600
71994	AET	1973-10-27 16:00:00.000	1974-03-02 16:00:00.000	660
71995	AET	1974-03-02 16:00:00.000	1974-10-26 16:00:00.000	600
71996	AET	1974-10-26 16:00:00.000	1975-03-01 16:00:00.000	660
71997	AET	1975-03-01 16:00:00.000	1975-10-25 16:00:00.000	600
71998	AET	1975-10-25 16:00:00.000	1976-03-06 16:00:00.000	660
71999	AET	1976-03-06 16:00:00.000	1976-10-30 16:00:00.000	600
72000	AET	1976-10-30 16:00:00.000	1977-03-05 16:00:00.000	660
72001	AET	1977-03-05 16:00:00.000	1977-10-29 16:00:00.000	600
72002	AET	1977-10-29 16:00:00.000	1978-03-04 16:00:00.000	660
72003	AET	1978-03-04 16:00:00.000	1978-10-28 16:00:00.000	600
72004	AET	1978-10-28 16:00:00.000	1979-03-03 16:00:00.000	660
72005	AET	1979-03-03 16:00:00.000	1979-10-27 16:00:00.000	600
72006	AET	1979-10-27 16:00:00.000	1980-03-01 16:00:00.000	660
72007	AET	1980-03-01 16:00:00.000	1980-10-25 16:00:00.000	600
72008	AET	1980-10-25 16:00:00.000	1981-02-28 16:00:00.000	660
72009	AET	1981-02-28 16:00:00.000	1981-10-24 16:00:00.000	600
72010	AET	1981-10-24 16:00:00.000	1982-04-03 16:00:00.000	660
72011	AET	1982-04-03 16:00:00.000	1982-10-30 16:00:00.000	600
72012	AET	1982-10-30 16:00:00.000	1983-03-05 16:00:00.000	660
72013	AET	1983-03-05 16:00:00.000	1983-10-29 16:00:00.000	600
72014	AET	1983-10-29 16:00:00.000	1984-03-03 16:00:00.000	660
72015	AET	1984-03-03 16:00:00.000	1984-10-27 16:00:00.000	600
72016	AET	1984-10-27 16:00:00.000	1985-03-02 16:00:00.000	660
72017	AET	1985-03-02 16:00:00.000	1985-10-26 16:00:00.000	600
72018	AET	1985-10-26 16:00:00.000	1986-03-15 16:00:00.000	660
72019	AET	1986-03-15 16:00:00.000	1986-10-18 16:00:00.000	600
72020	AET	1986-10-18 16:00:00.000	1987-03-14 16:00:00.000	660
72021	AET	1987-03-14 16:00:00.000	1987-10-24 16:00:00.000	600
72022	AET	1987-10-24 16:00:00.000	1988-03-19 16:00:00.000	660
72023	AET	1988-03-19 16:00:00.000	1988-10-29 16:00:00.000	600
72024	AET	1988-10-29 16:00:00.000	1989-03-18 16:00:00.000	660
72025	AET	1989-03-18 16:00:00.000	1989-10-28 16:00:00.000	600
72026	AET	1989-10-28 16:00:00.000	1990-03-03 16:00:00.000	660
72027	AET	1990-03-03 16:00:00.000	1990-10-27 16:00:00.000	600
72028	AET	1990-10-27 16:00:00.000	1991-03-02 16:00:00.000	660
72029	AET	1991-03-02 16:00:00.000	1991-10-26 16:00:00.000	600
72030	AET	1991-10-26 16:00:00.000	1992-02-29 16:00:00.000	660
72031	AET	1992-02-29 16:00:00.000	1992-10-24 16:00:00.000	600
72032	AET	1992-10-24 16:00:00.000	1993-03-06 16:00:00.000	660
72033	AET	1993-03-06 16:00:00.000	1993-10-30 16:00:00.000	600
72034	AET	1993-10-30 16:00:00.000	1994-03-05 16:00:00.000	660
72035	AET	1994-03-05 16:00:00.000	1994-10-29 16:00:00.000	600
72036	AET	1994-10-29 16:00:00.000	1995-03-04 16:00:00.000	660
72037	AET	1995-03-04 16:00:00.000	1995-10-28 16:00:00.000	600
72038	AET	1995-10-28 16:00:00.000	1996-03-30 16:00:00.000	660
72039	AET	1996-03-30 16:00:00.000	1996-10-26 16:00:00.000	600
72040	AET	1996-10-26 16:00:00.000	1997-03-29 16:00:00.000	660
72041	AET	1997-03-29 16:00:00.000	1997-10-25 16:00:00.000	600
72042	AET	1997-10-25 16:00:00.000	1998-03-28 16:00:00.000	660
72043	AET	1998-03-28 16:00:00.000	1998-10-24 16:00:00.000	600
72044	AET	1998-10-24 16:00:00.000	1999-03-27 16:00:00.000	660
72045	AET	1999-03-27 16:00:00.000	1999-10-30 16:00:00.000	600
72046	AET	1999-10-30 16:00:00.000	2000-03-25 16:00:00.000	660
72047	AET	2000-03-25 16:00:00.000	2000-08-26 16:00:00.000	600
72048	AET	2000-08-26 16:00:00.000	2001-03-24 16:00:00.000	660
72049	AET	2001-03-24 16:00:00.000	2001-10-27 16:00:00.000	600
72050	AET	2001-10-27 16:00:00.000	2002-03-30 16:00:00.000	660
72051	AET	2002-03-30 16:00:00.000	2002-10-26 16:00:00.000	600
72052	AET	2002-10-26 16:00:00.000	2003-03-29 16:00:00.000	660
72053	AET	2003-03-29 16:00:00.000	2003-10-25 16:00:00.000	600
72054	AET	2003-10-25 16:00:00.000	2004-03-27 16:00:00.000	660
72055	AET	2004-03-27 16:00:00.000	2004-10-30 16:00:00.000	600
72056	AET	2004-10-30 16:00:00.000	2005-03-26 16:00:00.000	660
72057	AET	2005-03-26 16:00:00.000	2005-10-29 16:00:00.000	600
72058	AET	2005-10-29 16:00:00.000	2006-04-01 16:00:00.000	660
72059	AET	2006-04-01 16:00:00.000	2006-10-28 16:00:00.000	600
72060	AET	2006-10-28 16:00:00.000	2007-03-24 16:00:00.000	660
72061	AET	2007-03-24 16:00:00.000	2007-10-27 16:00:00.000	600
72062	AET	2007-10-27 16:00:00.000	2008-03-29 16:00:00.000	660
72063	AET	2008-03-29 16:00:00.000	2008-10-25 16:00:00.000	600
72064	AET	2008-10-25 16:00:00.000	2009-03-28 16:00:00.000	660
72065	AET	2009-03-28 16:00:00.000	2009-10-24 16:00:00.000	600
72066	AET	2009-10-24 16:00:00.000	2010-03-27 16:00:00.000	660
72067	AET	2010-03-27 16:00:00.000	2010-10-30 16:00:00.000	600
72068	AET	2010-10-30 16:00:00.000	2011-03-26 16:00:00.000	660
72069	AET	2011-03-26 16:00:00.000	2011-10-29 16:00:00.000	600
72070	AET	2011-10-29 16:00:00.000	2012-03-24 16:00:00.000	660
72071	AET	2012-03-24 16:00:00.000	2012-10-27 16:00:00.000	600
72072	AET	2012-10-27 16:00:00.000	2013-03-30 16:00:00.000	660
72073	AET	2013-03-30 16:00:00.000	2013-10-26 16:00:00.000	600
72074	AET	2013-10-26 16:00:00.000	2014-03-29 16:00:00.000	660
72075	AET	2014-03-29 16:00:00.000	2014-10-25 16:00:00.000	600
72076	AET	2014-10-25 16:00:00.000	2015-03-28 16:00:00.000	660
72077	AET	2015-03-28 16:00:00.000	2015-10-24 16:00:00.000	600
72078	AET	2015-10-24 16:00:00.000	2016-03-26 16:00:00.000	660
72079	AET	2016-03-26 16:00:00.000	2016-10-29 16:00:00.000	600
72080	AET	2016-10-29 16:00:00.000	2017-03-25 16:00:00.000	660
72081	AET	2017-03-25 16:00:00.000	2017-10-28 16:00:00.000	600
72082	AET	2017-10-28 16:00:00.000	2018-03-24 16:00:00.000	660
72083	AET	2018-03-24 16:00:00.000	2018-10-27 16:00:00.000	600
72084	AET	2018-10-27 16:00:00.000	2019-03-30 16:00:00.000	660
72085	AET	2019-03-30 16:00:00.000	2019-10-26 16:00:00.000	600
72086	AET	2019-10-26 16:00:00.000	2020-03-28 16:00:00.000	660
72087	AET	2020-03-28 16:00:00.000	2020-10-24 16:00:00.000	600
72088	AET	2020-10-24 16:00:00.000	2021-03-27 16:00:00.000	660
72089	AET	2021-03-27 16:00:00.000	2021-10-30 16:00:00.000	600
72090	AET	2021-10-30 16:00:00.000	2022-03-26 16:00:00.000	660
72091	AET	2022-03-26 16:00:00.000	2022-10-29 16:00:00.000	600
72092	AET	2022-10-29 16:00:00.000	2023-03-25 16:00:00.000	660
72093	AET	2023-03-25 16:00:00.000	2023-10-28 16:00:00.000	600
72094	AET	2023-10-28 16:00:00.000	2024-03-30 16:00:00.000	660
72095	AET	2024-03-30 16:00:00.000	2024-10-26 16:00:00.000	600
72096	AET	2024-10-26 16:00:00.000	2025-03-29 16:00:00.000	660
72097	AET	2025-03-29 16:00:00.000	2025-10-25 16:00:00.000	600
72098	AET	2025-10-25 16:00:00.000	2026-03-28 16:00:00.000	660
72099	AET	2026-03-28 16:00:00.000	2026-10-24 16:00:00.000	600
72100	AET	2026-10-24 16:00:00.000	2027-03-27 16:00:00.000	660
72101	AET	2027-03-27 16:00:00.000	2027-10-30 16:00:00.000	600
72102	AET	2027-10-30 16:00:00.000	2028-03-25 16:00:00.000	660
72103	AET	2028-03-25 16:00:00.000	2028-10-28 16:00:00.000	600
72104	AET	2028-10-28 16:00:00.000	2029-03-24 16:00:00.000	660
72105	AET	2029-03-24 16:00:00.000	2029-10-27 16:00:00.000	600
