ID	WORKRESTYPE
1	employee
6	employee
7	employee
9	employee
10	employee
11	employee
12	employee
13	employee
14	employee
16	employee
17	employee
19	employee
20	employee
22	employee
23	employee
25	employee
27	employee
30	employee
34	employee
40	employee
43	employee
44	employee
45	employee
46	employee
48	employee
49	employee
50	employee
51	employee
52	employee
53	employee
54	employee
56	employee
58	employee
59	employee
60	employee
61	employee
62	employee
63	employee
64	employee
66	employee
67	employee
68	employee
72	employee
77	employee
81	employee
82	employee
84	employee
85	employee
86	employee
87	employee
89	employee
90	employee
91	employee
92	employee
93	employee
96	employee
97	employee
100	employee
104	employee
105	employee
107	employee
108	employee
109	employee
110	employee
111	employee
112	employee
113	employee
114	employee
116	employee
117	employee
119	employee
121	employee
126	employee
127	employee
128	employee
130	employee
132	employee
134	employee
138	employee
141	employee
142	employee
144	employee
145	employee
146	employee
147	employee
148	employee
149	employee
150	employee
152	employee
153	employee
155	employee
624	employee
630	employee
631	employee
634	employee
635	employee
636	employee
638	employee
641	employee
647	employee
655	employee
656	employee
667	employee
669	employee
672	employee
673	employee
675	employee
681	employee
690	employee
693	employee
696	employee
697	employee
700	employee
706	employee
710	employee
712	employee
731	employee
733	employee
735	employee
737	employee
757	employee
767	employee
772	employee
778	employee
790	employee
799	employee
814	employee
819	employee
831	employee
840	employee
847	employee
856	employee
857	employee
859	employee
860	employee
868	employee
887	employee
890	employee
898	employee
908	employee
924	employee
929	employee
934	employee
936	employee
937	employee
938	employee
942	employee
948	employee
949	employee
984	employee
987	employee
996	employee
997	employee
1014	employee
1021	employee
1029	employee
1040	employee
1043	employee
1044	employee
1045	employee
1051	employee
1056	employee
1061	employee
1062	employee
1063	employee
1064	employee
1066	employee
1067	employee
1068	employee
1069	employee
1070	employee
1071	employee
1072	employee
1074	employee
1076	employee
1077	employee
1078	employee
1079	employee
1080	employee
1082	employee
1085	employee
1086	employee
1087	employee
1090	employee
1091	employee
1096	employee
1113	employee
1115	employee
1116	employee
1124	employee
1125	employee
1132	employee
1134	employee
1149	employee
1154	employee
1156	employee
1174	employee
1180	employee
1183	employee
1196	employee
1200	employee
1205	employee
1207	employee
1208	employee
1212	employee
1251	employee
1270	employee
1273	employee
1274	employee
1276	employee
1282	employee
1297	employee
1300	employee
1301	employee
1302	employee
1303	employee
1304	employee
1305	employee
1308	employee
1309	employee
1312	employee
1313	employee
1314	employee
1315	employee
1317	employee
1318	employee
1319	employee
1320	employee
1322	employee
1323	employee
1325	employee
1326	employee
1327	employee
1328	employee
1329	employee
1330	employee
1331	employee
1333	employee
1334	employee
1335	employee
1336	employee
1337	employee
1340	employee
1342	employee
1343	employee
1344	employee
1345	employee
1347	employee
1348	employee
1349	employee
1350	employee
1351	employee
1352	employee
1355	employee
1356	employee
1359	employee
1363	employee
1364	employee
1367	employee
1368	employee
1371	employee
1372	employee
1373	employee
1376	employee
1377	employee
1378	employee
1381	employee
1382	employee
1383	employee
1384	employee
1385	employee
1388	employee
1390	employee
1391	employee
1392	employee
1393	employee
1395	employee
1396	employee
1397	employee
1398	employee
1399	employee
1400	employee
1408	employee
1409	employee
1411	employee
1412	employee
1413	employee
1415	employee
1416	employee
1417	employee
1419	employee
1420	employee
1421	employee
1422	employee
1423	employee
1426	employee
1428	employee
1430	employee
1431	employee
1432	employee
1433	employee
1436	employee
1437	employee
1438	employee
1439	employee
1440	employee
1442	employee
1446	employee
1447	employee
1451	employee
1457	employee
1458	employee
1460	employee
1461	employee
1465	employee
1466	employee
1467	employee
1469	employee
1471	employee
1472	employee
1473	employee
1476	employee
1477	employee
1481	employee
1656	employee
2540	employee
2541	employee
2543	employee
2544	employee
2545	employee
2547	employee
2548	employee
2549	employee
2550	employee
2551	employee
3294	employee
3447	employee
3454	employee
3455	employee
3456	employee
3457	employee
3472	employee
3477	employee
3478	employee
3479	employee
3487	employee
4225	employee
4226	employee
4590	employee
4592	employee
4604	employee
4605	employee
4606	employee
4607	employee
4997	employee
5020	employee
5164	employee
5165	employee
5168	employee
5176	employee
7751	employee
7756	employee
7759	employee
7765	employee
7767	employee
7772	employee
7773	employee
7775	employee
7776	employee
8052	employee
8053	employee
8054	employee
8055	employee
8056	employee
8057	employee
8058	employee
8059	employee
8061	employee
8063	employee
8064	employee
8065	employee
8066	employee
8067	employee
8068	employee
8069	employee
8070	employee
8071	employee
8072	employee
8073	employee
8531	employee
9460	employee
9461	employee
9462	employee
9464	employee
9465	employee
9468	employee
9469	employee
9470	employee
9471	employee
12301	employee
12307	employee
12308	employee
12309	employee
12310	employee
12312	employee
12318	employee
12319	employee
12320	employee
12321	employee
12322	employee
12325	employee
12327	employee
12328	employee
12329	employee
12330	employee
12333	employee
12334	employee
12335	employee
12336	employee
12337	employee
12338	employee
12340	employee
12341	employee
12342	employee
12343	employee
12344	employee
12345	employee
12346	employee
12347	employee
12349	employee
12351	employee
12352	employee
12354	employee
12358	employee
12361	employee
12366	employee
12367	employee
12368	employee
12369	employee
12370	employee
12371	employee
12372	employee
12373	employee
12375	employee
12377	employee
12378	employee
12379	employee
12380	employee
12381	employee
12382	employee
12383	employee
12384	employee
12385	employee
12386	employee
12387	employee
12390	employee
12391	employee
12395	employee
12397	employee
12399	employee
12402	employee
12403	employee
12404	employee
12407	employee
12410	employee
12411	employee
12412	employee
12413	employee
12414	employee
12415	employee
12417	employee
12418	employee
12420	employee
12421	employee
