ID	WORKRESOURCEID	JOBTITLEID	STARTTIME	ENDTIME
2	1	3	2006-05-17 05:00:00.000	2007-05-01 05:01:00.000
4	6	2	2002-08-01 05:00:00.000	2007-05-04 05:00:00.000
5	7	2	2006-04-17 05:00:00.000	2006-09-30 04:59:00.000
17410	9	2	2005-02-01 06:00:00.000	2006-10-14 04:59:00.000
32354	10	351	2002-03-01 06:00:00.000	NULL
828	11	2	2005-02-01 06:00:00.000	2007-01-13 05:59:00.000
829	12	2	2001-10-16 05:00:00.000	2008-04-15 05:00:00.000
830	13	2	2003-10-16 05:00:00.000	2008-11-01 04:59:00.000
831	14	2	2006-03-21 06:00:00.000	2007-05-01 04:59:00.000
32349	16	351	2004-05-03 05:00:00.000	NULL
832	17	2	2006-05-17 05:00:00.000	2006-09-26 04:59:00.000
833	19	2	2004-08-02 05:00:00.000	2007-04-07 04:59:00.000
843	20	2	2006-03-21 06:00:00.000	2008-04-15 05:00:00.000
844	22	2	2001-09-16 05:00:00.000	2007-10-20 04:59:00.000
25084	23	4	2004-12-01 06:00:00.000	NULL
845	25	2	2006-05-17 05:00:00.000	2011-04-03 05:00:00.000
14731	25	2	2011-04-03 05:00:00.000	2011-07-26 04:59:59.000
846	27	1	2006-03-21 06:00:00.000	2007-06-02 04:59:00.000
848	30	2	2004-06-01 05:00:00.000	2007-11-01 05:00:00.000
816	34	2	2006-04-17 05:00:00.000	2008-02-11 06:00:00.000
874	40	2	2006-01-11 06:00:00.000	2006-12-05 05:59:00.000
817	43	2	2006-01-26 06:00:00.000	2006-12-21 05:59:00.000
875	44	2	2000-02-16 06:00:00.000	2007-01-11 05:59:00.000
876	45	2	2000-03-01 06:00:00.000	2011-04-03 05:00:00.000
27930	45	2	2011-04-03 05:00:00.000	NULL
877	48	2	2001-12-17 06:00:00.000	2011-04-03 05:00:00.000
27928	48	2	2011-04-03 05:00:00.000	2012-04-12 04:59:59.000
861	49	2	2000-04-05 05:00:00.000	2006-10-24 05:01:00.000
818	50	2	2005-10-03 05:00:00.000	NULL
14089	50	2	2011-04-03 05:00:00.000	NULL
5747	51	2	1999-09-03 05:00:00.000	2009-10-14 04:59:00.000
862	52	2	2005-03-16 06:00:00.000	2007-05-30 05:00:00.000
6909	53	2	1998-01-02 06:00:00.000	2010-03-28 04:59:00.000
880	54	2	2002-09-23 05:00:00.000	2009-05-27 04:59:00.000
881	56	2	2003-11-17 06:00:00.000	2007-11-30 06:00:00.000
887	58	2	2001-07-16 05:00:00.000	2011-04-03 05:00:00.000
14756	58	2	2011-04-03 05:00:00.000	NULL
888	59	2	2003-08-01 05:00:00.000	2007-12-15 05:59:00.000
35896	60	1	2000-04-18 05:00:00.000	2079-01-01 05:59:00.000
890	61	1	2005-03-14 06:00:00.000	NULL
891	62	2	2006-03-16 06:00:00.000	2008-05-01 04:59:00.000
892	63	2	2006-02-13 06:00:00.000	2007-07-02 05:00:00.000
893	64	2	2002-10-21 05:00:00.000	2007-02-17 05:59:00.000
895	66	2	2006-02-01 06:00:00.000	2011-04-03 05:00:00.000
14781	66	2	2011-04-03 05:00:00.000	NULL
896	67	2	2006-02-13 06:00:00.000	2006-12-29 06:00:00.000
36694	68	8	2000-04-03 05:00:00.000	NULL
36275	72	351	2013-07-16 05:00:00.000	2013-08-16 04:59:00.000
35585	77	2	2004-07-05 05:00:00.000	NULL
883	81	2	2006-05-17 05:00:00.000	2006-11-03 06:01:00.000
35647	82	8	2001-09-17 05:00:00.000	NULL
856	84	2	2006-02-13 06:00:00.000	2006-12-05 05:59:00.000
857	85	2	2006-01-11 06:00:00.000	2007-08-23 05:00:00.000
36981	86	351	2001-07-16 05:00:00.000	2013-09-07 04:59:00.000
885	89	2	2004-04-16 05:00:00.000	2008-04-08 05:00:00.000
858	90	2	2005-12-15 06:00:00.000	2006-11-15 05:59:00.000
36662	91	2	2013-07-16 05:00:00.000	2013-08-27 04:59:00.000
859	92	2	2005-10-03 05:00:00.000	2006-12-05 05:59:00.000
647	93	2	2006-04-17 05:00:00.000	2006-10-02 04:59:00.000
821	96	2	2004-05-03 05:00:00.000	2008-05-01 05:00:00.000
822	97	2	2006-01-26 06:00:00.000	2008-01-02 06:00:00.000
825	100	2	2006-02-13 06:00:00.000	2009-05-01 04:59:00.000
35648	104	8	2005-03-16 06:00:00.000	NULL
805	105	2	2006-05-17 05:00:00.000	2006-12-01 06:01:00.000
32345	107	351	2006-05-17 05:00:00.000	2079-06-06 04:59:00.000
807	108	2	2006-04-17 05:00:00.000	2007-07-25 05:00:00.000
808	109	2	1999-07-05 05:00:00.000	2007-10-23 05:00:00.000
27370	110	8	2003-11-17 06:00:00.000	NULL
35459	111	2	2006-01-26 06:00:00.000	NULL
811	112	2	2002-09-23 05:00:00.000	2006-12-30 05:59:00.000
35897	113	1	2006-03-16 06:00:00.000	2079-01-01 05:59:00.000
813	114	2	2001-09-17 05:00:00.000	2007-02-06 05:59:00.000
814	116	2	2004-08-16 05:00:00.000	2007-10-06 05:00:00.000
897	117	2	2006-02-13 06:00:00.000	2007-10-08 05:00:00.000
815	119	2	2006-05-17 05:00:00.000	2008-12-30 06:00:00.000
899	121	2	2003-11-03 06:00:00.000	2006-09-22 05:01:00.000
902	126	2	2004-02-02 06:00:00.000	2007-10-16 05:00:00.000
36693	127	2	2006-04-17 05:00:00.000	NULL
904	128	2	2004-04-05 05:00:00.000	2007-09-25 05:00:00.000
905	130	2	2004-04-05 05:00:00.000	2007-09-22 04:59:00.000
834	132	2	2006-04-17 05:00:00.000	2007-02-02 05:59:00.000
906	134	2	2006-05-17 05:00:00.000	2007-02-07 05:59:00.000
839	138	2	1999-02-01 06:00:00.000	2007-09-10 05:00:00.000
30503	141	2	2001-02-05 06:00:00.000	2012-10-23 04:59:59.000
907	142	2	2004-11-16 06:00:00.000	2007-04-14 04:59:00.000
17437	144	1	2006-05-17 05:00:00.000	2006-12-23 05:59:00.000
951	145	1	2006-05-17 05:00:00.000	2007-06-16 04:59:00.000
952	146	1	2006-05-17 05:00:00.000	2011-03-09 05:59:00.000
953	147	1	2006-05-17 05:00:00.000	NULL
954	148	3	2006-05-17 05:00:00.000	NULL
27700	149	1	2006-05-17 05:00:00.000	NULL
955	150	1	2006-05-17 05:00:00.000	NULL
1057	152	1	2006-05-17 05:00:00.000	2009-04-09 04:59:00.000
35636	153	2	2006-05-17 05:00:00.000	NULL
352	624	1	2005-10-31 06:00:00.000	NULL
14150	624	1	2011-04-03 05:00:00.000	NULL
63	630	2	2005-11-03 06:00:00.000	2010-09-09 04:59:00.000
117	631	2	2005-11-03 06:00:00.000	2007-11-02 05:01:00.000
372	634	2	2005-11-03 06:00:00.000	2007-08-25 05:01:00.000
382	635	2	2005-11-03 06:00:00.000	2008-11-03 06:01:00.000
551	638	2	2005-11-03 06:00:00.000	2011-04-03 05:00:00.000
14493	638	2	2011-04-03 05:00:00.000	2011-04-04 04:59:00.000
8803	641	2	2005-11-03 06:00:00.000	2010-10-02 04:59:00.000
391	647	2	2005-11-07 06:00:00.000	2008-03-11 05:01:00.000
67	655	2	2005-12-05 06:00:00.000	2011-04-03 05:00:00.000
17350	655	2	2011-04-03 05:00:00.000	2011-04-05 04:59:00.000
71	656	2	2005-12-05 06:00:00.000	2007-08-29 05:01:00.000
35225	669	1	2005-12-05 06:00:00.000	NULL
27941	672	2	2005-12-05 06:00:00.000	2012-04-13 04:59:00.000
405	673	2	2005-12-05 06:00:00.000	2008-05-20 05:00:00.000
409	675	2	2005-12-05 06:00:00.000	2007-09-12 05:01:00.000
2809	681	2	2005-12-05 06:00:00.000	2008-05-01 05:01:00.000
1275	690	2	2006-01-17 06:00:00.000	2007-03-12 05:01:00.000
145	693	2	2006-01-17 06:00:00.000	2007-08-08 05:00:00.000
195	696	2	2006-01-17 06:00:00.000	2008-02-08 06:01:00.000
32380	697	2	2006-01-17 06:00:00.000	NULL
23755	700	1	2006-01-17 06:00:00.000	2011-11-08 05:59:00.000
1253	706	2	2006-01-30 06:00:00.000	2008-12-15 06:01:00.000
17	710	2	2006-02-13 06:00:00.000	2011-04-03 05:00:00.000
17312	710	2	2011-04-03 05:00:00.000	2011-04-05 04:59:00.000
1851	731	2	2006-02-20 06:00:00.000	2007-07-02 05:01:00.000
385	733	2	2006-02-20 06:00:00.000	2007-03-03 06:00:00.000
403	735	101	2006-02-20 06:00:00.000	NULL
14294	735	101	2011-04-03 05:00:00.000	NULL
421	737	2	2006-02-20 06:00:00.000	2008-12-02 06:01:00.000
