ID	ORGANIZATIONID	WORKRESOURCEID	STARTTIME	ENDTIME
1	1	1	2006-05-17 05:00:00.000	2007-05-01 05:01:00.000
6	214	6	2002-08-01 05:00:00.000	2007-05-04 05:00:00.000
7	214	7	2006-04-17 05:00:00.000	2006-09-30 04:59:00.000
11	214	11	2005-02-01 06:00:00.000	2007-01-13 05:59:00.000
12	214	12	2001-10-16 05:00:00.000	2008-04-15 05:00:00.000
13	214	13	2003-10-16 05:00:00.000	2008-11-01 04:59:00.000
14	214	14	2006-03-21 06:00:00.000	2007-05-01 04:59:00.000
17	214	17	2006-05-17 05:00:00.000	2006-09-26 04:59:00.000
19	214	19	2004-08-02 05:00:00.000	2007-04-07 04:59:00.000
20	214	20	2006-03-21 06:00:00.000	2008-04-15 05:00:00.000
22	213	22	2001-09-16 05:00:00.000	2007-10-20 04:59:00.000
25	213	25	2006-05-17 05:00:00.000	2011-04-03 05:00:00.000
27	1	27	2006-03-21 06:00:00.000	2007-06-02 04:59:00.000
30	214	30	2004-06-01 05:00:00.000	2007-11-01 05:00:00.000
34	213	34	2006-04-17 05:00:00.000	2008-02-11 06:00:00.000
40	253	40	2006-01-11 06:00:00.000	2006-12-05 05:59:00.000
43	254	43	2006-01-26 06:00:00.000	2006-12-21 05:59:00.000
44	5	44	2000-02-16 06:00:00.000	2007-01-11 05:59:00.000
45	5	45	2000-03-01 06:00:00.000	2011-04-03 05:00:00.000
46	5	46	2006-05-17 05:00:00.000	2006-08-19 04:59:00.000
48	5	48	2001-12-17 06:00:00.000	2011-04-03 05:00:00.000
49	-3002	49	2000-04-05 05:00:00.000	2006-10-24 05:01:00.000
50	-3002	50	2005-10-03 05:00:00.000	NULL
52	5	52	2005-03-16 06:00:00.000	2007-05-30 05:00:00.000
54	253	54	2002-09-23 05:00:00.000	2009-05-27 04:59:00.000
56	253	56	2003-11-17 06:00:00.000	2007-11-30 06:00:00.000
58	254	58	2001-07-16 05:00:00.000	2011-04-03 05:00:00.000
59	214	59	2003-08-01 05:00:00.000	2007-12-15 05:59:00.000
61	1	61	2005-03-14 06:00:00.000	NULL
62	254	62	2006-03-16 06:00:00.000	2008-05-01 04:59:00.000
63	254	63	2006-02-13 06:00:00.000	2007-07-02 05:00:00.000
64	253	64	2002-10-21 05:00:00.000	2007-02-17 05:59:00.000
66	254	66	2006-02-01 06:00:00.000	2011-04-03 05:00:00.000
67	254	67	2006-02-13 06:00:00.000	2006-12-29 06:00:00.000
81	254	81	2006-05-17 05:00:00.000	2006-11-03 06:01:00.000
84	253	84	2006-02-13 06:00:00.000	2006-12-05 05:59:00.000
85	253	85	2006-01-11 06:00:00.000	2007-08-23 05:00:00.000
87	101	87	2002-05-01 05:00:00.000	2006-08-10 05:01:00.000
89	254	89	2004-04-16 05:00:00.000	2008-04-08 05:00:00.000
90	253	90	2005-12-15 06:00:00.000	2006-11-15 05:59:00.000
92	253	92	2005-10-03 05:00:00.000	2006-12-05 05:59:00.000
93	214	93	2006-04-17 05:00:00.000	2006-10-02 04:59:00.000
96	213	96	2004-05-03 05:00:00.000	2008-05-01 05:00:00.000
97	253	97	2006-01-26 06:00:00.000	2008-01-02 06:00:00.000
100	253	100	2006-02-13 06:00:00.000	2009-05-01 04:59:00.000
105	253	105	2006-05-17 05:00:00.000	2006-12-01 06:01:00.000
108	253	108	2006-04-17 05:00:00.000	2007-07-25 05:00:00.000
109	253	109	1999-07-05 05:00:00.000	2007-10-23 05:00:00.000
112	254	112	2002-09-23 05:00:00.000	2006-12-30 05:59:00.000
114	254	114	2001-09-17 05:00:00.000	2007-02-06 05:59:00.000
116	254	116	2004-08-16 05:00:00.000	2007-10-06 05:00:00.000
117	214	117	2006-02-13 06:00:00.000	2007-10-08 05:00:00.000
119	213	119	2006-05-17 05:00:00.000	2008-12-30 06:00:00.000
121	214	121	2003-11-03 06:00:00.000	2006-09-22 05:01:00.000
126	213	126	2004-02-02 06:00:00.000	2007-10-16 05:00:00.000
128	213	128	2004-04-05 05:00:00.000	2007-09-25 05:00:00.000
130	214	130	2004-04-05 05:00:00.000	2007-09-22 04:59:00.000
132	214	132	2006-04-17 05:00:00.000	2007-02-02 05:59:00.000
134	214	134	2006-05-17 05:00:00.000	2007-02-07 05:59:00.000
138	253	138	1999-02-01 06:00:00.000	2007-09-10 05:00:00.000
142	214	142	2004-11-16 06:00:00.000	2007-04-14 04:59:00.000
145	1	145	2006-05-17 05:00:00.000	2007-06-16 04:59:00.000
146	1	146	2006-05-17 05:00:00.000	2011-03-09 05:59:00.000
147	1	147	2006-05-17 05:00:00.000	NULL
148	1	148	2006-05-17 05:00:00.000	NULL
150	1	150	2006-05-17 05:00:00.000	NULL
