TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	COLUMN_DEFAULT	IS_NULLABLE	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CHARACTER_OCTET_LENGTH	NUMERIC_PRECISION	NUMERIC_PRECISION_RADIX	NUMERIC_SCALE	DATETIME_PRECISION	CHARACTER_SET_CATALOG	CHARACTER_SET_SCHEMA	CHARACTER_SET_NAME	COLLATION_CATALOG	COLLATION_SCHEMA	COLLATION_NAME	DOMAIN_CATALOG	DOMAIN_SCHEMA	DOMAIN_NAME
acn_awdb	dbo	Agent	SkillTargetID	1	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBINT
acn_awdb	dbo	Agent	PersonID	2	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBINT
acn_awdb	dbo	Agent	AgentDeskSettingsID	3	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBINT
acn_awdb	dbo	Agent	ScheduleID	4	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBINT
acn_awdb	dbo	Agent	PeripheralID	5	NULL	NO	smallint	NULL	NULL	5	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBSMALLINT
acn_awdb	dbo	Agent	EnterpriseName	6	NULL	NO	varchar	32	32	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	VNAME32
acn_awdb	dbo	Agent	PeripheralNumber	7	NULL	NO	varchar	32	32	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	NULL	NULL	NULL
acn_awdb	dbo	Agent	ConfigParam	8	NULL	YES	varchar	255	255	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	NULL	NULL	NULL
acn_awdb	dbo	Agent	Description	9	NULL	YES	varchar	255	255	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DESCRIPTION
acn_awdb	dbo	Agent	Deleted	10	NULL	NO	char	1	1	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DBCHAR
acn_awdb	dbo	Agent	PeripheralName	11	NULL	YES	varchar	32	32	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	VNAME32
acn_awdb	dbo	Agent	TemporaryAgent	12	NULL	NO	char	1	1	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DBCHAR
acn_awdb	dbo	Agent	AgentStateTrace	13	NULL	NO	char	1	1	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DBCHAR
acn_awdb	dbo	Agent	SupervisorAgent	14	NULL	NO	char	1	1	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DBCHAR
acn_awdb	dbo	Agent	ChangeStamp	15	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	CHANGESTAMP
acn_awdb	dbo	Agent	UserDeletable	16	NULL	NO	char	1	1	NULL	NULL	NULL	NULL	NULL	NULL	iso_1	NULL	NULL	Latin1_General_BIN	acn_awdb	dbo	DBCHAR
acn_awdb	dbo	Agent	DefaultSkillGroup	17	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	acn_awdb	dbo	DBINT
acn_awdb	dbo	Agent_Interval	DateTime	1	NULL	NO	smalldatetime	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	SkillTargetID	2	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	TimeZone	3	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	MRDomainID	4	NULL	NO	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RecoveryKey	5	NULL	NO	float	NULL	NULL	53	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	LoggedOnTime	6	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	AvailTime	7	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	NotReadyTime	8	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	TalkOtherTime	9	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	AvailableInMRDTime	10	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RoutableInMRDTime	11	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsAbandQ	12	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterQueueCalls	13	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	DbDateTime	14	NULL	YES	datetime	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsOffered	15	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsAband	16	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsDequeued	17	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsRedirected	18	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsAnswered	19	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterCallsHandled	20	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
acn_awdb	dbo	Agent_Interval	RouterError	21	NULL	YES	int	NULL	NULL	10	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
