CallTypeID	CustomerDefinitionID	EnterpriseName	Description	ServiceLevelThreshold	ServiceLevelType	Deleted	BucketIntervalID	ChangeStamp
5000	NULL	zzba_Dialer	Blended Agent Dialer Call Type	NULL	0	N	NULL	5
5002	NULL	911_emergency	emergency_call_type	NULL	0	N	NULL	4
5003	NULL	zzTest_Sup_Assist_Team_1	Sup Assist Call	NULL	0	N	NULL	4
5004	NULL	zzTest_Sup_Assist_Team_2	NULL	NULL	0	N	NULL	9
5005	NULL	zzTest_Sup_Assist_Team_3	NULL	NULL	0	N	NULL	2
5007	NULL	CHIP_INBOUND	Routing Call Type that associates with all the dialed numbers for CHIP Inbound calls	NULL	0	N	NULL	8
5008	NULL	zzTest_agent_Trans	NULL	NULL	0	N	NULL	4
5009	NULL	TXH_INBOUND	NULL	NULL	0	N	NULL	7
5010	NULL	TDD_PSTN	Incoming TDD calls from the Public Switched Telephone Network not coming through 211	NULL	0	N	NULL	7
5011	NULL	THS_INBOUND	THS Inbounds Calls	NULL	0	N	NULL	8
5012	NULL	EBS_INBOUND	NULL	NULL	0	N	NULL	3
5014	NULL	THS_SUPV	NULL	NULL	0	N	NULL	3
5015	NULL	EBS_SUPV	NULL	NULL	0	N	NULL	3
5017	NULL	THS_TRANSFER	Transfers to the THS Queue	NULL	0	N	NULL	7
5020	NULL	EBS_OUTBOUND	Outbound EBS calls	NULL	0	N	NULL	4
5021	NULL	THS_OUTBOUND	Outbound THS calls	NULL	0	N	NULL	4
5022	NULL	EBS_TRANSFER	Transfers to the EB Queue	NULL	0	N	NULL	4
5023	NULL	ALL_Emergency_Routing	NULL	NULL	0	N	NULL	3
5024	NULL	zzTest_transfer	NULL	NULL	0	N	NULL	14
5025	NULL	THS_EN	NULL	NULL	0	N	NULL	3
5026	NULL	THS_SP	NULL	NULL	0	N	NULL	3
5027	NULL	THS_OUTREACH	THS Outreach Calls	NULL	0	N	NULL	4
5028	NULL	THS_EMPIRIX	NULL	NULL	0	N	NULL	3
5029	NULL	zzWitness_Test	NULL	NULL	0	N	NULL	7
5030	NULL	zzSandbox_Test	NULL	NULL	0	N	NULL	3
5031	NULL	CHIP_INBOUND_PROVIDER	Calls inbound for the CHIP Provider program	NULL	0	N	NULL	5
5032	NULL	CHIP_TRANSFER	Transfers to the CHIP Queue	NULL	0	N	NULL	4
