SkillTargetID	ScheduleID	PeripheralID	EnterpriseName	PeripheralNumber	PeripheralName	AvailableHoldoffDelay	Priority	BaseSkillTargetID	Extension	SubGroupMaskType	SubSkillGroupMask	ConfigParam	Description	Deleted	MRDomainID	IPTA	DefaultEntry	UserDeletable	ServiceLevelThreshold	ServiceLevelType	BucketIntervalID	ChangeStamp
5000	NULL	5000	CCM_PG1.Cisco_Voice.defaul.73715	15043	000788957144	-1	0	5000	NULL	0	NULL	NULL	NULL	N	1	Y	1	Y	-1	0	NULL	0
5001	NULL	5001	CCM_PG2.Cisco_Voice.defaul.54351	22498	000364799706	-1	0	5001	NULL	0	NULL	NULL	NULL	N	1	Y	1	Y	-1	0	NULL	0
5002	NULL	5002	CCM_PG3.Cisco_Voice.defaul.06404	6144	000339723248	-1	0	5002	NULL	0	NULL	NULL	NULL	N	1	Y	1	Y	-1	0	NULL	0
5003	NULL	5003	CCM_PG4.Cisco_Voice.defaul.32491	19020	000981246610	-1	0	5003	NULL	0	NULL	NULL	NULL	N	1	Y	1	Y	-1	0	NULL	0
5004	NULL	5004	CCM_PG5.Cisco_Voice.defaul.65742	31903	000945018956	-1	0	5004	NULL	0	NULL	NULL	NULL	N	1	Y	1	Y	-1	0	NULL	0
5006	NULL	5000	CCM_PG1.Test_Skill_99991	99991	Test_Skill_99991	-1	0	5006	99991	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	4
5010	NULL	5004	CCM_PG5.Test_Skill_9999	9999	Test_Skill_9999	-1	0	5010	5002	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5013	NULL	5000	CCM_PG1.Test_Skill_99992	99992	Test_Skill_99992	-1	0	5013	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5014	NULL	5000	CCM_PG1.Test_Skill_99993	99993	Test_Skill_99993	-1	0	5014	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5015	NULL	5000	CCM_PG1.Test_Skill_99994	99994	Test_Skill_99994	-1	0	5015	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5016	NULL	5000	CCM_PG1.Test_Skill_99995	99995	Test_Skill_99995	-1	0	5016	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5017	NULL	5000	CCM_PG1.Test_Skill_99996	99996	Test_Skill_99996	-1	0	5017	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
5182	NULL	5000	CCM_PG1.230_EB_ENG_NSTAR	230	230_EB_ENG_NSTAR	-1	0	5182	230	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
5183	NULL	5000	CCM_PG1.200_EB_EN	200	200_EB_EN	-1	0	5183	200	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
5184	NULL	5000	CCM_PG1.210_EB_ENG_STARPLUS	210	210_EB_ENG_STARPLUS	-1	0	5184	210	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
5185	NULL	5000	CCM_PG1.220_EB_ENG_TP40	220	220_EB_ENG_TP40	-1	0	5185	220	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5186	NULL	5000	CCM_PG1.245_EB_OUTREACH	245	245_EB_OUTREACH	-1	0	5186	245	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
5187	NULL	5000	CCM_PG1.254_EB_PD_OUTREACH	254	254_EB_PD_OUTREACH	-1	0	5187	254	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5188	NULL	5000	CCM_PG1.252_EB_PD_STARPLUS	252	252_EB_PD_STARPLUS	-1	0	5188	252	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5189	NULL	5000	CCM_PG1.250_EB_PD_STAR	250	250_EB_PD_STAR	-1	0	5189	250	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
5190	NULL	5000	CCM_PG1.240_EB_PROVIDER	240	240_EB_PROVIDER	-1	0	5190	240	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
5192	NULL	5000	CCM_PG1.231_EB_SPN_NSTAR	231	231_EB_SPN_NSTAR	-1	0	5192	231	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5193	NULL	5000	CCM_PG1.201_EB_SP	201	201_EB_SP	-1	0	5193	201	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5194	NULL	5000	CCM_PG1.211_EB_SPN_STARPLUS	211	211_EB_SPN_STARPLUS	-1	0	5194	211	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
5195	NULL	5000	CCM_PG1.221_EB_SPN_TP40	221	221_EB_SPN_TP40	-1	0	5195	221	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5196	NULL	5000	CCM_PG1.100_THS_EN	100	100_THS_EN	-1	0	5196	100	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	4
5197	NULL	5000	CCM_PG1.110_THS_EN_APPT	110	110_THS_EN_APPT	-1	0	5197	110	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
5198	NULL	5000	CCM_PG1.120_THS_EN_CMI_SRU	120	120_THS_EN_CMI_SRU	-1	0	5198	120	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
5199	NULL	5000	CCM_PG1.115_THS_OUTREACH	115	115_THS_OUTREACH	-1	0	5199	115	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
5200	NULL	5000	CCM_PG1.136_THS_PD_CMI	136	136_THS_PD_CMI	-1	0	5200	136	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
