SkillGroupSkillTargetID	AgentSkillTargetID
16849	5005
8406	5008
16849	5012
16849	5018
16849	5019
16849	5020
16850	5020
16849	5021
16850	5021
16849	5022
16850	5022
16849	5023
16849	5024
16850	5024
5592	5025
5592	5026
5592	5027
5013	5028
5013	5029
5014	5030
5014	5031
5014	5032
5015	5032
5592	5034
5592	5035
5013	5037
5014	5037
5015	5037
5016	5037
5017	5037
8243	5038
5193	5039
5186	5040
5198	5041
5206	5041
5196	5042
5201	5042
5202	5042
5203	5042
5204	5042
5196	5043
5204	5043
15894	5043
15895	5043
5198	5044
5206	5044
5196	5045
15894	5045
5196	5049
5186	5050
5436	5050
5196	5051
5196	5052
5257	5053
5196	5056
5204	5056
5196	5057
5204	5057
15894	5057
15895	5057
5265	5058
5266	5058
5190	5059
10721	5059
12739	5059
12740	5059
5196	5060
5201	5060
5202	5060
5203	5060
5204	5060
5183	5061
5193	5061
5196	5064
13719	5065
5182	5066
5183	5066
5184	5066
5185	5066
5188	5066
5257	5067
5196	5068
5436	5068
5196	5069
5201	5069
5202	5069
5203	5069
5204	5069
12739	5070
12740	5070
5196	5072
5198	5073
5206	5073
5196	5074
5201	5074
5203	5074
5204	5074
12739	5075
12740	5075
8282	5076
8283	5076
5257	5077
5183	5079
5193	5079
5257	5080
5182	5081
5183	5081
5184	5081
5185	5081
5188	5081
5196	5082
5436	5083
5182	5085
5183	5085
5184	5085
5185	5085
5189	5085
5192	5085
5193	5085
5194	5085
5195	5085
5257	5086
5196	5087
5204	5087
5183	5089
5196	5091
5183	5092
5193	5092
5196	5092
5204	5092
15894	5092
15895	5092
5186	5094
5436	5094
8282	5095
8283	5096
5183	5097
5186	5097
5183	5099
5196	5099
5207	5099
5257	5099
5183	5100
15894	5100
5207	5101
8282	5103
8283	5103
5198	5104
5183	5105
5193	5105
5196	5106
5196	5108
5204	5108
5196	5109
5204	5109
5198	5110
5206	5110
5190	5112
5257	5114
5198	5115
5196	5117
5204	5117
5315	5118
5436	5119
5190	5120
10720	5120
10721	5120
11022	5121
5196	5122
5204	5122
5190	5123
10720	5123
10721	5123
5190	5125
5436	5125
5182	5126
5183	5126
5184	5126
5185	5126
5186	5126
5192	5126
5193	5126
5194	5126
5195	5126
13719	5127
13720	5127
5196	5128
5190	5129
10720	5129
5196	5131
15894	5131
12739	5132
12740	5132
5196	5133
5183	5135
5193	5135
5198	5136
5196	5137
5204	5137
15894	5137
15895	5137
5257	5140
5207	5141
5257	5141
5196	5142
5204	5142
5183	5143
5193	5143
15894	5144
15895	5144
5198	5145
5206	5145
5265	5146
5266	5146
5182	5147
5183	5147
5184	5147
5185	5147
5192	5147
5193	5147
5194	5147
5195	5147
5196	5148
5204	5148
15894	5148
15895	5148
5186	5149
5436	5149
5196	5150
5201	5150
5202	5150
5204	5150
5196	5152
5207	5152
5198	5156
5196	5157
5204	5157
15894	5157
15895	5157
10720	5158
5182	5161
5183	5161
5184	5161
5185	5161
5196	5162
5204	5162
5196	5163
5201	5166
17023	5166
17024	5166
17055	5166
17056	5166
5257	5167
5196	5168
5198	5169
5200	5169
5196	5171
5201	5171
5203	5171
5204	5171
5196	5172
5197	5172
5201	5172
5202	5172
5204	5172
5205	5172
5198	5173
5206	5173
5196	5174
5201	5174
5202	5174
5203	5174
5204	5174
5442	5175
8282	5175
8283	5175
5186	5176
5198	5177
5183	5178
5207	5179
5196	5180
5201	5180
5202	5180
5204	5180
5250	5255
5265	5260
5266	5260
5267	5260
5265	5261
5266	5261
5265	5262
5266	5262
5267	5262
5265	5263
5266	5263
5268	5263
5265	5264
5266	5264
5267	5264
5196	5273
5182	5278
5183	5278
5184	5278
5185	5278
5189	5278
5183	5279
5185	5279
5182	5280
5183	5280
5184	5280
5185	5280
5189	5280
5192	5280
5193	5280
5194	5280
5195	5280
5182	5281
5183	5281
5184	5281
5185	5281
5189	5281
5182	5282
5183	5282
5192	5282
