projectid,weekday_start,weekday_end,start_time,end_time
101,1,1,00:00,00:00
101,2,6,08:00,19:00
101,7,7,08:00,12:00
201,1,1,00:00,00:00
201,2,6,07:30,19:30
201,7,7,07:30,12:00
221,1,1,00:00,00:00
221,2,6,08:00,17:00
221,7,7,00:00,00:00
301,1,1,00:00,00:00
301,2,6,08:30,18:00
301,7,7,00:00,00:00
321,1,1,00:00,00:00
321,2,6,08:00,19:00
321,7,7,00:00,00:00
361,1,1,00:00,00:00
361,2,6,08:00,18:00
361,7,7,00:00,00:00
401,1,1,00:00,00:00
401,2,6,08:00,18:00
401,7,7,00:00,00:00
421,1,1,00:00,00:00
421,2,6,08:00,17:00
421,7,7,00:00,00:00
501,1,1,00:00,00:00
501,2,6,08:00,18:00
501,7,7,00:00,00:00
551,1,1,00:00,00:00
551,2,6,08:00,18:00
551,7,7,00:00,00:00
555,1,1,00:00,00:00
555,2,6,08:00,18:00
555,7,7,00:00,00:00
601,1,1,00:00,00:00
601,2,6,08:00,19:00
601,7,7,00:00,00:00
621,1,1,00:00,00:00
621,2,6,08:00,17:00
621,7,7,00:00,00:00
701,1,1,00:00,00:00
701,2,6,07:00,17:00
701,7,7,07:00,17:00
801,1,1,00:00,00:00
801,2,6,08:00,18:00
801,7,7,00:00,00:00
901,1,1,00:00,00:00
901,2,6,08:00,18:00
901,7,7,00:00,00:00
903,1,1,00:00,00:00
903,2,6,08:00,18:00
903,7,7,00:00,00:00
1001,1,1,00:00,00:00
1001,2,6,08:00,17:00
1001,7,7,00:00,00:00
1101,1,1,00:00,00:00
1101,2,6,07:00,19:00
1101,7,7,00:00,00:00
1111,1,1,09:00,14:00
1111,2,6,08:00,18:00
1111,7,7,09:00,14:00
1201,1,1,00:00,00:00
1201,2,6,08:00,17:00
1201,7,7,00:00,00:00
1301,1,1,00:00,00:00
1301,2,6,08:00,17:30
1301,7,7,00:00,00:00
2001,1,1,10:00,18:00
2001,2,6,08:00,20:00
2001,7,7,10:00,18:00
3333,1,1,08:00,17:00
3333,2,6,08:00,20:00
3333,7,7,08:00,17:00
4444,1,1,08:00,17:00
4444,2,6,08:00,20:00
4444,7,7,08:00,17:00
5555,1,1,00:00,00:00
5555,2,6,08:00,20:00
5555,7,7,09:00,13:00
6666,1,1,09:00,18:00
6666,2,6,08:00,20:00
6666,7,7,09:00,18:00
8888,1,1,00:00,00:00
8888,2,6,08:00,18:00
8888,7,7,00:00,00:00


