projectid,projectname,programid,programname,conversationid,sessionid,sessionstarttime,dnis,queuename,mediatype,sessionduration,abandonedIntervalA,abandonedIntervalB,abandonedIntervalC,abandonedIntervalD,abandonedIntervalE,abandonedIntervalF,abandonedIntervalG
9999,SANDBOX," "," ",0005c2b9-c015-4e22-995e-0f9a965156ab,49a38b9c-8a2e-4fc2-b97d-ddde5bdea548,"2020-12-08 16:57:26.451",tel:+17036468689,MAXe_TEST_QUEUE_001,voice,271132,0,0,0,0,0,0,1
9999,SANDBOX," "," ",00554028-687a-4149-8cab-8b796f0c4849,d9e823b6-d1a8-4831-86a7-ad0d591d1162,"2020-10-19 16:44:58.982",NULL,vTest_WebChat,chat,636556,0,0,0,0,0,0,1
9999,SANDBOX," "," ",0073277e-1b4c-4883-aca5-298e99f2bc2d,bbccd30d-4c71-4b02-b45b-022bbec26d2d,"2021-02-05 17:06:08.269",sip:TW_DIST_TEST2-debug@localhost,TW_TEST_Queue_02,voice,11001,0,1,0,0,0,0,0
9999,SANDBOX," "," ",00ab32b8-05c8-4995-a135-e34309ae87d1,b72f0c6f-e983-45a8-ad36-699cbb4718e8,"2020-12-10 20:54:55.192",tel:+17036468689,MAXe_TEST_QUEUE_001,voice,284000,0,0,0,0,0,0,1
9999,SANDBOX," "," ",00da2f8e-00a9-4a7c-a586-3242456d8944,5a993e99-3a77-405f-baa0-b14538ff83d1,"2021-01-13 15:26:15.701",tel:+17037198950,"Inbound Existing – English",voice,6435,0,1,0,0,0,0,0
9999,SANDBOX," "," ",01381ad8-a4c6-42db-a291-b5566542c42b,e8951409-60ab-4b38-9825-6a49b45cc2e9,"2021-02-09 22:32:20.997",tel:+17036468689,MAXe_TEST_QUEUE_001,voice,48513,0,0,0,1,0,0,0
9999,SANDBOX," "," ",01a92f6e-1328-4b1c-ba6a-1c7ec1316365,1c1a1fd0-8aa8-44b0-9a2c-75fe97bd5a0d,"2020-12-01 10:10:25.763",tel:+17036468689,MAXe_TEST_QUEUE_001,voice,1384,1,0,0,0,0,0,0
9999,SANDBOX," "," ",01cd47d3-f115-4cfd-9c32-747f5570458e,62a10018-7ad2-4b6c-b98d-ab9449f422b9,"2021-03-11 23:04:12.376",tel:+17037198950,"Inbound Existing – English",voice,40963,0,0,0,1,0,0,0
9999,SANDBOX," "," ",0208e350-d1de-4100-9885-b4a577496e19,60d5cfc4-07f0-4157-aa74-dd3e300b358f,"2020-12-03 21:27:22.743",tel:+17037198950,"Inbound Existing – English",voice,46012,0,0,0,1,0,0,0
9999,SANDBOX," "," ",0282ed6d-dbc8-4ed3-9ab1-7cb13289b8bd,3ae89e93-59ac-4235-b2a3-a47c965e9140,"2020-10-02 21:12:41.567",NULL,vTest_WebChat,chat,54843,0,0,0,1,0,0,0
9999,SANDBOX," "," ",02de591d-ff72-4ff3-9b3d-15907e070ee8,3b5b86af-a447-4c6b-be02-54e62a212b73,"2020-05-22 17:44:24.889",sip:Sandbox_Test01_SM1-debug@localhost,Sandbox_Test01_ECENG_01,voice,86327,0,0,0,0,1,0,0
9999,SANDBOX," "," ",0317fdfe-1289-4d89-b9ae-4e8889b5f4da,5537b647-460f-49d3-9a47-f2f40637f008,"2020-12-14 22:32:03.441",tel:+17036468689,MAXe_TEST_QUEUE_001,voice,294060,0,0,0,0,0,0,1
9999,SANDBOX," "," ",03188b6f-297d-492e-9041-120098c6a6e0,e7be09a4-876d-4995-86a1-affa90a050fc,"2020-08-01 18:45:43.93",tel:+17037198279,MTCO_General_Q,voice,10574,0,1,0,0,0,0,0
9999,SANDBOX," "," ",03841ee3-cae5-4307-868d-439bad7015b4,49d879b8-799e-4e98-bae7-290467c89dc3,"2021-03-25 19:18:11.487",tel:+17037217864,"Inbound Existing – English",voice,31469,0,0,1,0,0,0,0
9999,SANDBOX," "," ",04050913-c4d4-4770-a295-55cf0bbae4f3,5888bbe8-7005-47ad-b48c-bcc259809b16,"2020-11-03 20:58:48.664",NULL,vTest_WebChat,chat,9455,0,1,0,0,0,0,0
9999,SANDBOX," "," ",047fbac4-dcc6-4855-9434-fcae7b15506c,a8d91e34-af54-4642-96ff-a2740b21dddb,"2020-11-18 23:21:13.355",tel:+18335962200,DMAS_Queue,voice,656759,0,0,0,0,0,0,1
9999,SANDBOX," "," ",04a2a56a-4f1b-4bfe-b2f0-dcb1cb5e2d68,a471a380-3462-4aa2-a9b6-2de3df425d71,"2020-10-09 17:11:51.699",tel:+19093001010,MNSP_MTOC_0008_OUT,voice,39986,0,0,1,0,0,0,0
9999,SANDBOX," "," ",04f2618a-b072-4ecc-bfd7-00d23d28400f,59508917-63a8-453f-8566-13aff1106148,"2020-08-01 18:43:40.768",tel:+17037198279,MTCO_General_Q,voice,15474,0,1,0,0,0,0,0
9999,SANDBOX," "," ",05568dc9-aee8-4cbd-aa7d-3efada8fcb7b,31310538-a084-4ad3-863e-139b05cf2d8b,"2020-05-21 16:54:45.264",tel:+17036468689,Sandbox_Test01_ECENG_01,voice,6402,0,1,0,0,0,0,0
9999,SANDBOX," "," ",05be0c2a-51de-474c-ba26-031b78e56d06,2c4b8345-879d-4840-8f73-a7341827e383,"2020-08-13 18:44:18.122",tel:+17037198279,MTCO_General_Q,voice,32667,0,0,1,0,0,0,0
