INTERVALSTART,QUEUENAME,DIRECTION,MEDIATYPE,ABANDONINTERACTIONCOUNT,ABANDONTIMEMIN,ABANDONTIMEMAX,ABANDONTIMETOTAL,ANSWEREDINTERACTIONCOUNT,ANSWEREDTIMEMIN,ANSWEREDTIMEMAX,ANSWEREDTIMETOTAL,ACDINTERACTIONCOUNT,ACDTIMEMIN,ACDTIMEMAX,ACDTIMETOTAL,ACWINTERACTIONCOUNT,ACWTIMEMIN,ACWTIMEMAX,ACWTIMETOTAL,ALERTINTERACTIONCOUNT,ALERTTIMEMIN,ALERTTIMEMAX,ALERTTIMETOTAL,FLOWOUTINTERACTIONCOUNT,FLOWOUTTIMEMIN,FLOWOUTTIMEMAX,FLOWOUTTIMETOTAL,HANDLEINTERACTIONCOUNT,HANDLETIMEMIN,HANDLETIMEMAX,HANDLETIMETOTAL,HELDCOMPLETEINTERACTIONCOUNT,HELDCOMPLETETIMEMIN,HELDCOMPLETETIMEMAX,HELDCOMPLETETIMETOTAL,SHORTABANDONINTERACTIONCOUNT,SHORTABANDONTIMEMIN,SHORTABANDONTIMEMAX,SHORTABANDONTIMETOTAL,TALKINTERACTIONCOUNT,TALKTIMEMIN,TALKTIMEMAX,TALKTIMETOTAL,OFFEREDCOUNT,OUTBOUNDCOUNT,SERVICELEVELRATIO,SERVICELEVELTARGET,PROJECTID,PROJECTNAME,PROGRAMID,PROGRAMNAME,BLINDTRANSFERREDCOUNT,CONSULTTRANSFERREDCOUNT,TRANSFERREDCOUNT,TALKCOMPLETEINTERACTIONCOUNT,TALKCOMPLETETIMEMIN,TALKCOMPLETETIMEMAX,TALKCOMPLETETIMETOTAL,SERVICELEVELNUMERATOR,SERVICELEVELDENOMINATOR,CONSULTCOUNT,ERRORCOUNT,OUTBOUNDABANDONEDCOUNT,OUTBOUNDATTEMPTEDCOUNT,OUTBOUNDCONNECTEDCOUNT,OVERSLACOUNT,CONTACTINGINTERACTIONCOUNT,CONTACTINGTIMEMIN,CONTACTINGTIMEMAX,CONTACTINGTIMETOTAL,DIALINGINTERACTIONCOUNT,DIALINGTIMEMIN,DIALINGTIMEMAX,DIALINGTIMETOTAL
2021-06-29 11:45:00.000,NJSBE_ENG_APP_Voice,inbound,voice,1,16248,16248,16248,0,0,0,0,1,16248,16248,16248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0000,0.8000,901,NJSBE,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_AAS_Voice,inbound,voice,0,0,0,0,12,18831,195192,1443299,12,18831,195192,1443299,12,7000,30000,316000,13,689,15166,67478,0,0,0,0,12,29922,99157,737611,0,0,0,0,0,0,0,0,12,4915,69157,421935,12,0,0.0833,0.8000,901,NJSBE,NULL,NULL,1,0,1,12,4915,69157,421935,1,12,0,4,0,0,0,11,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_AAS_Voice,outbound,voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91714,315994,1659980,1,117598,117598,117598,0,0,0,0,7,90762,313131,1533334,0,0,0.0000,0.0000,901,NJSBE,NULL,NULL,0,0,0,7,90762,313131,1533334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_APP_Voice,inbound,voice,0,0,0,0,3,5599,165804,233270,3,5599,165804,233270,3,9000,30000,62000,3,762,8992,10582,0,0,0,0,3,28790,153088,238724,0,0,0,0,0,0,0,0,3,19790,130421,177057,3,0,0.3333,0.8000,901,NJSBE,NULL,NULL,0,0,0,3,19790,130421,177057,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_APP_Voice,outbound,voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77278,402603,629680,0,0,0,0,0,0,0,0,3,76174,401148,626083,0,0,0.0000,0.0000,901,NJSBE,NULL,NULL,0,0,0,3,76174,401148,626083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_NWA_Voice,inbound,voice,0,0,0,0,1,3861,3861,3861,1,3861,3861,3861,1,30000,30000,30000,1,3609,3609,3609,0,0,0,0,1,54674,54674,54674,0,0,0,0,0,0,0,0,1,24674,24674,24674,1,0,1.0000,0.8000,901,NJSBE,NULL,NULL,0,0,0,1,24674,24674,24674,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_ENG_NWA_Voice,outbound,voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58691,58691,58691,0,0,0,0,0,0,0,0,1,57542,57542,57542,0,0,0.0000,0.0000,901,NJSBE,NULL,NULL,0,0,0,1,57542,57542,57542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_OTH_CSR_Voice,inbound,voice,0,0,0,0,3,1834,193183,259822,3,1834,193183,259822,3,28000,30000,88000,4,1345,15186,21427,0,0,0,0,3,73252,95293,258682,0,0,0,0,0,0,0,0,3,45595,65293,171025,3,0,0.3333,0.8000,901,NJSBE,NULL,NULL,0,0,0,3,45595,65293,171025,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_OTH_CSR_Voice,outbound,voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141744,248852,390596,0,0,0,0,0,0,0,0,2,140909,247903,388812,0,0,0.0000,0.0000,901,NJSBE,NULL,NULL,0,0,0,2,140909,247903,388812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_SPA_AAS_Voice,inbound,voice,1,49860,49860,49860,2,151802,203981,355783,3,49860,203981,405643,2,30000,30000,60000,2,703,714,1417,0,0,0,0,2,45874,83541,129415,0,0,0,0,0,0,0,0,2,15874,53541,69415,3,0,0.0000,0.8000,901,NJSBE,NULL,NULL,0,0,0,2,15874,53541,69415,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-29 16:45:00.000,NJSBE_SPA_AAS_Voice,outbound,voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216883,240021,456904,0,0,0,0,0,0,0,0,2,216105,239351,455456,0,0,0.0000,0.0000,901,NJSBE,NULL,NULL,0,0,0,2,216105,239351,455456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29 17:15:00.000,NJSBE_ENG_AAS_Voice,inbound,voice,0,0,0,0,1,1647,1647,1647,1,1647,1647,1647,1,30000,30000,30000,1,1408,1408,1408,0,0,0,0,1,111907,111907,111907,0,0,0,0,0,0,0,0,1,81907,81907,81907,1,0,1.0000,0.8000,901,NJSBE,NULL,NULL,0,0,0,1,81907,81907,81907,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
