conversationEndTime,conversationId,conversationStartTime,duration,mediastatsminconversationmos,mediastatsminconversationrfactor,originatingDirection,processTime
"2021-03-17 18:43:26.909",479be444-eb54-4a51-bf4b-5b5f7f3c374d,"2021-03-17 18:43:17.562",9347,4.848,91.019,outbound,"2021-08-10 21:18:59.751"
"2021-03-17 18:43:41.733",ed1bb3ce-78b4-4bb6-93f5-43a16079d538,"2021-03-17 18:43:29.923",11810,4.880,92.348,outbound,"2021-08-10 21:18:59.743"
"2021-03-22 13:23:34.956",de1756cb-225e-4a03-a05d-c3c7b8189c1e,"2021-03-22 13:23:19.052",15904,4.883,92.459,inbound,"2021-08-10 21:18:58.3"
"2021-03-22 13:24:46.774",381652ab-d185-40ae-aec2-5e2388af6685,"2021-03-22 13:23:38.804",67970,4.887,92.633,inbound,"2021-08-10 21:18:58.205"
"2021-03-22 13:27:32.824",41bfa47e-2062-4cb4-9eff-bfac869bb4ec,"2021-03-22 13:27:14.664",18160,4.883,92.448,inbound,"2021-08-10 21:18:58.196"
"2021-03-22 13:28:40.119",0ea3f3b7-aa43-4b40-bc72-9db2c23cf58e,"2021-03-22 13:28:19.963",20156,4.883,92.457,inbound,"2021-08-10 21:18:58.163"
"2021-03-22 13:30:15.68",2bc92acd-cc1b-4ae1-a23b-cad8d99b07a2,"2021-03-22 13:29:47.858",27822,4.882,92.446,inbound,"2021-08-10 21:18:58.166"
"2021-03-22 13:30:32.53",26541410-e7b8-40b6-b0d0-94e47087dc67,"2021-03-22 13:30:20.196",12334,4.883,92.462,inbound,"2021-08-10 21:18:58.176"
"2021-03-22 13:38:12.339",deccc59a-bd0a-4dea-b2e8-029f61ffe5a6,"2021-03-22 13:30:36.06",456279,4.883,92.454,inbound,"2021-08-10 21:18:58.332"
"2021-03-22 13:47:02.069",c19eeb21-e6bd-4cc4-8b7b-2e6ddbfd96a9,"2021-03-22 13:46:26.225",35844,4.882,92.442,inbound,"2021-08-10 21:18:58.288"
"2021-03-22 13:57:39.166",19772465-819e-4758-bd1f-e3b9bd244c95,"2021-03-22 13:56:12.478",86688,4.882,92.439,inbound,"2021-08-10 21:18:58.165"
"2021-03-22 16:49:21.4",85690e3b-beeb-42b7-8c06-931115e123b4,"2021-03-22 16:48:54.95",26450,4.395,91.225,outbound,"2021-08-10 21:18:58.222"
"2021-03-22 16:50:12.636",24aea8fe-fefa-4164-be9c-3544557de95b,"2021-03-22 16:49:41.512",31124,4.394,92.192,outbound,"2021-08-10 21:18:58.156"
"2021-03-22 16:50:40.441",aba5d4f4-b314-4023-94ae-d891400674c0,"2021-03-22 16:50:23.628",16813,4.870,91.931,outbound,"2021-08-10 21:18:58.298"
"2021-03-22 16:51:29.967",d5b80657-d735-4486-9944-156861078e67,"2021-03-22 16:50:46.56",43407,4.394,91.252,outbound,"2021-08-10 21:18:58.297"
