ERRORID,ERRORCODE,MMS_ERROR_TYPE
1,error.i3vxml.application,
2,error.icmediaserveraudio.mediaContext.io,
3,error.ininedgecontrol,
4,error.ininedgecontrol.api,
5,error.ininedgecontrol.callflow,Call Failure
7,error.ininedgecontrol.callflow.document.accept,
8,error.ininedgecontrol.callflow.document.accept.media,
11,error.ininedgecontrol.callflow.document.createcall,
12,error.ininedgecontrol.callflow.document.createcall.media,
14,error.ininedgecontrol.callflow.document.createconference.media,
15,error.ininedgecontrol.callflow.document.destroyconference,
16,error.ininedgecontrol.callflow.document.destroyconference.media,
9,error.ininedgecontrol.callflow.document.connect,Call Failure
17,error.ininedgecontrol.callflow.document.dialogprepare,Call Failure
20,error.ininedgecontrol.callflow.document.dialogstart.media,
18,error.ininedgecontrol.callflow.document.dialogprepare.media,Call Failure
19,error.ininedgecontrol.callflow.document.dialogstart,Call Failure
21,error.ininedgecontrol.callflow.document.join,Call Failure
22,error.ininedgecontrol.callflow.document.join.media,Call Failure
34,error.ininedgecontrol.ccxml.platform,
36,error.ininedgecontrol.ccxml.script,
37,error.ininedgecontrol.ccxml.session,
41,error.ininedgecontrol.connection.analysis,
42,error.ininedgecontrol.connection.analysis.dispositions,
50,error.ininedgecontrol.connection.line.maxCallLimit,
51,error.ininedgecontrol.connection.loopDetected,
52,error.ininedgecontrol.connection.media,
54,error.ininedgecontrol.connection.media.mismatch.codec,
59,error.ininedgecontrol.connection.noConnected,
65,error.ininedgecontrol.connection.station.doNotDisturb,
71,error.ininedgecontrol.connection.webrtc.endpoint.disconnect,
72,error.ininedgecontrol.connection.webrtc.endpoint.negotiation,
23,error.ininedgecontrol.callflow.document.pickup,Call Failure
85,ForceTermination,
86,ManualTermination,
6,error.ininedgecontrol.callflow.document,
10,error.ininedgecontrol.callflow.document.connect.media,
24,error.ininedgecontrol.callflow.document.pickup.media,Call Failure
32,error.ininedgecontrol.callflow.document.unjoin.media,
35,error.ininedgecontrol.ccxml.platform.parameter,
39,error.ininedgecontrol.ccxml.session.terminated,
40,error.ininedgecontrol.connection,
48,error.ininedgecontrol.connection.insufficientPriviledges,
56,error.ininedgecontrol.connection.noAvailableLines.noPBXPassthrough,
64,error.ininedgecontrol.connection.protocol.transport,
68,error.ininedgecontrol.connection.station.notReached,
77,error.ininedgecontrol.media.fax,
81,ACTIVE_CONVERSATION,
38,error.ininedgecontrol.ccxml.session.logic,
60,error.ininedgecontrol.connection.noProceeding,
88,email.error.get.message.body,
92,postino.error.attachments.upload.size,
25,error.ininedgecontrol.callflow.document.progressing,Call Failure
26,error.ininedgecontrol.callflow.document.progressing.media,Call Failure
27,error.ininedgecontrol.callflow.document.redirect,Call Failure
33,error.ininedgecontrol.ccxml,
45,error.ininedgecontrol.connection.dialplan.loopDetected,
46,error.ininedgecontrol.connection.dialplan.notFound,
53,error.ininedgecontrol.connection.media.endpoint.idle,
55,error.ininedgecontrol.connection.noAvailableLines,
66,error.ininedgecontrol.connection.station.noContactAddress,
69,error.ininedgecontrol.connection.station.webrtc.iceNegotiation,
78,error.ininedgecontrol.session.inactive,
80,error.mediaprovider.context.resource,
13,error.ininedgecontrol.callflow.document.createconference,
28,error.ininedgecontrol.callflow.document.redirect.media,Call Failure
29,error.ininedgecontrol.callflow.document.rejoin,Call Failure
30,error.ininedgecontrol.callflow.document.rejoin.media,Call Failure
70,error.ininedgecontrol.connection.timeout,Call Failure
31,error.ininedgecontrol.callflow.document.unjoin,
43,error.ininedgecontrol.connection.authentication,
57,error.ininedgecontrol.connection.noAvailableLines.noServerProxy,
62,error.ininedgecontrol.connection.protocol.server,
63,error.ininedgecontrol.connection.protocol.timeout,
67,error.ininedgecontrol.connection.station.notFound,
74,error.ininedgecontrol.dialog.noConnected,Call Failure
75,error.ininedgecontrol.dialog.noRemoteTone,Call Failure
76,error.ininedgecontrol.lineState,
79,error.ininedgecontrol.vxml.platform,
84,FORCED_TERMINATION,
89,email.error.invalid.email,
58,error.ininedgecontrol.connection.noAvailableLines.noUUIPassthrough,
87,PROVIDER_SEND_MESSAGE_ERROR,
91,postino.error,
73,error.ininedgecontrol.dialog,
83,DisconnectCommandTimeout,
82,DELIVERY_FAILED,
47,error.ininedgecontrol.connection.exception,
61,error.ininedgecontrol.connection.protocol,
90,email.error.too.many.recipients,
94,postino.error.temporarily.unavailable,
44,error.ininedgecontrol.connection.destination.notFound,
49,error.ininedgecontrol.connection.line,
93,postino.error.internal,
