sentiment,strictness,text,topicid
negative,65,"a double bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"a new customers will get a better",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"a piece of shit",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"a piece of son of a bitch",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"absolutely atrocious",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"absolutely crazy",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"absolutely no communication",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"absolutely ridiculous",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"actually make a complaint about this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"after a year you're stuck",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"all i want to do is cancel",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"all that shit",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"and argue with you about",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and he was pretty upset",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and i am pretty upset",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and i never heard from him",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"and i'm still being charged",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"and i'm still being charged for it",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"and i'm still having trouble",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and it has gone up",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"and nobody called me back",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"and she is not happy",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and she never called",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"and that's what is so frustrating",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and they hung up on me",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"and you can't take care of that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"another provider",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"any company that you go to",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"are dissatisfied with our service",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"are you fucken kidding me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"are you fucking kidding me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"are you fucking serious",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"are you fucking with me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"are you going to compensate me for my loss",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"are you kidding me about",dbf06a98-e893-46c8-884b-0176e9125e50
