conversationid,_col1
003141df-6a68-4b7b-812a-f36f28ca431e,2
0056baf8-7283-4889-b515-38864485c615,2
00609631-3066-486d-a6ee-bb70d9c897b3,1
00830b4d-96fa-416d-a319-5ea6329e67d1,2
00933b26-8e3b-4152-a04f-ae0a290fc29b,2
00a8f46a-8802-4bd2-bca5-51ca3c367664,2
00c6d327-5895-4a28-876c-f730efb0ec20,2
00e53b32-827e-47b8-811a-d0c71c9676ab,2
00fb1c11-da6f-4e95-a31e-9fe3bd5a19a9,2
01579890-510a-4293-90c4-3b8fc4e7cf6d,1
019fc21f-5e62-4464-8256-aecb0378bb0f,2
01b5fb9d-95d4-4218-a53f-8eeb68ecc915,2
01baaa49-f7da-417e-ba62-e656e20f0d3d,2
01c65ce6-920c-4b7c-b47d-306194659bbf,1
01fbdf51-151e-4c8b-a026-9b8e45dd0028,3
020562a1-28a1-4c26-852a-f8ebc91511eb,1
0257c99e-8252-416b-8eba-10a597a443b9,4
02802c53-87f8-4b69-a366-c70279a2a068,2
02c7da9c-b038-443a-858f-aba2ae713ce1,1
02db7d5e-1bc6-4caa-85c0-28bb2dededbf,1
03000c17-603b-4edc-86ac-d9ac5eb2fcea,2
0321e767-0688-475e-ad64-f3d7e9b6fdac,2
032464bb-d9ac-4be7-b726-910c461eee0d,2
032d4a15-20b6-473f-bdec-a20d1d01f21f,1
036fbcb8-332e-4c78-8ad6-4a6a55465648,2
0373ea1d-58f5-4873-904d-dba58bf04de3,1
03886914-43be-4fd6-86d2-770b1d218078,3
038fb390-9a54-4e23-939d-a1bf97631a80,2
03b42eb5-7e85-405f-828c-22d1813126db,2
03eea2f9-3e9c-46df-887b-a8bf2a76e347,1
03f48b78-835f-4416-85dd-ba8a3da33391,2
0410f17a-e929-487c-a167-0042ab5ee561,1
044abc07-f64e-460c-93a1-24978979c4d0,2
044d7db7-55dd-4e2d-bc3c-ea4757d8e7e4,1
044db925-6573-4bd6-9365-5fa198860448,1
0451039b-003c-44a0-9a12-7d1b8869d15b,2
048ae613-c955-44c4-8273-17eedc86ce6c,1
049095e0-4f93-489a-812f-4ea9c583f80f,2
04916e50-458c-432a-a7bb-a56b3fc5c7de,1
04924878-3919-4627-83bc-a9e5541af418,1
04a8cea6-6983-4d72-a6db-b8875da02450,3
04ac55b0-970e-4100-ae0f-7b156d8d5d66,2
04c10772-be2b-493b-b378-e4cb8ac16405,2
04c3ee47-8ebd-4ad8-8e27-21a8078154d2,1
04ccad8d-8238-4b92-9faa-b2c73b62e67c,1
04def48c-da02-4aaf-8daa-eb8ba1a73f18,3
04e0c407-aca4-486a-a3e2-29bff4df4af0,2
04f1c739-e126-4963-9a26-9f33db3aadd5,1
0500fa86-b6e6-4194-aea8-144abf2d90a5,2
0540bf08-9b9d-464f-be00-6d393295f669,2
05726904-7663-4788-b50f-9aaadaadea98,1
059e253e-6f1e-44ff-8c30-c5c1c2cd6bec,1
05b2a900-8fab-4ab2-be9a-61fbc9f48138,1
05c221b3-bcb7-43e1-8de9-877131dcaa25,1
05c3ff77-d32b-461a-96a1-449aaef9a9e2,3
05d7c4cb-5331-4b2b-a28f-d86af1bcf04d,2
0647151d-4ada-4b77-afdf-9627ff7e49a4,2
065429be-6066-46c8-8208-1336102ba6fb,1
06757e14-2749-4121-9515-6ec218c7358f,4
067c9c57-bc3b-4db5-ada7-804c37260791,1
067fe1d3-03f8-4cf4-baf9-4f268155d3f6,1
06e8d41f-afdb-4aa8-8790-9a2331c1a2ee,2
0702fea8-a21d-479b-ba8a-fb0ba2c55e33,2
07106523-5bae-4421-9616-72bd2ee6772b,2
0711c531-f34e-42dc-b9f7-5ff48fcd12ce,1
0713fa93-d2c5-4129-9cc5-b0c2f5c7d4aa,1
072fa7e8-2c66-4a66-815c-b86a6076c7d0,2
076eebde-d340-4bbf-823d-980a70fed8cd,2
078baa20-642d-4ac7-b6d7-978af8c6fece,2
079dbd2a-d060-4693-ac27-8c3f47c21901,2
07ab225f-2ba0-4cca-b3e9-f2a2ba8a2d1f,2
07b01d08-31c7-431e-b68e-ce5ce9c5af98,1
07b94cc8-f41e-442b-ae94-296276964ec6,1
07f0116e-2fcb-4cd6-af5c-2e0f6d06e58c,2
07fb24d1-ad31-4f2a-8fe7-31c0a044c0b2,2
