"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"381C999A01EA4CE1B631000000124578",,"epVmail",02/11/2020 08:40:09,02/11/2020 08:40:47,,
"B2B5EA0E01EA4D01AA24000000124578",,"epVmail",02/11/2020 12:53:37,02/11/2020 12:54:35,,
"E670BB4201EA4CF1B9E9000000124578",,"epVmail",02/11/2020 10:42:20,02/11/2020 10:43:03,,
"2C75F780000100000027A53A1266A00A",,"epVmail",02/11/2020 11:43:59,02/11/2020 11:44:12,,
"8508D19801EA4D11A470000000124578",,"epVmail",02/11/2020 14:41:33,02/11/2020 14:47:21,,
"9DCD8B1E01EA4D21BAB9000000124578",,"epVmail",02/11/2020 16:26:43,02/11/2020 16:26:57,,
"B52A5C5E01EA4D61ADE7000000124578",,"epVmail",02/11/2020 23:48:52,02/11/2020 23:48:56,,
"8B456C00000100000027D09B1266A00A",,"epVmail",02/11/2020 14:10:05,02/11/2020 14:10:41,,
"9F739CE601EA4D218BB5000000124578",,"epVmail",02/11/2020 16:36:26,02/11/2020 16:37:23,,
"3B65A580000100000027CC131266A00A",,"epVmail",02/11/2020 13:55:50,02/11/2020 13:56:31,,
"D143A88801EA4D31B524000000124578",,"epVmail",02/11/2020 19:35:01,02/11/2020 19:35:39,,
"D4FFBA2801EA4CE1B852000000124578",,"epVmail",02/11/2020 08:27:43,02/11/2020 08:28:29,,
"F107A0F801EA4D01AE73000000124578",,"epVmail",02/11/2020 12:56:00,02/11/2020 12:56:42,,
"356DAA0401EA4D01B00B000000124578",,"epVmail",02/11/2020 12:56:38,02/11/2020 13:03:06,,
"4A4C224401EA4D11B77D000000124578",,"epVmail",02/11/2020 15:34:15,02/11/2020 15:47:34,,
