Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318130,2020-11-19 08:07:41,,Call Resolution,No Response
80,331646,2020-11-19 08:07:38,Y,Source of Number,Provider
80,331646,2020-11-19 08:07:38,Y,Net Promoter Score,Yes
80,331646,2020-11-19 08:07:38,Y,Customer Satisfaction,Completely Satisfied
80,331646,2020-11-19 08:07:38,Y,Call Resolution,Yes
80,331592,2020-11-19 08:19:52,,Call Resolution,No Response
80,334229,2020-11-19 08:44:24,Y,Call Resolution,Yes
80,334229,2020-11-19 08:44:24,Y,Customer Satisfaction,Completely Satisfied
80,334229,2020-11-19 08:44:24,Y,Net Promoter Score,Yes
80,334229,2020-11-19 08:44:24,Y,Source of Number,Mail
80,326181,2020-11-19 08:50:27,Y,Call Resolution,Yes
80,326181,2020-11-19 08:50:27,Y,Customer Satisfaction,Completely Satisfied
80,326181,2020-11-19 08:50:27,Y,Net Promoter Score,Yes
80,326181,2020-11-19 08:50:27,Y,Source of Number,Mail
80,3342231,2020-11-19 09:03:56,Y,Call Resolution,Yes
80,3342231,2020-11-19 09:03:56,Y,Customer Satisfaction,Mostly Satisfied
80,3342231,2020-11-19 09:03:56,Y,Net Promoter Score,No
80,3342231,2020-11-19 09:03:56,Y,Source of Number,Online
80,333338,2020-11-19 09:09:50,Y,Call Resolution,Yes
80,333338,2020-11-19 09:09:50,Y,Customer Satisfaction,Completely Satisfied
80,333338,2020-11-19 09:09:50,Y,Net Promoter Score,Yes
80,333338,2020-11-19 09:09:50,Y,Source of Number,Plan
80,333370,2020-11-19 09:10:36,Y,Call Resolution,Yes
80,333370,2020-11-19 09:10:36,Y,Customer Satisfaction,Completely Satisfied
80,333370,2020-11-19 09:10:36,Y,Net Promoter Score,Yes
80,333370,2020-11-19 09:10:36,Y,Source of Number,Plan
80,326157,2020-11-19 09:12:23,Y,Call Resolution,Yes
80,326157,2020-11-19 09:12:23,Y,Customer Satisfaction,Completely Satisfied
80,326157,2020-11-19 09:12:23,Y,Net Promoter Score,Yes
80,326157,2020-11-19 09:12:23,Y,Source of Number,Mail
80,334188,2020-11-19 09:19:44,Y,Call Resolution,Yes
80,334188,2020-11-19 09:19:44,Y,Customer Satisfaction,Completely Satisfied
80,334188,2020-11-19 09:19:44,Y,Net Promoter Score,No
80,334188,2020-11-19 09:19:44,Y,Source of Number,Online
80,324754,2020-11-19 09:25:00,Y,Call Resolution,Yes
80,324754,2020-11-19 09:25:00,Y,Customer Satisfaction,Completely Satisfied
80,324754,2020-11-19 09:25:00,Y,Net Promoter Score,Yes
80,324754,2020-11-19 09:25:00,Y,Source of Number,Online
80,326181,2020-11-19 09:29:41,Y,Call Resolution,Yes
80,326181,2020-11-19 09:29:41,Y,Customer Satisfaction,Completely Satisfied
80,326181,2020-11-19 09:29:41,Y,Net Promoter Score,Yes
80,326181,2020-11-19 09:29:41,Y,Source of Number,Mail
80,328360,2020-11-19 09:31:08,Y,Call Resolution,Yes
80,328360,2020-11-19 09:31:08,Y,Customer Satisfaction,Completely Satisfied
80,328360,2020-11-19 09:31:08,Y,Net Promoter Score,Yes
80,328360,2020-11-19 09:31:08,Y,Source of Number,Plan
80,326184,2020-11-19 09:33:55,Y,Call Resolution,Yes
80,326184,2020-11-19 09:33:55,Y,Customer Satisfaction,Completely Satisfied
80,326184,2020-11-19 09:33:55,Y,Net Promoter Score,Yes
80,326184,2020-11-19 09:33:55,Y,Source of Number,Plan
80,334192,2020-11-19 09:36:25,Y,Call Resolution,Yes
80,334192,2020-11-19 09:36:25,Y,Customer Satisfaction,Completely Satisfied
80,334192,2020-11-19 09:36:25,Y,Net Promoter Score,Yes
80,334192,2020-11-19 09:36:25,Y,Source of Number,Mail
80,1326161,2020-11-19 09:36:25,Y,Call Resolution,Yes
80,1326161,2020-11-19 09:36:25,Y,Customer Satisfaction,Completely Satisfied
80,1326161,2020-11-19 09:36:25,Y,Net Promoter Score,Yes
80,1326161,2020-11-19 09:36:25,Y,Source of Number,Mail
80,333397,2020-11-19 09:41:33,Y,Call Resolution,Yes
80,333397,2020-11-19 09:41:33,Y,Customer Satisfaction,Completely Satisfied
80,333397,2020-11-19 09:41:33,Y,Net Promoter Score,Yes
80,333397,2020-11-19 09:41:33,Y,Source of Number,Mail
80,326146,2020-11-19 09:42:25,Y,Call Resolution,Yes
80,326146,2020-11-19 09:42:25,Y,Customer Satisfaction,Completely Satisfied
