QUEUE_NUMBER,QUEUE_NAME,UNIT_OF_WORK_NAME,SERVICE_PERCENT,SERVICE_SECONDS,QUEUE_TYPE,PROJECT_NAME,PROGRAM_NAME,SITE_NAME,REGION_NAME,STATE_NAME,PROVINCE_NAME,DISTRICT_NAME,COUNTRY_NAME,RECORD_EFF_DT,RECORD_END_DT
1,MAXHIHIX_English_General_vcall,English Language,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
2,MAXHIHIX_English_Individual_Application_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
3,MAXHIHIX_English_Individual_Other_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
4,MAXHIHIX_English_Individual_Plans_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
5,MAXHIHIX_English_Individual_Tech_Diff_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
6,MAXHIHIX_English_Individual_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
7,MAXHIHIX_English_Individual_WebChat_Issues_vcall,Individual,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
8,MAXHIHIX_English_Shop_Other_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
9,MAXHIHIX_English_Shop_Plans_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
10,MAXHIHIX_English_Shop_Tech_Difficulties_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
11,MAXHIHIX_English_Shop_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
12,MAXHIHIX_English_Shop_WebChat_Issues_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
13,MAXHIHIX_Hawaiian_General_vcall,HI Language,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
14,MAXHIHIX_Other_General_vcall,Other Language,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
15,MAXHIHIX_English_Shop_Application_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
16,MAXHIHIX_Hawaiian_Shop_vcall,Hawaiian_Shop,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
17,MAXHIHIX_English_Shop_Appl_tax_credits_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
18,MAXHIHIX_English_Shop_Application_billing_vcall,SHOP,100,50,Inbound,HIHIX,HIX,Honolulu,West,Hawaii,Unknown,Unknown,Unknown,1900/01/01,2999/12/31
