ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_DESCRIPTION	ACTIVITY_TYPE_CATEGORY	IS_PAID_FLAG	IS_AVAILABLE_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT
ABSENT	Sick or absent	Unscheduled PTO	1	0	0	1	1900/01/01	2999/12/31
BOA	Beginning of Attendance	Other Not Ready	1	0	0	0	1900/01/01	2999/12/31
Break	Break	Lunch and Break	1	0	0	0	1900/01/01	2999/12/31
Coaching	Coaching One on One	Other Not Ready	1	0	0	0	1900/01/01	2999/12/31
EOA	End of Attendance	Other Not Ready	1	0	0	0	1900/01/01	2999/12/31
ICES English CSR	Ready/Handle Time for ICES English Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
ICES Spanish CSR	Ready/Handle Time for ICES Spanish Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
Lunch	Lunch	Lunch and Break	0	0	0	0	1900/01/01	2999/12/31
Meeting	Meeting/Huddle	Meeting	1	0	0	0	1900/01/01	2999/12/31
Off	Off	Scheduled PTO	0	0	0	1	1900/01/01	2999/12/31
RTO	Requested Time Off	Scheduled PTO	0	0	0	1	1900/01/01	2999/12/31
Training	Training Session	Training	1	0	0	0	1900/01/01	2999/12/31
Unknown Non-Work	"Used by RTA to indicate that the agent appears to be in a Non-Work state, but the exact activity cannot be determined."	Other Not Ready	1	0	0	0	1900/01/01	2999/12/31
Unknown Work	"Used by RTA to indicate that the agent appears to be in a Work state, but the exact activity cannot be determined."	Other Not Ready	1	0	0	0	1900/01/01	2999/12/31
VTO/ITO	Voluntary or Involuntary Time off	Scheduled PTO	0	0	0	1	1900/01/01	2999/12/31
Spanish CSR	Ready/Handle Time for EEV Spanish Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
Senior CSR Spanish	Ready/Handle Time for EEV Sr. Spanish Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
Long Term Care- LTC	Ready/Handle Time for EEV Long Term Care Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
English CSR	Ready/Handle Time for EEV English Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
Senior CSR English	Ready/Handle Time for EEV Sr. English Contacts	Available	1	1	1	0	1900/01/01	2999/12/31
