FILTER_TYPE,VALUE
ACD_APPLICATION_ID_INC,10039
ACD_APPLICATION_ID_INC,10040
ACD_APPLICATION_ID_INC,10041
ACD_APPLICATION_ID_INC,10042
ACD_APPLICATION_ID_INC,10043
ACD_APPLICATION_ID_INC,10044
ACD_APPLICATION_ID_INC,10045
ACD_APPLICATION_ID_INC,10046
ACD_APPLICATION_ID_INC,10047
ACD_APPLICATION_ID_INC,10048
ACD_APPLICATION_ID_INC,10049
ACD_APPLICATION_ID_INC,10050
ACD_APPLICATION_ID_INC,10051
ACD_APPLICATION_ID_INC,10052
ACD_APPLICATION_ID_INC,10053
ACD_APPLICATION_ID_INC,10054
ACD_APPLICATION_ID_INC,10066
ACD_APPLICATION_ID_INC,10067
ACD_APPLICATION_ID_INC,10068
ACD_APPLICATION_ID_INC,10069
ACD_APPLICATION_ID_INC,10012
ACD_APPLICATION_ID_INC,10013
ACD_APPLICATION_ID_INC,10014
ACD_APPLICATION_ID_INC,10015
ACD_APPLICATION_ID_INC,10021
ACD_APPLICATION_ID_INC,10020
ACD_SKILL_GROUP_INC,10053
ACD_SKILL_GROUP_INC,10054
ACD_SKILL_GROUP_INC,10047
ACD_SKILL_GROUP_INC,10049
ACD_SKILL_GROUP_INC,10050
ACD_SKILL_GROUP_INC,10048
ACD_SKILL_GROUP_INC,10043
ACD_SKILL_GROUP_INC,10045
ACD_SKILL_GROUP_INC,10046
ACD_SKILL_GROUP_INC,10044
ACD_SKILL_GROUP_INC,10080
ACD_SKILL_GROUP_INC,10082
ACD_SKILL_GROUP_INC,10083
ACD_SKILL_GROUP_INC,10081
ACD_SKILL_GROUP_INC,10051
ACD_SKILL_GROUP_INC,10052
ACD_SKILL_GROUP_INC,10039
ACD_SKILL_GROUP_INC,10041
ACD_SKILL_GROUP_INC,10042
ACD_SKILL_GROUP_INC,10040
ACD_SKILL_GROUP_INC,10001
ACD_SKILL_GROUP_INC,10002
ACD_SKILL_GROUP_INC,10003
ACD_SKILL_GROUP_INC,10004
ACD_SKILL_GROUP_INC,10035
ACD_SKILL_GROUP_INC,10036
WFM_STAFF_GROUP_INC,1001
WFM_STAFF_GROUP_INC,1000
