UNIT_OF_WORK_NAME,RECORD_EFF_DT,RECORD_END_DT
N/A,1900/01/01,2999/12/31
CSR English,1900/01/01,2999/12/31
CSR Spanish,1900/01/01,2999/12/31
General English,1900/01/01,2999/12/31
General Spanish,1900/01/01,2999/12/31
Health Connect inbound English,1900/01/01,2999/12/31
Health Connect outbound English,1900/01/01,2999/12/31
Health Connect outbound Spanish,1900/01/01,2999/12/31
Health Connect inbound Spanish,1900/01/01,2999/12/31
ICP inbound English,1900/01/01,2999/12/31
ICP outbound English,1900/01/01,2999/12/31
ICP outbound Spanish,1900/01/01,2999/12/31
ICP inbound Spanish,1900/01/01,2999/12/31
MMAI Inbound English,1900/01/01,2999/12/31
MMAI Outbound English,1900/01/01,2999/12/31
MMAI Outbound Spanish,1900/01/01,2999/12/31
MMAI Inbound Spanish,1900/01/01,2999/12/31
Senior CSR English,1900/01/01,2999/12/31
Senior CSR Spanish,1900/01/01,2999/12/31
VMC Inbound English,1900/01/01,2999/12/31
VMC outbound English,1900/01/01,2999/12/31
VMC outbound Spanish,1900/01/01,2999/12/31
VMC Inbound Spanish,1900/01/01,2999/12/31
CES Call Back English,1900/01/01,2999/12/31
Call Back English,1900/01/01,2999/12/31
CES Call Back Spanish,1900/01/01,2999/12/31
Call Back Spanish,1900/01/01,2999/12/31
