ERRORID|ERRORCODE|GENESYS_ERROR_DESCRIPTION|MMS_ERROR_DESCRIPTION|CISCO_ERROR_DESCRIPTION|AVAYA_ERROR_DESCRIPTION|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE
1|error.i3vxml.application|General (unknown) error occurred in a call session||||04/27/2021|
2|error.icmediaserveraudio.mediaContext.io|There was a failure in the media layer directly related to fax||||04/27/2021|
3|error.ininedgecontrol|A inactive call session received a cloud event||||04/27/2021|
4|error.ininedgecontrol.api|An error occurred during an action on an internal API in the edge||||04/27/2021|
5|error.ininedgecontrol.callflow|General (unknown) error occurred on a call connection in a session.||||04/27/2021|
6|error.ininedgecontrol.callflow.document|Error occurred during the call analysis phase of an outgoing call.||||04/27/2021|
7|error.ininedgecontrol.callflow.document.accept|Error occurred retrieving or processing the disposition table for a call analysis operation.||||04/27/2021|
8|error.ininedgecontrol.callflow.document.accept.media|Error occurred during the authentication phase of a call. This may occur when authenticating specific messages of a SIP dialog.||||04/27/2021|
9|error.ininedgecontrol.callflow.document.connect|A targeted destination address of a call could not be found. As an example, a specific station AoR was not found.||||04/27/2021|
10|error.ininedgecontrol.callflow.document.connect.media|A dial plan entry was not found for an outgoing call attempt.||||04/27/2021|
11|error.ininedgecontrol.callflow.document.createcall|A loop has been detected in a dial plan match.||||04/27/2021|
12|error.ininedgecontrol.callflow.document.createcall.media|An unknown exception occurred while processing an event or command for the connection.||||04/27/2021|
13|error.ininedgecontrol.callflow.document.createconference|The initiator of the outgoing call does not have the correct dialing privileges for the classification of call that is being dialed. Sometimes this simply means the phone making an external outbound call does not have a user associated to it.||||04/27/2021|
14|error.ininedgecontrol.callflow.document.createconference.media|A line error occurred on the line a call was trying to use.||||04/27/2021|
15|error.ininedgecontrol.callflow.document.destroyconference|The max call limit (line_maxCalls) was reached on the line that a call was trying to use. The call was been rejected.||||04/27/2021|
16|error.ininedgecontrol.callflow.document.destroyconference.media|A loop has been detected on the call path with this edgecontrol instance. The call has traversed this instance one or more times in a manner that indicates that there is an incorrect configuration on the system.||||04/27/2021|
17|error.ininedgecontrol.callflow.document.dialogprepare|A call failure occurred before the call session entered the connected state||||04/27/2021|
18|error.ininedgecontrol.callflow.document.dialogprepare.media|A call failure occurred before the call session entered the proceeding state||||04/27/2021|
19|error.ininedgecontrol.callflow.document.dialogstart|An error occurred during the media dialog setup (SDP) or handling||||04/27/2021|
20|error.ininedgecontrol.callflow.document.dialogstart.media|An call session operation failed because a media endpoint went idle||||04/27/2021|
21|error.ininedgecontrol.callflow.document.join|The two parties trying to establish a SIP connection did not arrive at a common codec||||04/27/2021|
22|error.ininedgecontrol.callflow.document.join.media|There were no available lines the met all criteria for dialing the call. This may occur if the dial group is misconfigured or if all of the lines in a specific dial group failed the dial due to connectivity errors or far-end failure.||||04/27/2021|
23|error.ininedgecontrol.callflow.document.pickup|No trunk could be found for the outbound leg of an inbound call - at least one trunk was rejected because neither it nor in the inbound trunk had PBX Passthrough enabled||||04/27/2021|
24|error.ininedgecontrol.callflow.document.pickup.media|No trunk could be found for an outbound leg - at least one trunk was rejected because it had no available server proxy address||||04/27/2021|
25|error.ininedgecontrol.callflow.document.progressing|No trunk could be found for the outbound leg of an inbound call - at least one trunk was rejected because it did not have UUI Passthrough enabled while the inbound trunk did have that setting enabled||||04/27/2021|
26|error.ininedgecontrol.callflow.document.progressing.media|The connection encountered a protocol error on its signaling path.||||04/27/2021|
