PROJECTID|PROGRAMID|HOLIDAYID|HOLIDAYDATE|HOLIDAYSTARTDATE|HOLIDAYENDDATE
1||350|1/2/2023|1/2/2023|1/2/2023
3||350|1/2/2023|1/2/2023|1/2/2023
6||350|1/2/2023|1/2/2023|1/2/2023
8||350|1/2/2023|1/2/2023|1/2/2023
9||350|1/2/2023|1/2/2023|1/2/2023
9||20|1/16/2023|1/16/2023|1/16/2023
10||10|1/1/2023|1/1/2023|1/1/2023
10||350|1/2/2023|1/2/2023|1/2/2023
10||20|1/16/2023|1/16/2023|1/16/2023
10||30|2/20/2023|2/20/2023|2/20/2023
10||210|4/16/2023|4/16/2023|4/16/2023
10||40|5/29/2023|5/29/2023|5/29/2023
10||50|6/19/2023|6/19/2023|6/19/2023
10||60|7/4/2023|7/4/2023|7/4/2023
10||70|9/4/2023|9/4/2023|9/4/2023
10||80|10/9/2023|10/9/2023|10/9/2023
10||90|11/10/2023|11/10/2023|11/10/2023
10||100|11/23/2023|11/23/2023|11/23/2023
10||130|12/25/2023|12/25/2023|12/25/2023
11||350|1/2/2023|1/2/2023|1/2/2023
11||20|1/16/2023|1/16/2023|1/16/2023
13||350|1/2/2023|1/2/2023|1/2/2023
15||350|1/2/2023|1/2/2023|1/2/2023
16||350|1/2/2023|1/2/2023|1/2/2023
17||350|1/2/2023|1/2/2023|1/2/2023
17||20|1/16/2023|1/16/2023|1/16/2023
17||30|2/20/2023|2/20/2023|2/20/2023
17||40|5/29/2023|5/29/2023|5/29/2023
17||50|6/19/2023|6/19/2023|6/19/2023
17||160|6/20/2023|6/20/2023|6/20/2023
17||60|7/4/2023|7/4/2023|7/4/2023
17||70|9/4/2023|9/4/2023|9/4/2023
17||80|10/9/2023|10/9/2023|10/9/2023
17||90|11/10/2023|11/10/2023|11/10/2023
17||100|11/23/2023|11/23/2023|11/23/2023
17||110|11/24/2023|11/24/2023|11/24/2023
17||130|12/25/2023|12/25/2023|12/25/2023
18||350|1/2/2023|1/2/2023|1/2/2023
23||350|1/2/2023|1/2/2023|1/2/2023
25||350|1/2/2023|1/2/2023|1/2/2023
26||350|1/2/2023|1/2/2023|1/2/2023
28||350|1/2/2023|1/2/2023|1/2/2023
28||20|1/16/2023|1/16/2023|1/16/2023
29||350|1/2/2023|1/2/2023|1/2/2023
31||350|1/2/2023|1/2/2023|1/2/2023
32||350|1/2/2023|1/2/2023|1/2/2023
32||20|1/16/2023|1/16/2023|1/16/2023
33||350|1/2/2023|1/2/2023|1/2/2023
35||350|1/2/2023|1/2/2023|1/2/2023
35||20|1/16/2023|1/16/2023|1/16/2023
14||350|1/2/2023|1/2/2023|1/2/2023
14||20|1/16/2023|1/16/2023|1/16/2023
14||30|2/20/2023|2/20/2023|2/20/2023
14||40|5/29/2023|5/29/2023|5/29/2023
14||50|6/19/2023|6/19/2023|6/19/2023
14||60|7/4/2023|7/4/2023|7/4/2023
14||70|9/4/2023|9/4/2023|9/4/2023
14||80|10/9/2023|10/9/2023|10/9/2023
14||90|11/10/2023|11/10/2023|11/10/2023
14||100|11/23/2023|11/23/2023|11/23/2023
14||110|11/24/2023|11/24/2023|11/24/2023
14||130|12/25/2023|12/25/2023|12/25/2023
14||10|1/1/2024|1/1/2024|1/1/2024
4||20|1/16/2023|1/16/2023|1/16/2023
4||40|5/29/2023|5/29/2023|5/29/2023
4||60|7/4/2023|7/4/2023|7/4/2023
4||70|9/4/2023|9/4/2023|9/4/2023
4||100|11/23/2023|11/23/2023|11/23/2023
4||130|12/25/2023|12/25/2023|12/25/2023
4||240|12/26/2023|12/26/2023|12/26/2023
4||10|1/1/2024|1/1/2024|1/1/2024
19||350|1/2/2023|1/2/2023|1/2/2023
19||20|1/16/2023|1/16/2023|1/16/2023
19||30|2/20/2023|2/20/2023|2/20/2023
19||40|5/29/2023|5/29/2023|5/29/2023
19||50|6/19/2023|6/19/2023|6/19/2023
19||60|7/4/2023|7/4/2023|7/4/2023
19||70|9/4/2023|9/4/2023|9/4/2023
19||80|10/9/2023|10/9/2023|10/9/2023
19||90|11/10/2023|11/10/2023|11/10/2023
19||100|11/23/2023|11/23/2023|11/23/2023
19||110|11/24/2023|11/24/2023|11/24/2023
19||130|12/25/2023|12/25/2023|12/25/2023
19||10|1/1/2024|1/1/2024|1/1/2024
30||350|1/2/2023|1/2/2023|1/2/2023
30||20|1/16/2023|1/16/2023|1/16/2023
30||360|2/13/2023|2/13/2023|2/13/2023
30||30|2/20/2023|2/20/2023|2/20/2023
30||40|5/29/2023|5/29/2023|5/29/2023
30||60|7/4/2023|7/4/2023|7/4/2023
30||70|9/4/2023|9/4/2023|9/4/2023
30||270|10/9/2023|10/9/2023|10/9/2023
30||90|11/10/2023|11/10/2023|11/10/2023
30||100|11/23/2023|11/23/2023|11/23/2023
30||110|11/24/2023|11/24/2023|11/24/2023
30||130|12/25/2023|12/25/2023|12/25/2023
